seq_no=0,	ch0= 292, ch1= 428, ch2=1740, ch3= 673, ch4=   0, ch5= 664, ts=1714037954367661,	delta=1714037954367661,
seq_no=1,	ch0= 488, ch1= 256, ch2=1728, ch3= 767, ch4=   0, ch5= 542, ts=1714037954368251,	delta=590,
seq_no=2,	ch0= 687, ch1=  96, ch2=1659, ch3= 834, ch4=   0, ch5= 407, ts=1714037954368407,	delta=156,
seq_no=3,	ch0= 883, ch1=  13, ch2=1520, ch3= 895, ch4=  81, ch5= 294, ts=1714037954368503,	delta=96,
seq_no=4,	ch0=1072, ch1=   0, ch2=1384, ch3= 910, ch4= 182, ch5= 240, ts=1714037954368594,	delta=91,
seq_no=5,	ch0=1290, ch1=  53, ch2=1104, ch3= 947, ch4= 304, ch5=  54, ts=1714037954368680,	delta=86,
seq_no=6,	ch0=1535, ch1=  12, ch2= 899, ch3= 864, ch4= 375, ch5=  26, ts=1714037954368714,	delta=34,
seq_no=7,	ch0=1495, ch1= 165, ch2= 665, ch3= 805, ch4= 521, ch5=   0, ts=1714037954368743,	delta=29,
seq_no=8,	ch0=1550, ch1= 329, ch2= 448, ch3= 706, ch4= 616, ch5=   0, ts=1714037954368772,	delta=29,
seq_no=9,	ch0=1527, ch1= 525, ch2= 258, ch3= 583, ch4= 704, ch5=   0, ts=1714037954368857,	delta=85,
seq_no=10,	ch0=1459, ch1= 732, ch2=  89, ch3= 442, ch4= 769, ch5=  25, ts=1714037954368890,	delta=33,
seq_no=11,	ch0=1344, ch1= 949, ch2=   0, ch3= 314, ch4= 801, ch5= 101, ts=1714037954368920,	delta=30,
seq_no=12,	ch0=1183, ch1=1153, ch2=  47, ch3= 199, ch4= 812, ch5= 218, ts=1714037954368949,	delta=29,
seq_no=13,	ch0= 989, ch1=1421, ch2=   0, ch3= 114, ch4= 793, ch5= 302, ts=1714037954368978,	delta=29,
seq_no=14,	ch0= 789, ch1=1460, ch2=  54, ch3=  46, ch4= 713, ch5= 457, ts=1714037954369006,	delta=28,
seq_no=15,	ch0= 558, ch1=1558, ch2= 188, ch3=  16, ch4= 686, ch5= 600, ts=1714037954369035,	delta=29,
seq_no=16,	ch0= 390, ch1=1592, ch2= 461, ch3=   0, ch4= 611, ch5= 704, ts=1714037954369063,	delta=28,
seq_no=17,	ch0= 248, ch1=1600, ch2= 570, ch3=   0, ch4= 454, ch5= 711, ts=1714037954369092,	delta=29,
seq_no=18,	ch0=  85, ch1=1461, ch2= 823, ch3=  34, ch4= 379, ch5= 838, ts=1714037954369120,	delta=28,
seq_no=19,	ch0=   0, ch1=1383, ch2=1062, ch3=  88, ch4= 238, ch5= 874, ts=1714037954369148,	delta=28,
seq_no=20,	ch0=   0, ch1=1206, ch2=1270, ch3= 206, ch4= 142, ch5= 890, ts=1714037954369176,	delta=28,
seq_no=21,	ch0=   0, ch1= 996, ch2=1452, ch3= 341, ch4=  65, ch5= 871, ts=1714037954369205,	delta=29,
seq_no=22,	ch0=1362, ch1=  50, ch2=1022, ch3= 907, ch4= 363, ch5=  37, ts=1714037954369233,	delta=28,
seq_no=23,	ch0= 277, ch1=1653, ch2= 488, ch3=   0, ch4= 523, ch5= 753, ts=1714037954369829,	delta=596,
seq_no=24,	ch0= 138, ch1=1552, ch2= 612, ch3=   0, ch4= 392, ch5= 894, ts=1714037954370876,	delta=1047,
seq_no=25,	ch0=  49, ch1=1486, ch2= 928, ch3=  57, ch4= 362, ch5= 832, ts=1714037954371566,	delta=690,
seq_no=26,	ch0=   0, ch1=1303, ch2=1158, ch3= 142, ch4= 186, ch5= 884, ts=1714037954372307,	delta=741,
seq_no=27,	ch0=   0, ch1=1119, ch2=1361, ch3= 267, ch4= 101, ch5= 883, ts=1714037954373124,	delta=817,
seq_no=28,	ch0=   0, ch1= 900, ch2=1531, ch3= 404, ch4=  34, ch5= 864, ts=1714037954373959,	delta=835,
seq_no=29,	ch0=  98, ch1= 680, ch2=1658, ch3= 530, ch4=   0, ch5= 794, ts=1714037954374817,	delta=858,
seq_no=30,	ch0= 243, ch1= 484, ch2=1730, ch3= 637, ch4=   0, ch5= 704, ts=1714037954375643,	delta=826,
seq_no=31,	ch0= 376, ch1= 288, ch2=1736, ch3= 791, ch4=   0, ch5= 581, ts=1714037954376478,	delta=835,
seq_no=32,	ch0= 618, ch1= 134, ch2=1772, ch3= 806, ch4=   0, ch5= 451, ts=1714037954377318,	delta=840,
seq_no=33,	ch0= 844, ch1=  26, ch2=1544, ch3= 879, ch4=  54, ch5= 281, ts=1714037954378225,	delta=907,
seq_no=34,	ch0=1030, ch1=   0, ch2=1406, ch3= 914, ch4= 192, ch5= 203, ts=1714037954379021,	delta=796,
seq_no=35,	ch0=1081, ch1=   0, ch2=1182, ch3= 994, ch4= 261, ch5= 137, ts=1714037954379845,	delta=824,
seq_no=36,	ch0=1355, ch1=  46, ch2= 977, ch3= 893, ch4= 391, ch5=  40, ts=1714037954380688,	delta=843,
seq_no=37,	ch0=1487, ch1= 130, ch2= 704, ch3= 834, ch4= 516, ch5=  44, ts=1714037954381873,	delta=1185,
seq_no=38,	ch0=1543, ch1= 283, ch2= 514, ch3= 732, ch4= 604, ch5=   0, ts=1714037954382458,	delta=585,
seq_no=39,	ch0=1546, ch1= 476, ch2= 305, ch3= 616, ch4= 681, ch5=   0, ts=1714037954383803,	delta=1345,
seq_no=40,	ch0=1479, ch1= 685, ch2= 137, ch3= 484, ch4= 748, ch5=   0, ts=1714037954384304,	delta=501,
seq_no=41,	ch0=1378, ch1= 893, ch2=  11, ch3= 345, ch4= 791, ch5=  73, ts=1714037954385016,	delta=712,
seq_no=42,	ch0=1228, ch1=1094, ch2=   0, ch3= 237, ch4= 814, ch5= 177, ts=1714037954385777,	delta=761,
seq_no=43,	ch0=1055, ch1=1279, ch2=   0, ch3= 132, ch4= 803, ch5= 295, ts=1714037954386684,	delta=907,
seq_no=44,	ch0= 842, ch1=1435, ch2=  26, ch3=  34, ch4= 767, ch5= 436, ts=1714037954387447,	delta=763,
seq_no=45,	ch0= 644, ch1=1550, ch2= 141, ch3=   0, ch4= 704, ch5= 552, ts=1714037954388271,	delta=824,
seq_no=46,	ch0= 434, ch1=1711, ch2= 298, ch3=   0, ch4= 608, ch5= 597, ts=1714037954389113,	delta=842,
seq_no=47,	ch0= 264, ch1=1560, ch2= 525, ch3=   9, ch4= 538, ch5= 762, ts=1714037954389953,	delta=840,
seq_no=48,	ch0=  25, ch1=1511, ch2= 740, ch3=  50, ch4= 373, ch5= 881, ts=1714037954390804,	delta=851,
seq_no=49,	ch0=   1, ch1=1415, ch2=1022, ch3=  65, ch4= 270, ch5= 876, ts=1714037954391640,	delta=836,
seq_no=50,	ch0=   0, ch1=1256, ch2=1211, ch3= 171, ch4= 170, ch5= 893, ts=1714037954392479,	delta=839,
seq_no=51,	ch0=   0, ch1=1068, ch2=1405, ch3= 292, ch4=  70, ch5= 882, ts=1714037954393324,	delta=845,
seq_no=52,	ch0=  13, ch1= 863, ch2=1567, ch3= 433, ch4=  27, ch5= 842, ts=1714037954394162,	delta=838,
seq_no=53,	ch0= 129, ch1= 638, ch2=1687, ch3= 568, ch4=   0, ch5= 771, ts=1714037954395015,	delta=853,
seq_no=54,	ch0= 286, ch1= 432, ch2=1739, ch3= 683, ch4=   0, ch5= 680, ts=1714037954395849,	delta=834,
seq_no=55,	ch0= 481, ch1= 294, ch2=1719, ch3= 756, ch4=  23, ch5= 538, ts=1714037954396689,	delta=840,
seq_no=56,	ch0= 766, ch1= 101, ch2=1666, ch3= 832, ch4=   0, ch5= 421, ts=1714037954397532,	delta=843,
seq_no=57,	ch0= 876, ch1=   0, ch2=1520, ch3= 872, ch4=  74, ch5= 291, ts=1714037954398376,	delta=844,
seq_no=58,	ch0=1072, ch1=   0, ch2=1253, ch3= 917, ch4= 166, ch5= 285, ts=1714037954399222,	delta=846,
seq_no=59,	ch0=1253, ch1=  86, ch2=1127, ch3= 951, ch4= 306, ch5=  64, ts=1714037954400060,	delta=838,
seq_no=60,	ch0=1438, ch1=   2, ch2= 892, ch3= 874, ch4= 361, ch5=  29, ts=1714037954400899,	delta=839,
seq_no=61,	ch0=1504, ch1= 159, ch2= 662, ch3= 804, ch4= 530, ch5=   0, ts=1714037954401742,	delta=843,
seq_no=62,	ch0=1554, ch1= 321, ch2= 448, ch3= 698, ch4= 618, ch5=   0, ts=1714037954402633,	delta=891,
seq_no=63,	ch0=1532, ch1= 521, ch2= 258, ch3= 579, ch4= 698, ch5=   0, ts=1714037954403432,	delta=799,
seq_no=64,	ch0=1456, ch1= 740, ch2= 102, ch3= 441, ch4= 763, ch5=  17, ts=1714037954404272,	delta=840,
seq_no=65,	ch0=1347, ch1= 941, ch2=   0, ch3= 323, ch4= 799, ch5=  98, ts=1714037954405112,	delta=840,
seq_no=66,	ch0=1184, ch1=1142, ch2=   0, ch3= 206, ch4= 825, ch5= 211, ts=1714037954405954,	delta=842,
seq_no=67,	ch0=1013, ch1=1326, ch2=   0, ch3= 107, ch4= 804, ch5= 300, ts=1714037954406805,	delta=851,
seq_no=68,	ch0= 798, ch1=1478, ch2=  64, ch3=  50, ch4= 754, ch5= 473, ts=1714037954407640,	delta=835,
seq_no=69,	ch0= 552, ch1=1571, ch2= 197, ch3=   0, ch4= 685, ch5= 580, ts=1714037954408481,	delta=841,
seq_no=70,	ch0= 365, ch1=1648, ch2= 376, ch3=   0, ch4= 584, ch5= 698, ts=1714037954409322,	delta=841,
seq_no=71,	ch0= 232, ch1=1584, ch2= 526, ch3=   0, ch4= 488, ch5= 844, ts=1714037954410163,	delta=841,
seq_no=72,	ch0=  81, ch1=1420, ch2= 805, ch3=   0, ch4= 435, ch5= 825, ts=1714037954411016,	delta=853,
seq_no=73,	ch0=   0, ch1=1385, ch2=1054, ch3=  81, ch4= 238, ch5= 886, ts=1714037954411852,	delta=836,
seq_no=74,	ch0=   0, ch1=1216, ch2=1266, ch3= 198, ch4= 141, ch5= 890, ts=1714037954412691,	delta=839,
seq_no=75,	ch0=   0, ch1=1023, ch2=1457, ch3= 329, ch4=  75, ch5= 869, ts=1714037954413532,	delta=841,
seq_no=76,	ch0=  34, ch1= 796, ch2=1607, ch3= 463, ch4=  10, ch5= 832, ts=1714037954414374,	delta=842,
