seq_no=47,	ch0= 440, ch1=   0, ch2= 695, ch3= 536, ch4=  74, ch5= 144, ts=1714038074588564,	delta=748,
seq_no=48,	ch0= 583, ch1=   9, ch2= 556, ch3= 477, ch4= 157, ch5=  32, ts=1714038074589371,	delta=807,
seq_no=49,	ch0= 697, ch1=   0, ch2= 425, ch3= 481, ch4= 218, ch5=  30, ts=1714038074590206,	delta=835,
seq_no=50,	ch0= 732, ch1=  64, ch2= 327, ch3= 432, ch4= 273, ch5=   0, ts=1714038074591063,	delta=857,
seq_no=51,	ch0= 754, ch1= 141, ch2= 226, ch3= 377, ch4= 322, ch5=   0, ts=1714038074591885,	delta=822,
seq_no=52,	ch0= 757, ch1= 238, ch2= 126, ch3= 326, ch4= 363, ch5=   0, ts=1714038074592727,	delta=842,
seq_no=53,	ch0= 723, ch1= 341, ch2=  42, ch3= 241, ch4= 407, ch5=   0, ts=1714038074593570,	delta=843,
seq_no=54,	ch0= 665, ch1= 444, ch2=   0, ch3= 172, ch4= 427, ch5=  35, ts=1714038074594411,	delta=841,
seq_no=55,	ch0= 590, ch1= 533, ch2=   1, ch3= 117, ch4= 433, ch5=  99, ts=1714038074595261,	delta=850,
seq_no=56,	ch0= 477, ch1= 637, ch2=   0, ch3=  64, ch4= 421, ch5= 174, ts=1714038074596094,	delta=833,
seq_no=57,	ch0= 391, ch1= 722, ch2=   2, ch3=  10, ch4= 404, ch5= 241, ts=1714038074596937,	delta=843,
seq_no=58,	ch0= 292, ch1= 765, ch2=   0, ch3=   0, ch4= 353, ch5= 397, ts=1714038074597779,	delta=842,
seq_no=59,	ch0= 215, ch1= 871, ch2= 157, ch3=  18, ch4= 326, ch5= 337, ts=1714038074598685,	delta=906,
seq_no=60,	ch0=  89, ch1= 745, ch2= 276, ch3=   0, ch4= 176, ch5= 423, ts=1714038074599470,	delta=785,
seq_no=61,	ch0=  32, ch1= 745, ch2= 381, ch3=   4, ch4= 173, ch5= 437, ts=1714038074600304,	delta=834,
seq_no=62,	ch0=   0, ch1= 693, ch2= 505, ch3=  42, ch4= 129, ch5= 466, ts=1714038074601148,	delta=844,
seq_no=63,	ch0=   0, ch1= 602, ch2= 615, ch3=  99, ch4=  81, ch5= 482, ts=1714038074601986,	delta=838,
seq_no=64,	ch0=   0, ch1= 506, ch2= 710, ch3= 170, ch4=  29, ch5= 466, ts=1714038074602839,	delta=853,
seq_no=65,	ch0=   0, ch1= 400, ch2= 776, ch3= 242, ch4=   2, ch5= 440, ts=1714038074603672,	delta=833,
seq_no=66,	ch0=  48, ch1= 285, ch2= 832, ch3= 289, ch4=   0, ch5= 392, ts=1714038074604513,	delta=841,
seq_no=67,	ch0= 141, ch1= 194, ch2= 918, ch3= 370, ch4=   2, ch5= 346, ts=1714038074605351,	delta=838,
seq_no=68,	ch0= 238, ch1= 106, ch2= 835, ch3= 410, ch4=   0, ch5= 246, ts=1714038074606197,	delta=846,
seq_no=69,	ch0= 345, ch1=   8, ch2= 804, ch3= 463, ch4=  36, ch5= 193, ts=1714038074607046,	delta=849,
seq_no=70,	ch0= 328, ch1=   0, ch2= 727, ch3= 565, ch4=  26, ch5= 132, ts=1714038074607878,	delta=832,
seq_no=71,	ch0= 514, ch1=  36, ch2= 663, ch3= 472, ch4=  88, ch5=  74, ts=1714038074608721,	delta=843,
seq_no=72,	ch0= 612, ch1=   0, ch2= 450, ch3= 485, ch4= 146, ch5= 139, ts=1714038074609564,	delta=843,
seq_no=73,	ch0= 695, ch1=  12, ch2= 427, ch3= 463, ch4= 221, ch5=   0, ts=1714038074610406,	delta=842,
