seq_no=47,	ch0=2325, ch1=2279, ch2=   0, ch3= 481, ch4=  37, ch5=  64, ts=1713174321487460,	delta=855,
seq_no=48,	ch0=2411, ch1=1891, ch2=   0, ch3= 488, ch4=  29, ch5= 207, ts=1713174321488293,	delta=833,
seq_no=49,	ch0=2443, ch1=1434, ch2= 166, ch3= 466, ch4=   0, ch5= 285, ts=1713174321489134,	delta=841,
seq_no=50,	ch0=2464, ch1=1015, ch2= 472, ch3= 422, ch4=   0, ch5= 335, ts=1713174321489973,	delta=839,
seq_no=51,	ch0=2465, ch1= 630, ch2= 872, ch3= 360, ch4=   0, ch5= 389, ts=1713174321490826,	delta=853,
seq_no=52,	ch0=2456, ch1= 290, ch2=1307, ch3= 292, ch4=   8, ch5= 433, ts=1713174321491658,	delta=832,
seq_no=53,	ch0=2430, ch1=  33, ch2=1778, ch3= 212, ch4=  18, ch5= 434, ts=1713174321492500,	delta=842,
seq_no=54,	ch0=2368, ch1=  27, ch2=2227, ch3= 154, ch4=  68, ch5= 462, ts=1713174321493344,	delta=844,
seq_no=55,	ch0=2126, ch1=   0, ch2=2592, ch3=  79, ch4= 125, ch5= 448, ts=1713174321494187,	delta=843,
seq_no=56,	ch0=1734, ch1=  17, ch2=2679, ch3=  46, ch4= 196, ch5= 451, ts=1713174321495039,	delta=852,
seq_no=57,	ch0=1325, ch1= 165, ch2=2804, ch3=  14, ch4= 269, ch5= 418, ts=1713174321495871,	delta=832,
seq_no=58,	ch0= 919, ch1= 492, ch2=2720, ch3=  18, ch4= 326, ch5= 357, ts=1713174321496713,	delta=842,
seq_no=59,	ch0= 549, ch1= 853, ch2=2725, ch3=  14, ch4= 386, ch5= 364, ts=1713174321497557,	delta=844,
seq_no=60,	ch0= 233, ch1=1259, ch2=2713, ch3=  20, ch4= 411, ch5= 235, ts=1713174321498399,	delta=842,
seq_no=61,	ch0=   0, ch1=1688, ch2=2690, ch3=  59, ch4= 435, ch5= 178, ts=1713174321499249,	delta=850,
seq_no=62,	ch0=   0, ch1=2092, ch2=2648, ch3= 101, ch4= 442, ch5= 111, ts=1713174321500084,	delta=835,
seq_no=63,	ch0=   0, ch1=2435, ch2=2366, ch3= 163, ch4= 436, ch5=  52, ts=1713174321500924,	delta=840,
seq_no=64,	ch0=   0, ch1=2507, ch2=1933, ch3= 222, ch4= 423, ch5=  28, ts=1713174321501765,	delta=841,
seq_no=65,	ch0= 173, ch1=2540, ch2=1458, ch3= 306, ch4= 365, ch5=   0, ts=1713174321502654,	delta=889,
seq_no=66,	ch0= 546, ch1=2551, ch2=1005, ch3= 372, ch4= 333, ch5=   0, ts=1713174321503461,	delta=807,
seq_no=67,	ch0= 786, ch1=2555, ch2= 594, ch3= 475, ch4= 278, ch5=   0, ts=1713174321504299,	delta=838,
seq_no=68,	ch0=1212, ch1=2544, ch2= 240, ch3= 427, ch4= 213, ch5=   0, ts=1713174321505137,	delta=838,
seq_no=69,	ch0=1636, ch1=2547, ch2=  21, ch3= 454, ch4= 157, ch5=  69, ts=1713174321505979,	delta=842,
seq_no=70,	ch0=2028, ch1=2423, ch2= 125, ch3= 485, ch4= 102, ch5=  81, ts=1713174321506830,	delta=851,
seq_no=71,	ch0=2364, ch1=2195, ch2=  84, ch3= 492, ch4=  71, ch5= 136, ts=1713174321507667,	delta=837,
seq_no=72,	ch0=2422, ch1=1767, ch2=   4, ch3= 490, ch4=  11, ch5= 207, ts=1713174321508510,	delta=843,
seq_no=73,	ch0=2451, ch1=1328, ch2= 229, ch3= 457, ch4=   0, ch5= 278, ts=1713174321509349,	delta=839,
seq_no=74,	ch0=2464, ch1= 915, ch2= 561, ch3= 409, ch4=   0, ch5= 340, ts=1713174321510189,	delta=840,
seq_no=75,	ch0=2468, ch1= 541, ch2= 960, ch3= 349, ch4=   0, ch5= 394, ts=1713174321511044,	delta=855,
seq_no=76,	ch0=2453, ch1= 212, ch2=1420, ch3= 276, ch4=   1, ch5= 433, ts=1713174321511881,	delta=837,
seq_no=77,	ch0=2424, ch1=   0, ch2=1884, ch3= 206, ch4=  35, ch5= 443, ts=1713174321512721,	delta=840,
seq_no=78,	ch0=2357, ch1=   4, ch2=2333, ch3= 137, ch4=  76, ch5= 450, ts=1713174321513563,	delta=842,
seq_no=79,	ch0=2031, ch1=  16, ch2=2636, ch3=  92, ch4= 160, ch5= 454, ts=1713174321515017,	delta=1454,
seq_no=80,	ch0=1507, ch1=   2, ch2=2657, ch3= 134, ch4= 183, ch5= 436, ts=1713174321515346,	delta=329,
seq_no=81,	ch0=1141, ch1= 231, ch2=2727, ch3=  42, ch4= 268, ch5= 435, ts=1713174321516112,	delta=766,
seq_no=82,	ch0= 782, ch1= 558, ch2=2731, ch3=   0, ch4= 342, ch5= 371, ts=1713174321516941,	delta=829,
seq_no=83,	ch0= 448, ch1= 935, ch2=2727, ch3=  15, ch4= 389, ch5= 295, ts=1713174321517783,	delta=842,
seq_no=84,	ch0= 149, ch1=1351, ch2=2711, ch3=  27, ch4= 425, ch5= 221, ts=1713174321518677,	delta=894,
seq_no=85,	ch0=   0, ch1=1779, ch2=2696, ch3=  73, ch4= 448, ch5= 146, ts=1713174321519473,	delta=796,
seq_no=86,	ch0=   0, ch1=2179, ch2=2615, ch3= 113, ch4= 440, ch5=  89, ts=1713174321520310,	delta=837,
seq_no=87,	ch0=   0, ch1=2464, ch2=2259, ch3= 174, ch4= 441, ch5=  46, ts=1713174321521149,	delta=839,
seq_no=88,	ch0=   5, ch1=2521, ch2=1817, ch3= 253, ch4= 430, ch5=   3, ts=1713174321521988,	delta=839,
seq_no=89,	ch0= 241, ch1=2531, ch2=1339, ch3= 340, ch4= 390, ch5=   0, ts=1713174321522839,	delta=851,
seq_no=90,	ch0= 556, ch1=2500, ch2= 895, ch3= 386, ch4= 423, ch5=   0, ts=1713174321523673,	delta=834,
seq_no=91,	ch0= 937, ch1=2555, ch2= 495, ch3= 433, ch4= 313, ch5=   0, ts=1713174321524514,	delta=841,
seq_no=92,	ch0=1388, ch1=2544, ch2= 179, ch3= 456, ch4= 146, ch5=  10, ts=1713174321525358,	delta=844,
seq_no=93,	ch0=1812, ch1=2512, ch2=  45, ch3= 489, ch4= 130, ch5=  38, ts=1713174321526199,	delta=841,
seq_no=94,	ch0=2043, ch1=2433, ch2=  17, ch3= 557, ch4=  64, ch5= 134, ts=1713174321527053,	delta=854,
seq_no=95,	ch0=2370, ch1=2078, ch2=  13, ch3= 502, ch4=  38, ch5= 163, ts=1713174321527889,	delta=836,
seq_no=96,	ch0=2439, ch1=1663, ch2=  32, ch3= 493, ch4=  11, ch5= 236, ts=1713174321528728,	delta=839,
seq_no=97,	ch0=2466, ch1=1219, ch2= 307, ch3= 449, ch4=   0, ch5= 301, ts=1713174321529626,	delta=898,
seq_no=98,	ch0=2473, ch1= 810, ch2= 654, ch3= 398, ch4=   0, ch5= 361, ts=1713174321530418,	delta=792,
seq_no=99,	ch0=2471, ch1= 442, ch2=1083, ch3= 335, ch4=   0, ch5= 406, ts=1713174321531264,	delta=846,
seq_no=100,	ch0=2448, ch1= 132, ch2=1515, ch3= 253, ch4=  10, ch5= 438, ts=1713174321532095,	delta=831,
seq_no=101,	ch0=2412, ch1=  26, ch2=1975, ch3= 185, ch4=  57, ch5= 432, ts=1713174321532934,	delta=839,
seq_no=102,	ch0=2305, ch1=  13, ch2=2423, ch3= 130, ch4= 106, ch5= 448, ts=1713174321533775,	delta=841,
seq_no=103,	ch0=1939, ch1=  13, ch2=2654, ch3=  89, ch4= 167, ch5= 454, ts=1713174321534844,	delta=1069,
seq_no=104,	ch0=1500, ch1=   0, ch2=2687, ch3=  42, ch4= 313, ch5= 430, ts=1713174321535531,	delta=687,
seq_no=105,	ch0=1117, ch1= 274, ch2=2721, ch3=  17, ch4= 209, ch5= 381, ts=1713174321536315,	delta=784,
seq_no=106,	ch0= 832, ch1= 627, ch2=2754, ch3=  25, ch4= 341, ch5= 331, ts=1713174321537152,	delta=837,
seq_no=107,	ch0= 374, ch1=1043, ch2=2723, ch3=  15, ch4= 403, ch5= 277, ts=1713174321537993,	delta=841,
seq_no=108,	ch0=  91, ch1=1465, ch2=2708, ch3=  36, ch4= 429, ch5= 206, ts=1713174321538855,	delta=862,
seq_no=109,	ch0=   0, ch1=1892, ch2=2672, ch3=  82, ch4= 448, ch5= 139, ts=1713174321539681,	delta=826,
seq_no=110,	ch0=   0, ch1=2280, ch2=2559, ch3= 133, ch4= 449, ch5=  81, ts=1713174321540522,	delta=841,
seq_no=111,	ch0=   0, ch1=2488, ch2=2146, ch3= 198, ch4= 448, ch5=  36, ts=1713174321541364,	delta=842,
seq_no=112,	ch0=  56, ch1=2528, ch2=1778, ch3= 270, ch4= 418, ch5=   2, ts=1713174321542206,	delta=842,
seq_no=113,	ch0= 320, ch1=2553, ch2=1255, ch3= 339, ch4= 388, ch5=   0, ts=1713174321543050,	delta=844,
seq_no=114,	ch0= 656, ch1=2568, ch2= 751, ch3= 394, ch4= 322, ch5=  57, ts=1713174321543891,	delta=841,
seq_no=115,	ch0=1044, ch1=2544, ch2= 378, ch3= 436, ch4= 263, ch5=   0, ts=1713174321544735,	delta=844,
seq_no=116,	ch0=1448, ch1=2550, ch2=  82, ch3= 503, ch4= 207, ch5=   0, ts=1713174321545577,	delta=842,
seq_no=117,	ch0=1860, ch1=2357, ch2=  19, ch3= 470, ch4= 213, ch5=  42, ts=1713174321546418,	delta=841,
seq_no=118,	ch0=2240, ch1=2299, ch2=   0, ch3= 510, ch4= 128, ch5=  98, ts=1713174321547271,	delta=853,
seq_no=119,	ch0=2393, ch1=1975, ch2=   0, ch3= 492, ch4=  34, ch5= 181, ts=1713174321550536,	delta=3265,
seq_no=120,	ch0=2438, ch1=1553, ch2=  90, ch3= 473, ch4=  21, ch5= 257, ts=1713174321550810,	delta=274,
seq_no=121,	ch0=2456, ch1=1113, ch2= 383, ch3= 430, ch4=   0, ch5= 320, ts=1713174321550841,	delta=31,
seq_no=122,	ch0=2464, ch1= 716, ch2= 756, ch3= 374, ch4=   0, ch5= 370, ts=1713174321550870,	delta=29,
seq_no=123,	ch0=2456, ch1= 361, ch2=1188, ch3= 323, ch4=   0, ch5= 420, ts=1713174321551536,	delta=666,
seq_no=124,	ch0=2428, ch1=  84, ch2=1663, ch3= 234, ch4=  19, ch5= 450, ts=1713174321552334,	delta=798,
seq_no=125,	ch0=2392, ch1=  21, ch2=2119, ch3= 160, ch4=  64, ch5= 450, ts=1713174321553173,	delta=839,
seq_no=126,	ch0=2211, ch1=  13, ch2=2547, ch3= 101, ch4= 123, ch5= 462, ts=1713174321554008,	delta=835,
seq_no=127,	ch0=1824, ch1=  16, ch2=2638, ch3=  64, ch4= 182, ch5= 500, ts=1713174321554864,	delta=856,
seq_no=128,	ch0=1457, ch1= 132, ch2=2716, ch3=  35, ch4= 275, ch5= 476, ts=1713174321555691,	delta=827,
seq_no=129,	ch0=1007, ch1= 381, ch2=2737, ch3=  16, ch4= 302, ch5= 309, ts=1713174321556531,	delta=840,
seq_no=130,	ch0= 617, ch1= 811, ch2=2734, ch3=  18, ch4= 374, ch5= 304, ts=1713174321557371,	delta=840,
seq_no=131,	ch0= 296, ch1=1154, ch2=2731, ch3=  18, ch4= 404, ch5= 269, ts=1713174321558216,	delta=845,
seq_no=132,	ch0=  36, ch1=1572, ch2=2692, ch3=  38, ch4= 426, ch5= 186, ts=1713174321559068,	delta=852,
seq_no=133,	ch0=   0, ch1=1988, ch2=2653, ch3=  82, ch4= 448, ch5= 117, ts=1713174321559899,	delta=831,
seq_no=134,	ch0=   0, ch1=2382, ch2=2451, ch3= 141, ch4= 459, ch5=  69, ts=1713174321560742,	delta=843,
seq_no=135,	ch0=   0, ch1=2496, ch2=2016, ch3= 211, ch4= 448, ch5=  28, ts=1713174321561582,	delta=840,
seq_no=136,	ch0=  69, ch1=2535, ch2=1557, ch3= 341, ch4= 407, ch5=   2, ts=1713174321562426,	delta=844,
seq_no=137,	ch0= 379, ch1=2551, ch2=1088, ch3= 381, ch4= 365, ch5=  18, ts=1713174321563277,	delta=851,
seq_no=138,	ch0= 740, ch1=2556, ch2= 673, ch3= 398, ch4= 305, ch5=   0, ts=1713174321564112,	delta=835,
seq_no=139,	ch0=1132, ch1=2520, ch2= 301, ch3= 440, ch4= 231, ch5=   0, ts=1713174321564954,	delta=842,
seq_no=140,	ch0=1549, ch1=2544, ch2= 111, ch3= 466, ch4= 197, ch5=  46, ts=1713174321565795,	delta=841,
seq_no=141,	ch0=1941, ch1=2455, ch2=   0, ch3= 476, ch4=  89, ch5= 162, ts=1713174321566686,	delta=891,
seq_no=142,	ch0=2326, ch1=2259, ch2=   4, ch3= 500, ch4=  50, ch5= 125, ts=1713174321567488,	delta=802,
seq_no=143,	ch0=2407, ch1=1863, ch2=   8, ch3= 492, ch4=  10, ch5= 201, ts=1713174321568326,	delta=838,
seq_no=144,	ch0=2446, ch1=1430, ch2= 180, ch3= 460, ch4=   0, ch5= 282, ts=1713174321569168,	delta=842,
seq_no=145,	ch0=2460, ch1= 999, ch2= 491, ch3= 429, ch4=   0, ch5= 352, ts=1713174321570009,	delta=841,
seq_no=146,	ch0=2465, ch1= 613, ch2= 880, ch3= 366, ch4=   0, ch5= 386, ts=1713174321570860,	delta=851,
seq_no=147,	ch0=2459, ch1= 265, ch2=1320, ch3= 296, ch4=   0, ch5= 403, ts=1713174321571695,	delta=835,
seq_no=148,	ch0=2435, ch1=  25, ch2=1793, ch3= 226, ch4=  29, ch5= 444, ts=1713174321572536,	delta=841,
seq_no=149,	ch0=2374, ch1=  17, ch2=2243, ch3= 153, ch4=  66, ch5= 470, ts=1713174321573377,	delta=841,
seq_no=150,	ch0=2119, ch1=  16, ch2=2608, ch3= 101, ch4= 122, ch5= 455, ts=1713174321574276,	delta=899,
seq_no=151,	ch0=1695, ch1=  13, ch2=2672, ch3=  11, ch4= 187, ch5= 438, ts=1713174321575079,	delta=803,
seq_no=152,	ch0=1274, ch1= 234, ch2=2716, ch3=   6, ch4= 259, ch5= 413, ts=1713174321575907,	delta=828,
seq_no=153,	ch0= 890, ch1= 472, ch2=2824, ch3=   9, ch4= 329, ch5= 360, ts=1713174321576746,	delta=839,
seq_no=154,	ch0= 538, ch1= 861, ch2=2727, ch3=  21, ch4= 387, ch5= 306, ts=1713174321577594,	delta=848,
seq_no=155,	ch0= 214, ch1=1275, ch2=2713, ch3=  21, ch4= 420, ch5= 229, ts=1713174321578433,	delta=839,
seq_no=156,	ch0=   0, ch1=1700, ch2=2688, ch3=  64, ch4= 440, ch5= 159, ts=1713174321579284,	delta=851,
seq_no=157,	ch0=   0, ch1=2112, ch2=2638, ch3= 102, ch4= 444, ch5= 107, ts=1713174321580119,	delta=835,
seq_no=158,	ch0=   0, ch1=2445, ch2=2352, ch3= 155, ch4= 437, ch5=  58, ts=1713174321581215,	delta=1096,
seq_no=159,	ch0=   0, ch1=2497, ch2=1900, ch3= 235, ch4= 428, ch5=   8, ts=1713174321581853,	delta=638,
seq_no=160,	ch0= 192, ch1=2528, ch2=1434, ch3= 312, ch4= 457, ch5=   0, ts=1713174321582715,	delta=862,
seq_no=161,	ch0= 498, ch1=2558, ch2= 978, ch3= 366, ch4= 302, ch5=   0, ts=1713174321583503,	delta=788,
seq_no=162,	ch0= 911, ch1=2561, ch2= 576, ch3= 425, ch4= 277, ch5=   0, ts=1713174321584340,	delta=837,
seq_no=163,	ch0=1131, ch1=2543, ch2= 221, ch3= 518, ch4= 203, ch5=  33, ts=1713174321585179,	delta=839,
seq_no=164,	ch0=1619, ch1=2515, ch2=  24, ch3= 520, ch4= 152, ch5=  17, ts=1713174321586019,	delta=840,
seq_no=165,	ch0=2036, ch1=2465, ch2=  11, ch3= 452, ch4=  91, ch5=  87, ts=1713174321586869,	delta=850,
seq_no=166,	ch0=2361, ch1=2165, ch2=   8, ch3= 498, ch4=  46, ch5= 139, ts=1713174321587693,	delta=824,
seq_no=167,	ch0=2420, ch1=1755, ch2=   8, ch3= 485, ch4=  16, ch5= 215, ts=1713174321588536,	delta=843,
seq_no=168,	ch0=2451, ch1=1307, ch2= 249, ch3= 456, ch4=   0, ch5= 286, ts=1713174321589378,	delta=842,
seq_no=169,	ch0=2466, ch1= 899, ch2= 602, ch3= 410, ch4=   1, ch5= 339, ts=1713174321590219,	delta=841,
seq_no=170,	ch0=2465, ch1= 517, ch2= 993, ch3= 348, ch4=   0, ch5= 390, ts=1713174321591074,	delta=855,
seq_no=171,	ch0=2449, ch1= 213, ch2=1427, ch3= 278, ch4=  10, ch5= 418, ts=1713174321591916,	delta=842,
seq_no=172,	ch0=2426, ch1=  30, ch2=1902, ch3= 205, ch4=  41, ch5= 453, ts=1713174321592754,	delta=838,
seq_no=173,	ch0=2348, ch1=   0, ch2=2342, ch3= 136, ch4=  92, ch5= 455, ts=1713174321593598,	delta=844,
seq_no=174,	ch0=2027, ch1=   0, ch2=2639, ch3=  93, ch4= 174, ch5= 423, ts=1713174321594440,	delta=842,
seq_no=175,	ch0=1603, ch1=   0, ch2=2698, ch3=  44, ch4= 164, ch5= 418, ts=1713174321595288,	delta=848,
seq_no=176,	ch0=1289, ch1= 245, ch2=2727, ch3=  34, ch4= 267, ch5= 387, ts=1713174321596126,	delta=838,
seq_no=177,	ch0= 704, ch1= 553, ch2=2727, ch3=  74, ch4= 332, ch5= 370, ts=1713174321596966,	delta=840,
seq_no=178,	ch0= 448, ch1= 960, ch2=2727, ch3=  19, ch4= 396, ch5= 287, ts=1713174321597808,	delta=842,
seq_no=179,	ch0= 144, ch1=1377, ch2=2712, ch3=  34, ch4= 422, ch5= 210, ts=1713174321598690,	delta=882,
seq_no=180,	ch0=   0, ch1=1800, ch2=2683, ch3=  81, ch4= 444, ch5= 155, ts=1713174321599496,	delta=806,
seq_no=181,	ch0=   0, ch1=2207, ch2=2611, ch3= 114, ch4= 452, ch5=  88, ts=1713174321600337,	delta=841,
seq_no=182,	ch0=   0, ch1=2475, ch2=2240, ch3= 180, ch4= 448, ch5=  41, ts=1713174321601177,	delta=840,
seq_no=183,	ch0=   8, ch1=2529, ch2=1829, ch3= 256, ch4= 429, ch5=   5, ts=1713174321602020,	delta=843,
seq_no=184,	ch0= 251, ch1=2547, ch2=1278, ch3= 323, ch4= 386, ch5=  64, ts=1713174321602872,	delta=852,
seq_no=185,	ch0= 576, ch1=2568, ch2= 860, ch3= 386, ch4= 337, ch5=   0, ts=1713174321603703,	delta=831,
seq_no=186,	ch0= 969, ch1=2552, ch2= 470, ch3= 463, ch4= 288, ch5=   0, ts=1713174321604545,	delta=842,
seq_no=187,	ch0=1336, ch1=2443, ch2= 145, ch3= 470, ch4= 286, ch5=   2, ts=1713174321605390,	delta=845,
