seq_no=47,	ch0=   0, ch1=1372, ch2=1037, ch3=   0, ch4= 960, ch5= 730, ts=1712137735276737,	delta=813,
seq_no=48,	ch0=  78, ch1=1508, ch2= 807, ch3=   9, ch4=1041, ch5= 567, ts=1712137735277651,	delta=914,
seq_no=49,	ch0= 197, ch1=1589, ch2= 586, ch3=  97, ch4=1105, ch5= 420, ts=1712137735278409,	delta=758,
seq_no=50,	ch0= 328, ch1=1600, ch2= 364, ch3= 277, ch4=1112, ch5= 257, ts=1712137735279267,	delta=858,
seq_no=51,	ch0= 586, ch1=1569, ch2= 157, ch3= 395, ch4=1105, ch5= 109, ts=1712137735280116,	delta=849,
seq_no=52,	ch0= 747, ch1=1472, ch2=  41, ch3= 599, ch4=1047, ch5=  53, ts=1712137735280938,	delta=822,
seq_no=53,	ch0= 997, ch1=1332, ch2=   0, ch3= 730, ch4= 960, ch5=  30, ts=1712137735281790,	delta=852,
seq_no=54,	ch0=1261, ch1=1146, ch2=  34, ch3= 892, ch4= 796, ch5=   0, ts=1712137735282575,	delta=785,
seq_no=55,	ch0=1319, ch1= 996, ch2=  53, ch3= 999, ch4= 688, ch5=   0, ts=1712137735283397,	delta=822,
seq_no=56,	ch0=1466, ch1= 733, ch2= 106, ch3=1077, ch4= 449, ch5=  11, ts=1712137735284232,	delta=835,
seq_no=57,	ch0=1532, ch1= 530, ch2= 253, ch3=1165, ch4= 360, ch5= 128, ts=1712137735285069,	delta=837,
seq_no=58,	ch0=1549, ch1= 338, ch2= 455, ch3=1208, ch4= 233, ch5= 266, ts=1712137735285924,	delta=855,
seq_no=59,	ch0=1504, ch1= 165, ch2= 672, ch3=1210, ch4= 110, ch5= 413, ts=1712137735286755,	delta=831,
seq_no=60,	ch0=1410, ch1=  42, ch2= 908, ch3=1171, ch4=  37, ch5= 581, ts=1712137735287596,	delta=841,
seq_no=61,	ch0=1271, ch1=   0, ch2=1133, ch3=1088, ch4=   0, ch5= 745, ts=1712137735288436,	delta=840,
seq_no=62,	ch0=1099, ch1=   0, ch2=1344, ch3= 932, ch4=   0, ch5= 870, ts=1712137735289273,	delta=837,
seq_no=63,	ch0= 887, ch1=   2, ch2=1521, ch3= 773, ch4=   0, ch5= 993, ts=1712137735290119,	delta=846,
seq_no=64,	ch0= 698, ch1= 106, ch2=1664, ch3= 616, ch4=  39, ch5=1079, ts=1712137735290964,	delta=845,
seq_no=65,	ch0= 462, ch1= 266, ch2=1731, ch3= 400, ch4= 129, ch5=1140, ts=1712137735291806,	delta=842,
seq_no=66,	ch0= 312, ch1= 514, ch2=1735, ch3= 320, ch4= 288, ch5=1138, ts=1712137735292649,	delta=843,
