seq_no=0,	ch0=   0, ch1=2515, ch2=1840, ch3=  51, ch4= 309, ch5= 832, ts=1714037818028250,	delta=1714037818028250,
seq_no=1,	ch0=   0, ch1=2470, ch2=2280, ch3= 148, ch4= 197, ch5= 845, ts=1714037818030841,	delta=2591,
seq_no=2,	ch0=   0, ch1=2183, ch2=2624, ch3= 267, ch4= 119, ch5= 866, ts=1714037818031049,	delta=208,
seq_no=3,	ch0=   0, ch1=1826, ch2=2685, ch3= 415, ch4=  45, ch5= 803, ts=1714037818031150,	delta=101,
seq_no=4,	ch0= 264, ch1=1319, ch2=2708, ch3= 535, ch4=   0, ch5= 752, ts=1714037818031240,	delta=90,
seq_no=5,	ch0= 448, ch1= 915, ch2=2732, ch3= 624, ch4=   0, ch5= 670, ts=1714037818031328,	delta=88,
seq_no=6,	ch0= 832, ch1= 554, ch2=2719, ch3= 736, ch4=  27, ch5= 578, ts=1714037818031414,	delta=86,
seq_no=7,	ch0=1208, ch1= 307, ch2=2713, ch3= 832, ch4=  12, ch5= 390, ts=1714037818031448,	delta=34,
seq_no=8,	ch0=1796, ch1=   0, ch2=2691, ch3= 875, ch4=  16, ch5= 290, ts=1714037818031477,	delta=29,
seq_no=9,	ch0=2045, ch1=   0, ch2=2631, ch3= 905, ch4= 162, ch5= 198, ts=1714037818031507,	delta=30,
seq_no=10,	ch0=2360, ch1=   9, ch2=2308, ch3= 897, ch4= 285, ch5= 116, ts=1714037818031536,	delta=29,
seq_no=11,	ch0=2416, ch1=  26, ch2=1859, ch3= 871, ch4= 410, ch5=  56, ts=1714037818031565,	delta=29,
seq_no=12,	ch0=2454, ch1= 231, ch2=1398, ch3= 824, ch4= 540, ch5=   5, ts=1714037818031594,	delta=29,
seq_no=13,	ch0=2464, ch1= 526, ch2= 951, ch3= 738, ch4= 637, ch5=   0, ts=1714037818031623,	delta=29,
seq_no=14,	ch0=2470, ch1= 925, ch2= 545, ch3= 608, ch4= 741, ch5=   4, ts=1714037818031652,	delta=29,
seq_no=15,	ch0=2445, ch1=1336, ch2= 199, ch3= 472, ch4= 777, ch5=  13, ts=1714037818031681,	delta=29,
seq_no=16,	ch0=2421, ch1=1777, ch2=   4, ch3= 346, ch4= 803, ch5=  64, ts=1714037818031710,	delta=29,
seq_no=17,	ch0=2303, ch1=2179, ch2=  11, ch3= 261, ch4= 842, ch5= 181, ts=1714037818031739,	delta=29,
seq_no=18,	ch0= 395, ch1=1035, ch2=2715, ch3= 473, ch4=   2, ch5= 484, ts=1714037818031769,	delta=30,
seq_no=19,	ch0= 713, ch1= 646, ch2=2711, ch3= 541, ch4=  11, ch5= 429, ts=1714037818031798,	delta=29,
seq_no=20,	ch0=1979, ch1=  21, ch2=2651, ch3= 680, ch4= 105, ch5=  64, ts=1714037818031828,	delta=30,
seq_no=21,	ch0=2295, ch1=   0, ch2=2447, ch3= 686, ch4= 167, ch5=  96, ts=1714037818031857,	delta=29,
seq_no=22,	ch0=2353, ch1=  16, ch2=1987, ch3= 666, ch4= 261, ch5=  39, ts=1714037818031886,	delta=29,
seq_no=23,	ch0=2443, ch1= 156, ch2=1530, ch3= 642, ch4= 342, ch5=   0, ts=1714037818032097,	delta=211,
seq_no=24,	ch0=2459, ch1= 451, ch2=1091, ch3= 576, ch4= 434, ch5=   9, ts=1714037818035616,	delta=3519,
seq_no=25,	ch0=2467, ch1= 798, ch2= 664, ch3= 490, ch4= 489, ch5=   0, ts=1714037818035662,	delta=46,
seq_no=26,	ch0=2452, ch1=1216, ch2= 290, ch3= 383, ch4= 551, ch5=   2, ts=1714037818035693,	delta=31,
seq_no=27,	ch0=2432, ch1=1641, ch2= 110, ch3= 273, ch4= 576, ch5=  38, ts=1714037818035723,	delta=30,
seq_no=28,	ch0=2383, ch1=2059, ch2=   0, ch3= 194, ch4= 578, ch5= 133, ts=1714037818036501,	delta=778,
seq_no=29,	ch0=2147, ch1=2369, ch2=   3, ch3= 120, ch4= 633, ch5= 166, ts=1714037818037298,	delta=797,
seq_no=30,	ch0=1658, ch1=2510, ch2=  29, ch3= 146, ch4= 560, ch5= 267, ts=1714037818038082,	delta=784,
seq_no=31,	ch0=1332, ch1=2546, ch2= 184, ch3=   3, ch4= 525, ch5= 358, ts=1714037818038941,	delta=859,
seq_no=32,	ch0= 963, ch1=2572, ch2= 476, ch3=   0, ch4= 481, ch5= 378, ts=1714037818039771,	delta=830,
seq_no=33,	ch0= 563, ch1=2561, ch2= 903, ch3=   4, ch4= 397, ch5= 511, ts=1714037818040605,	delta=834,
seq_no=34,	ch0= 236, ch1=2548, ch2=1359, ch3=   8, ch4= 304, ch5= 568, ts=1714037818041452,	delta=847,
seq_no=35,	ch0=   0, ch1=2515, ch2=1818, ch3=  40, ch4= 216, ch5= 608, ts=1714037818042302,	delta=850,
seq_no=36,	ch0=   0, ch1=2462, ch2=2272, ch3= 102, ch4= 128, ch5= 609, ts=1714037818043138,	delta=836,
seq_no=37,	ch0=   0, ch1=2187, ch2=2630, ch3= 201, ch4=  71, ch5= 605, ts=1714037818043984,	delta=846,
seq_no=38,	ch0=   0, ch1=1774, ch2=2680, ch3= 310, ch4=  25, ch5= 590, ts=1714037818044847,	delta=863,
seq_no=39,	ch0= 146, ch1=1351, ch2=2705, ch3= 402, ch4=   0, ch5= 538, ts=1714037818045652,	delta=805,
seq_no=40,	ch0= 448, ch1= 919, ch2=2727, ch3= 494, ch4=   0, ch5= 481, ts=1714037818046477,	delta=825,
seq_no=41,	ch0= 812, ch1= 543, ch2=2733, ch3= 557, ch4=   0, ch5= 409, ts=1714037818047277,	delta=800,
seq_no=42,	ch0=1080, ch1= 220, ch2=2688, ch3= 694, ch4=   0, ch5= 313, ts=1714037818048088,	delta=811,
seq_no=43,	ch0=1615, ch1=  17, ch2=2679, ch3= 660, ch4=  33, ch5= 203, ts=1714037818048917,	delta=829,
seq_no=44,	ch0=2060, ch1=  14, ch2=2615, ch3= 679, ch4= 113, ch5=  37, ts=1714037818049758,	delta=841,
seq_no=45,	ch0=2360, ch1=  13, ch2=2333, ch3= 687, ch4= 192, ch5=  85, ts=1714037818050686,	delta=928,
seq_no=46,	ch0=2407, ch1=  20, ch2=1900, ch3= 664, ch4= 283, ch5=  45, ts=1714037818051460,	delta=774,
seq_no=47,	ch0=2447, ch1= 216, ch2=1420, ch3= 625, ch4= 362, ch5=   0, ts=1714037818052297,	delta=837,
seq_no=48,	ch0=2465, ch1= 528, ch2= 984, ch3= 553, ch4= 451, ch5=   0, ts=1714037818053132,	delta=835,
seq_no=49,	ch0=2476, ch1= 898, ch2= 559, ch3= 463, ch4= 502, ch5=   0, ts=1714037818053975,	delta=843,
seq_no=50,	ch0=2449, ch1=1319, ch2= 216, ch3= 386, ch4= 553, ch5=  21, ts=1714037818054887,	delta=912,
seq_no=51,	ch0=2420, ch1=1754, ch2=  41, ch3= 250, ch4= 570, ch5=  46, ts=1714037818055691,	delta=804,
seq_no=52,	ch0=2353, ch1=2263, ch2=   0, ch3= 166, ch4= 586, ch5=  76, ts=1714037818056515,	delta=824,
seq_no=53,	ch0=2044, ch1=2452, ch2=  16, ch3=  96, ch4= 604, ch5= 198, ts=1714037818057347,	delta=832,
seq_no=54,	ch0=1600, ch1=2521, ch2=  34, ch3=  81, ch4= 553, ch5= 339, ts=1714037818058188,	delta=841,
seq_no=55,	ch0=1220, ch1=2557, ch2= 306, ch3=   0, ch4= 558, ch5= 406, ts=1714037818059041,	delta=853,
