seq_no=47,	ch0=1241, ch1= 217, ch2=2709, ch3= 418, ch4=   0, ch5= 181, ts=1714037838329864,	delta=840,
seq_no=48,	ch0=1653, ch1=   0, ch2=2687, ch3= 448, ch4=  33, ch5= 132, ts=1714037838330867,	delta=1003,
seq_no=49,	ch0=2054, ch1=   0, ch2=2620, ch3= 455, ch4=  67, ch5=  71, ts=1714037838332503,	delta=1636,
seq_no=50,	ch0=2368, ch1=  21, ch2=2305, ch3= 448, ch4= 122, ch5=  37, ts=1714037838332544,	delta=41,
seq_no=51,	ch0=2432, ch1=  27, ch2=1844, ch3= 386, ch4= 180, ch5=  23, ts=1714037838333347,	delta=803,
seq_no=52,	ch0=2459, ch1= 234, ch2=1268, ch3= 406, ch4= 218, ch5=  81, ts=1714037838334106,	delta=759,
seq_no=53,	ch0=2489, ch1= 594, ch2= 926, ch3= 395, ch4= 308, ch5=   0, ts=1714037838334955,	delta=849,
seq_no=54,	ch0=2470, ch1= 909, ch2= 543, ch3= 301, ch4= 332, ch5=   0, ts=1714037838335764,	delta=809,
seq_no=55,	ch0=2449, ch1=1344, ch2= 185, ch3= 224, ch4= 360, ch5=   9, ts=1714037838336605,	delta=841,
seq_no=56,	ch0=2419, ch1=1779, ch2=   6, ch3= 159, ch4= 372, ch5=  29, ts=1714037838337446,	delta=841,
seq_no=57,	ch0=2355, ch1=2182, ch2=   4, ch3=  98, ch4= 368, ch5=  70, ts=1714037838338286,	delta=840,
seq_no=58,	ch0=2016, ch1=2471, ch2=  14, ch3=  49, ch4= 373, ch5= 121, ts=1714037838339144,	delta=858,
seq_no=59,	ch0=1618, ch1=2522, ch2=  34, ch3=  17, ch4= 357, ch5= 193, ts=1714037838339971,	delta=827,
seq_no=60,	ch0=1200, ch1=2534, ch2= 212, ch3=   0, ch4= 334, ch5= 350, ts=1714037838340813,	delta=842,
seq_no=61,	ch0= 811, ch1=2552, ch2= 624, ch3=   2, ch4= 284, ch5= 290, ts=1714037838341657,	delta=844,
seq_no=62,	ch0= 524, ch1=2555, ch2=1053, ch3=   3, ch4= 205, ch5= 340, ts=1714037838342499,	delta=842,
seq_no=63,	ch0= 117, ch1=2543, ch2=1515, ch3=   0, ch4= 168, ch5= 378, ts=1714037838343352,	delta=853,
seq_no=64,	ch0=   0, ch1=2488, ch2=1900, ch3=  49, ch4= 103, ch5= 462, ts=1714037838344185,	delta=833,
seq_no=65,	ch0=  10, ch1=2433, ch2=2385, ch3= 132, ch4=  88, ch5= 345, ts=1714037838345028,	delta=843,
seq_no=66,	ch0=  47, ch1=2048, ch2=2660, ch3= 153, ch4=  13, ch5= 387, ts=1714037838345866,	delta=838,
seq_no=67,	ch0=   9, ch1=1639, ch2=2696, ch3= 237, ch4=   0, ch5= 355, ts=1714037838346718,	delta=852,
seq_no=68,	ch0= 247, ch1=1219, ch2=2719, ch3= 301, ch4=   0, ch5= 327, ts=1714037838347553,	delta=835,
seq_no=69,	ch0= 562, ch1= 803, ch2=2733, ch3= 345, ch4=   0, ch5= 291, ts=1714037838348394,	delta=841,
seq_no=70,	ch0= 944, ch1= 448, ch2=2732, ch3= 395, ch4=   0, ch5= 231, ts=1714037838349234,	delta=840,
seq_no=71,	ch0=1347, ch1= 145, ch2=2715, ch3= 424, ch4=  12, ch5= 181, ts=1714037838350077,	delta=843,
seq_no=72,	ch0=1762, ch1=  23, ch2=2674, ch3= 436, ch4=  41, ch5= 121, ts=1714037838350927,	delta=850,
seq_no=73,	ch0=2159, ch1=  18, ch2=2583, ch3= 452, ch4=  66, ch5=  37, ts=1714037838351764,	delta=837,
seq_no=74,	ch0=2391, ch1=   5, ch2=2191, ch3= 448, ch4= 132, ch5=  37, ts=1714037838352602,	delta=838,
seq_no=75,	ch0=2427, ch1=  48, ch2=1756, ch3= 462, ch4= 192, ch5=  52, ts=1714037838353446,	delta=844,
seq_no=76,	ch0=2446, ch1= 286, ch2=1350, ch3= 381, ch4= 267, ch5=   0, ts=1714037838354289,	delta=843,
seq_no=77,	ch0=2447, ch1= 688, ch2= 797, ch3= 340, ch4= 281, ch5=   0, ts=1714037838355140,	delta=851,
seq_no=78,	ch0=2463, ch1=1028, ch2= 432, ch3= 285, ch4= 337, ch5=   0, ts=1714037838355972,	delta=832,
seq_no=79,	ch0=2446, ch1=1456, ch2= 125, ch3= 218, ch4= 368, ch5=  18, ts=1714037838357088,	delta=1116,
seq_no=80,	ch0=2407, ch1=1888, ch2=   0, ch3= 142, ch4= 375, ch5=  44, ts=1714037838357723,	delta=635,
seq_no=81,	ch0=2301, ch1=2279, ch2=   5, ch3=  81, ch4= 382, ch5=  89, ts=1714037838358522,	delta=799,
seq_no=82,	ch0=1919, ch1=2487, ch2=  11, ch3=  37, ch4= 373, ch5= 146, ts=1714037838359363,	delta=841,
seq_no=83,	ch0=1498, ch1=2529, ch2=  79, ch3=  30, ch4= 354, ch5= 209, ts=1714037838360221,	delta=858,
seq_no=84,	ch0=1088, ch1=2540, ch2= 405, ch3=   0, ch4= 320, ch5= 267, ts=1714037838361036,	delta=815,
seq_no=85,	ch0= 712, ch1=2652, ch2= 709, ch3=   6, ch4= 276, ch5= 272, ts=1714037838361877,	delta=841,
seq_no=86,	ch0= 370, ch1=2552, ch2=1163, ch3=   0, ch4= 181, ch5= 347, ts=1714037838362730,	delta=853,
seq_no=87,	ch0=  38, ch1=2535, ch2=1643, ch3=  25, ch4= 155, ch5= 371, ts=1714037838363557,	delta=827,
seq_no=88,	ch0=   0, ch1=2516, ch2=2156, ch3=  54, ch4= 138, ch5= 397, ts=1714037838364399,	delta=842,
seq_no=89,	ch0=   0, ch1=2459, ch2=2478, ch3= 119, ch4=  52, ch5= 336, ts=1714037838365236,	delta=837,
seq_no=90,	ch0=   0, ch1=1951, ch2=2669, ch3= 177, ch4=  18, ch5= 373, ts=1714037838366084,	delta=848,
seq_no=91,	ch0=  64, ch1=1529, ch2=2704, ch3= 240, ch4=   0, ch5= 354, ts=1714037838366932,	delta=848,
seq_no=92,	ch0= 325, ch1=1112, ch2=2718, ch3= 298, ch4=   0, ch5= 325, ts=1714037838367770,	delta=838,
seq_no=93,	ch0= 663, ch1= 709, ch2=2720, ch3= 356, ch4=   0, ch5= 267, ts=1714037838368613,	delta=843,
seq_no=94,	ch0=1036, ch1= 369, ch2=2721, ch3= 403, ch4=   0, ch5= 211, ts=1714037838369452,	delta=839,
