seq_no=47,	ch0= 237, ch1=  77, ch2= 847, ch3= 448, ch4=   0, ch5= 280, ts=1714038040023985,	delta=827,
seq_no=48,	ch0= 352, ch1=  18, ch2= 799, ch3= 512, ch4=  19, ch5= 207, ts=1714038040024829,	delta=844,
seq_no=49,	ch0= 480, ch1=   0, ch2= 718, ch3= 548, ch4=  64, ch5= 114, ts=1714038040025670,	delta=841,
seq_no=50,	ch0= 569, ch1=   0, ch2= 624, ch3= 553, ch4= 122, ch5=  73, ts=1714038040026510,	delta=840,
seq_no=51,	ch0= 761, ch1=   0, ch2= 517, ch3= 537, ch4= 141, ch5=  25, ts=1714038040027361,	delta=851,
seq_no=52,	ch0= 631, ch1=   1, ch2= 427, ch3= 554, ch4= 266, ch5=  27, ts=1714038040028202,	delta=841,
seq_no=53,	ch0= 741, ch1=  84, ch2= 361, ch3= 453, ch4= 348, ch5=   0, ts=1714038040029040,	delta=838,
seq_no=54,	ch0= 761, ch1= 176, ch2= 184, ch3= 389, ch4= 376, ch5=   0, ts=1714038040029880,	delta=840,
seq_no=55,	ch0= 757, ch1= 281, ch2=  96, ch3= 320, ch4= 420, ch5=   0, ts=1714038040030732,	delta=852,
seq_no=56,	ch0= 710, ch1= 389, ch2=  18, ch3= 244, ch4= 461, ch5=  18, ts=1714038040032030,	delta=1298,
seq_no=57,	ch0= 649, ch1= 496, ch2=   0, ch3= 172, ch4= 480, ch5=  64, ts=1714038040032455,	delta=425,
seq_no=58,	ch0= 554, ch1= 589, ch2=   0, ch3= 100, ch4= 485, ch5= 125, ts=1714038040033262,	delta=807,
seq_no=59,	ch0= 456, ch1= 673, ch2=   0, ch3=  53, ch4= 471, ch5= 240, ts=1714038040034097,	delta=835,
seq_no=60,	ch0= 353, ch1= 684, ch2=  33, ch3=   4, ch4= 512, ch5= 274, ts=1714038040034950,	delta=853,
seq_no=61,	ch0= 325, ch1= 765, ch2= 114, ch3=   0, ch4= 373, ch5= 350, ts=1714038040035777,	delta=827,
seq_no=62,	ch0= 143, ch1= 781, ch2= 194, ch3=   0, ch4= 328, ch5= 405, ts=1714038040036616,	delta=839,
seq_no=63,	ch0=  66, ch1= 798, ch2= 378, ch3=   0, ch4= 296, ch5= 469, ts=1714038040037457,	delta=841,
seq_no=64,	ch0=   6, ch1= 756, ch2= 397, ch3=  13, ch4= 173, ch5= 418, ts=1714038040038295,	delta=838,
seq_no=65,	ch0=   0, ch1= 600, ch2= 540, ch3=  74, ch4= 157, ch5= 490, ts=1714038040039151,	delta=856,
seq_no=66,	ch0=   0, ch1= 565, ch2= 646, ch3= 123, ch4=  58, ch5= 511, ts=1714038040039979,	delta=828,
seq_no=67,	ch0=   0, ch1= 467, ch2= 736, ch3= 217, ch4=  18, ch5= 480, ts=1714038040040821,	delta=842,
seq_no=68,	ch0=  32, ch1= 360, ch2= 806, ch3= 302, ch4=   0, ch5= 442, ts=1714038040041662,	delta=841,
seq_no=69,	ch0=  97, ch1= 247, ch2= 851, ch3= 372, ch4=   0, ch5= 394, ts=1714038040044255,	delta=2593,
seq_no=70,	ch0= 170, ch1= 150, ch2= 861, ch3= 433, ch4=   0, ch5= 334, ts=1714038040044300,	delta=45,
seq_no=71,	ch0= 256, ch1=  66, ch2= 846, ch3= 483, ch4=   0, ch5= 272, ts=1714038040044331,	delta=31,
seq_no=72,	ch0= 377, ch1=  13, ch2= 781, ch3= 523, ch4=  21, ch5= 186, ts=1714038040045104,	delta=773,
seq_no=73,	ch0= 493, ch1=   0, ch2= 677, ch3= 552, ch4=  70, ch5= 136, ts=1714038040045893,	delta=789,
seq_no=74,	ch0= 580, ch1=  23, ch2= 604, ch3= 562, ch4= 145, ch5=  66, ts=1714038040046748,	delta=855,
seq_no=75,	ch0= 677, ch1=   0, ch2= 491, ch3= 546, ch4= 253, ch5=  22, ts=1714038040047563,	delta=815,
seq_no=76,	ch0= 594, ch1=  25, ch2= 354, ch3= 561, ch4= 273, ch5=   1, ts=1714038040048404,	delta=841,
seq_no=77,	ch0= 745, ch1= 157, ch2= 278, ch3= 418, ch4= 345, ch5=  10, ts=1714038040049307,	delta=903,
seq_no=78,	ch0= 767, ch1= 204, ch2= 168, ch3= 381, ch4= 389, ch5=   0, ts=1714038040050091,	delta=784,
seq_no=79,	ch0= 740, ch1= 301, ch2=  76, ch3= 301, ch4= 441, ch5=   0, ts=1714038040051217,	delta=1126,
seq_no=80,	ch0= 686, ch1= 418, ch2=   8, ch3= 224, ch4= 476, ch5=  23, ts=1714038040051831,	delta=614,
seq_no=81,	ch0= 618, ch1= 513, ch2=   0, ch3= 146, ch4= 484, ch5=  84, ts=1714038040052630,	delta=799,
seq_no=82,	ch0= 533, ch1= 613, ch2=   0, ch3=  93, ch4= 485, ch5= 154, ts=1714038040053456,	delta=826,
seq_no=83,	ch0= 442, ch1= 691, ch2=   0, ch3=  43, ch4= 470, ch5= 280, ts=1714038040054539,	delta=1083,
seq_no=84,	ch0= 332, ch1= 776, ch2=  34, ch3=   0, ch4= 478, ch5= 294, ts=1714038040055174,	delta=635,
seq_no=85,	ch0= 313, ch1= 772, ch2= 121, ch3=   0, ch4= 353, ch5= 362, ts=1714038040055991,	delta=817,
seq_no=86,	ch0= 107, ch1= 779, ch2= 233, ch3=   0, ch4= 293, ch5= 426, ts=1714038040056829,	delta=838,
seq_no=87,	ch0=  64, ch1= 744, ch2= 451, ch3=   0, ch4= 249, ch5= 477, ts=1714038040057662,	delta=833,
seq_no=88,	ch0=  58, ch1= 719, ch2= 413, ch3=  21, ch4= 165, ch5= 389, ts=1714038040058500,	delta=838,
seq_no=89,	ch0=   0, ch1= 579, ch2= 560, ch3=  85, ch4= 145, ch5= 501, ts=1714038040059345,	delta=845,
seq_no=90,	ch0=   0, ch1= 543, ch2= 669, ch3= 152, ch4=  50, ch5= 491, ts=1714038040060189,	delta=844,
seq_no=91,	ch0=   0, ch1= 438, ch2= 759, ch3= 241, ch4=  12, ch5= 480, ts=1714038040061026,	delta=837,
seq_no=92,	ch0=  34, ch1= 327, ch2= 824, ch3= 326, ch4=   0, ch5= 444, ts=1714038040061865,	delta=839,
seq_no=93,	ch0= 111, ch1= 220, ch2= 852, ch3= 382, ch4=   0, ch5= 386, ts=1714038040062715,	delta=850,
seq_no=94,	ch0= 205, ch1= 129, ch2= 852, ch3= 450, ch4=   0, ch5= 320, ts=1714038040063552,	delta=837,
seq_no=95,	ch0= 300, ch1=  50, ch2= 832, ch3= 490, ch4=   0, ch5= 244, ts=1714038040064396,	delta=844,
seq_no=96,	ch0= 403, ch1=   4, ch2= 769, ch3= 523, ch4=  34, ch5= 177, ts=1714038040065233,	delta=837,
seq_no=97,	ch0= 500, ch1=   0, ch2= 696, ch3= 535, ch4=  87, ch5= 115, ts=1714038040066078,	delta=845,
seq_no=98,	ch0= 593, ch1=  69, ch2= 560, ch3= 537, ch4= 145, ch5=   0, ts=1714038040066924,	delta=846,
seq_no=99,	ch0= 674, ch1=   0, ch2= 460, ch3= 536, ch4= 269, ch5=   8, ts=1714038040067761,	delta=837,
seq_no=100,	ch0= 789, ch1=  47, ch2= 364, ch3= 488, ch4= 270, ch5=   0, ts=1714038040068603,	delta=842,
