seq_no=47,	ch0=  13, ch1=1249, ch2=2401, ch3= 772, ch4=  25, ch5=1273, ts=1714036808759563,	delta=833,
seq_no=48,	ch0= 233, ch1= 926, ch2=2567, ch3= 880, ch4=   0, ch5=1168, ts=1714036808760405,	delta=842,
seq_no=49,	ch0= 490, ch1= 619, ch2=2578, ch3=1050, ch4=   0, ch5= 998, ts=1714036808761245,	delta=840,
seq_no=50,	ch0= 772, ch1= 358, ch2=2594, ch3=1176, ch4=   0, ch5= 810, ts=1714036808762091,	delta=846,
seq_no=51,	ch0=1088, ch1= 155, ch2=2474, ch3=1284, ch4=  38, ch5= 603, ts=1714036808762939,	delta=848,
seq_no=52,	ch0=1388, ch1=   0, ch2=2255, ch3=1363, ch4= 152, ch5= 434, ts=1714036808763772,	delta=833,
seq_no=53,	ch0=1708, ch1=   0, ch2=1968, ch3=1405, ch4= 320, ch5= 275, ts=1714036808764617,	delta=845,
seq_no=54,	ch0=1932, ch1=   0, ch2=1678, ch3=1403, ch4= 486, ch5= 163, ts=1714036808765460,	delta=843,
seq_no=55,	ch0=2127, ch1=  96, ch2=1333, ch3=1351, ch4= 663, ch5=  52, ts=1714036808766528,	delta=1068,
seq_no=56,	ch0=2273, ch1= 288, ch2= 975, ch3=1222, ch4= 834, ch5=   0, ts=1714036808767220,	delta=692,
seq_no=57,	ch0=2318, ch1= 656, ch2= 620, ch3=1059, ch4= 952, ch5=   0, ts=1714036808768425,	delta=1205,
seq_no=58,	ch0=2298, ch1= 772, ch2= 349, ch3= 876, ch4=1117, ch5=   0, ts=1714036808768963,	delta=538,
seq_no=59,	ch0=2081, ch1=1142, ch2= 122, ch3= 704, ch4=1146, ch5=  68, ts=1714036808769711,	delta=748,
seq_no=60,	ch0=1999, ch1=1487, ch2=   0, ch3= 476, ch4=1219, ch5= 176, ts=1714036808770527,	delta=816,
seq_no=61,	ch0=1744, ch1=1780, ch2=   1, ch3= 320, ch4=1248, ch5= 347, ts=1714036808771371,	delta=844,
seq_no=62,	ch0=1461, ch1=2032, ch2=   0, ch3= 193, ch4=1231, ch5= 549, ts=1714036808772204,	delta=833,
seq_no=63,	ch0=1160, ch1=2243, ch2= 110, ch3=  79, ch4=1156, ch5= 748, ts=1714036808773042,	delta=838,
seq_no=64,	ch0= 851, ch1=2383, ch2= 334, ch3=   4, ch4=1034, ch5= 916, ts=1714036808773891,	delta=849,
seq_no=65,	ch0= 544, ch1=2530, ch2= 616, ch3=   0, ch4= 879, ch5=1036, ts=1714036808774742,	delta=851,
seq_no=66,	ch0= 292, ch1=2352, ch2= 955, ch3=   0, ch4= 654, ch5=1192, ts=1714036808775571,	delta=829,
seq_no=67,	ch0=  64, ch1=2252, ch2=1281, ch3=  59, ch4= 511, ch5=1280, ts=1714036808776411,	delta=840,
seq_no=68,	ch0=   0, ch1=2051, ch2=1694, ch3= 148, ch4= 356, ch5=1350, ts=1714036808777257,	delta=846,
seq_no=69,	ch0=   0, ch1=1895, ch2=1941, ch3= 338, ch4= 218, ch5=1307, ts=1714036808778102,	delta=845,
seq_no=70,	ch0=   0, ch1=1440, ch2=2230, ch3= 531, ch4=  45, ch5=1331, ts=1714036808778951,	delta=849,
seq_no=71,	ch0=  40, ch1=1172, ch2=2471, ch3= 777, ch4=  40, ch5=1264, ts=1714036808779784,	delta=833,
seq_no=72,	ch0= 305, ch1= 845, ch2=2588, ch3= 920, ch4=   0, ch5=1130, ts=1714036808780622,	delta=838,
seq_no=73,	ch0= 563, ch1= 554, ch2=2600, ch3=1080, ch4=   0, ch5= 948, ts=1714036808781467,	delta=845,
seq_no=74,	ch0= 847, ch1= 298, ch2=2574, ch3=1203, ch4=   0, ch5= 744, ts=1714036808782311,	delta=844,
seq_no=75,	ch0=1163, ch1=  85, ch2=2424, ch3=1311, ch4=  67, ch5= 560, ts=1714036808783161,	delta=850,
seq_no=76,	ch0=1472, ch1=   0, ch2=2184, ch3=1376, ch4= 192, ch5= 394, ts=1714036808783995,	delta=834,
seq_no=77,	ch0=1757, ch1=  14, ch2=1916, ch3=1421, ch4= 355, ch5= 235, ts=1714036808784836,	delta=841,
seq_no=78,	ch0=1995, ch1=   0, ch2=1593, ch3=1393, ch4= 535, ch5= 113, ts=1714036808785680,	delta=844,
seq_no=79,	ch0=2189, ch1= 125, ch2=1246, ch3=1301, ch4= 720, ch5=  36, ts=1714036808786856,	delta=1176,
seq_no=80,	ch0=2296, ch1= 366, ch2= 890, ch3=1184, ch4= 875, ch5=   0, ts=1714036808787421,	delta=565,
seq_no=81,	ch0=2310, ch1= 709, ch2= 556, ch3=1034, ch4=1006, ch5=   0, ts=1714036808788223,	delta=802,
seq_no=82,	ch0=2366, ch1= 913, ch2= 308, ch3= 798, ch4=1070, ch5=   0, ts=1714036808789057,	delta=834,
seq_no=83,	ch0=2085, ch1=1250, ch2=  82, ch3= 529, ch4=1184, ch5=  50, ts=1714036808789955,	delta=898,
seq_no=84,	ch0=1935, ch1=1560, ch2=   0, ch3= 437, ch4=1239, ch5= 219, ts=1714036808790762,	delta=807,
seq_no=85,	ch0=1676, ch1=1863, ch2=   0, ch3= 281, ch4=1244, ch5= 407, ts=1714036808791584,	delta=822,
seq_no=86,	ch0=1388, ch1=2102, ch2=   2, ch3= 163, ch4=1206, ch5= 608, ts=1714036808792424,	delta=840,
seq_no=87,	ch0=1073, ch1=2289, ch2= 173, ch3=  58, ch4=1124, ch5= 788, ts=1714036808793262,	delta=838,
seq_no=88,	ch0= 766, ch1=2403, ch2= 411, ch3=   0, ch4=1009, ch5= 961, ts=1714036808794106,	delta=844,
seq_no=89,	ch0= 482, ch1=2332, ch2= 708, ch3=   0, ch4= 905, ch5=1102, ts=1714036808794960,	delta=854,
seq_no=90,	ch0= 305, ch1=2343, ch2=1055, ch3=   0, ch4= 622, ch5=1216, ts=1714036808795792,	delta=832,
seq_no=91,	ch0=  30, ch1=2199, ch2=1389, ch3=  45, ch4= 461, ch5=1302, ts=1714036808796635,	delta=843,
seq_no=92,	ch0=   0, ch1=1973, ch2=1695, ch3= 195, ch4= 320, ch5=1405, ts=1714036808797475,	delta=840,
seq_no=93,	ch0=   0, ch1=1791, ch2=2016, ch3= 426, ch4= 207, ch5=1325, ts=1714036808798317,	delta=842,
seq_no=94,	ch0= 128, ch1=1383, ch2=2291, ch3= 590, ch4=  43, ch5=1311, ts=1714036808799167,	delta=850,
seq_no=95,	ch0= 113, ch1=1068, ch2=2503, ch3= 734, ch4=   0, ch5=1223, ts=1714036808799996,	delta=829,
seq_no=96,	ch0= 365, ch1= 761, ch2=2596, ch3= 968, ch4=   0, ch5=1075, ts=1714036808800838,	delta=842,
seq_no=97,	ch0= 621, ch1= 472, ch2=2601, ch3=1115, ch4=   0, ch5= 901, ts=1714036808801675,	delta=837,
seq_no=98,	ch0= 929, ch1= 228, ch2=2535, ch3=1239, ch4=   4, ch5= 704, ts=1714036808802521,	delta=846,
seq_no=99,	ch0=1250, ch1=  50, ch2=2370, ch3=1339, ch4=  99, ch5= 513, ts=1714036808803406,	delta=885,
seq_no=100,	ch0=1551, ch1=   0, ch2=2136, ch3=1393, ch4= 226, ch5= 341, ts=1714036808804218,	delta=812,
seq_no=101,	ch0=1813, ch1=   0, ch2=1841, ch3=1415, ch4= 408, ch5= 210, ts=1714036808805069,	delta=851,
seq_no=102,	ch0=2051, ch1=  22, ch2=1498, ch3=1382, ch4= 593, ch5= 102, ts=1714036808805900,	delta=831,
seq_no=103,	ch0=2225, ch1= 216, ch2=1137, ch3=1281, ch4= 767, ch5=  14, ts=1714036808806758,	delta=858,
seq_no=104,	ch0=2326, ch1= 420, ch2= 736, ch3=1150, ch4= 906, ch5=  36, ts=1714036808807588,	delta=830,
