seq_no=0,	ch0= 469, ch1=2554, ch2=1027, ch3=   1, ch4= 827, ch5=1088, ts=1714037778299115,	delta=1714037778299115,
seq_no=1,	ch0= 157, ch1=2540, ch2=1500, ch3=  12, ch4= 610, ch5=1183, ts=1714037778302880,	delta=3765,
seq_no=2,	ch0=   0, ch1=2511, ch2=1966, ch3= 107, ch4= 438, ch5=1248, ts=1714037778303123,	delta=243,
seq_no=3,	ch0=   0, ch1=2432, ch2=2397, ch3= 265, ch4= 290, ch5=1275, ts=1714037778303322,	delta=199,
seq_no=4,	ch0=   0, ch1=2080, ch2=2656, ch3= 460, ch4= 176, ch5=1272, ts=1714037778303669,	delta=347,
seq_no=5,	ch0=   0, ch1=1662, ch2=2696, ch3= 684, ch4=  64, ch5=1216, ts=1714037778303799,	delta=130,
seq_no=6,	ch0= 229, ch1=1231, ch2=2718, ch3= 842, ch4=   0, ch5=1102, ts=1714037778303892,	delta=93,
seq_no=7,	ch0= 545, ch1= 827, ch2=2732, ch3=1012, ch4=   1, ch5= 985, ts=1714037778303927,	delta=35,
seq_no=8,	ch0= 923, ch1= 425, ch2=2732, ch3=1134, ch4=  34, ch5= 782, ts=1714037778303957,	delta=30,
seq_no=9,	ch0=1240, ch1= 171, ch2=2699, ch3=1308, ch4=  22, ch5= 623, ts=1714037778303985,	delta=28,
seq_no=10,	ch0=1740, ch1=  21, ch2=2767, ch3=1321, ch4= 128, ch5= 415, ts=1714037778304014,	delta=29,
seq_no=11,	ch0=2182, ch1=  23, ch2=2528, ch3=1377, ch4= 309, ch5= 169, ts=1714037778304042,	delta=28,
seq_no=12,	ch0=2382, ch1=   2, ch2=2199, ch3=1390, ch4= 477, ch5= 169, ts=1714037778304070,	delta=28,
seq_no=13,	ch0=2407, ch1=  40, ch2=1735, ch3=1352, ch4= 670, ch5=  65, ts=1714037778304099,	delta=29,
seq_no=14,	ch0=2451, ch1= 300, ch2=1275, ch3=1231, ch4= 846, ch5=   5, ts=1714037778304127,	delta=28,
seq_no=15,	ch0=2472, ch1= 628, ch2= 841, ch3=1078, ch4= 975, ch5=   3, ts=1714037778304155,	delta=28,
seq_no=16,	ch0=2455, ch1= 717, ch2= 743, ch3= 849, ch4= 840, ch5=   4, ts=1714037778304184,	delta=29,
seq_no=17,	ch0=1012, ch1=2547, ch2= 420, ch3=   0, ch4= 875, ch5= 730, ts=1714037778304212,	delta=28,
seq_no=18,	ch0=   0, ch1=2263, ch2=2585, ch3= 297, ch4= 176, ch5=1051, ts=1714037778304240,	delta=28,
seq_no=19,	ch0=   0, ch1=1862, ch2=2672, ch3= 470, ch4=  65, ch5=1022, ts=1714037778304269,	delta=29,
seq_no=20,	ch0= 109, ch1=1433, ch2=2711, ch3= 637, ch4=  18, ch5= 960, ts=1714037778304297,	delta=28,
seq_no=21,	ch0= 392, ch1=1019, ch2=2728, ch3= 763, ch4=   0, ch5= 860, ts=1714037778304326,	delta=29,
seq_no=22,	ch0= 745, ch1= 627, ch2=2728, ch3= 897, ch4=   0, ch5= 733, ts=1714037778304354,	delta=28,
seq_no=23,	ch0=1139, ch1= 300, ch2=2703, ch3=1004, ch4=   0, ch5= 569, ts=1714037778304536,	delta=182,
seq_no=24,	ch0=1531, ch1=  37, ch2=2695, ch3=1063, ch4=  65, ch5= 429, ts=1714037778305484,	delta=948,
seq_no=25,	ch0=1946, ch1=  21, ch2=2656, ch3=1126, ch4= 184, ch5= 298, ts=1714037778306290,	delta=806,
seq_no=26,	ch0=2296, ch1=  82, ch2=2416, ch3=1174, ch4= 322, ch5= 133, ts=1714037778307100,	delta=810,
seq_no=27,	ch0=2430, ch1=   2, ch2=1984, ch3=1130, ch4= 433, ch5=  79, ts=1714037778307912,	delta=812,
seq_no=28,	ch0=2449, ch1= 160, ch2=1500, ch3=1003, ch4= 634, ch5=  21, ts=1714037778308742,	delta=830,
seq_no=29,	ch0=2459, ch1= 448, ch2=1058, ch3= 970, ch4= 761, ch5=   6, ts=1714037778309575,	delta=833,
seq_no=30,	ch0=2461, ch1= 808, ch2= 641, ch3= 812, ch4= 855, ch5=   6, ts=1714037778310420,	delta=845,
seq_no=31,	ch0=2451, ch1=1228, ch2= 283, ch3= 642, ch4= 963, ch5=   3, ts=1714037778311276,	delta=856,
seq_no=32,	ch0=2432, ch1=1658, ch2=  20, ch3= 480, ch4=1024, ch5=  79, ts=1714037778312103,	delta=827,
seq_no=33,	ch0=2380, ch1=2073, ch2=   0, ch3= 334, ch4=1055, ch5= 177, ts=1714037778312945,	delta=842,
seq_no=34,	ch0=2123, ch1=2368, ch2=   6, ch3= 207, ch4=1107, ch5= 320, ts=1714037778313781,	delta=836,
seq_no=35,	ch0=1686, ch1=2511, ch2=  20, ch3= 159, ch4=1017, ch5= 489, ts=1714037778314672,	delta=891,
seq_no=36,	ch0=1319, ch1=2520, ch2= 297, ch3=  34, ch4= 953, ch5= 637, ts=1714037778315477,	delta=805,
seq_no=37,	ch0= 918, ch1=2630, ch2= 507, ch3=   0, ch4= 866, ch5= 738, ts=1714037778316318,	delta=841,
seq_no=38,	ch0= 657, ch1=2557, ch2= 932, ch3=   0, ch4= 634, ch5= 870, ts=1714037778317161,	delta=843,
seq_no=39,	ch0= 186, ch1=2546, ch2=1359, ch3=   0, ch4= 544, ch5= 972, ts=1714037778317999,	delta=838,
seq_no=40,	ch0=   0, ch1=2518, ch2=1768, ch3=  64, ch4= 402, ch5=1095, ts=1714037778318925,	delta=926,
seq_no=41,	ch0=   0, ch1=2462, ch2=2299, ch3= 177, ch4= 256, ch5=1053, ts=1714037778319709,	delta=784,
seq_no=42,	ch0=   0, ch1=2169, ch2=2624, ch3= 338, ch4= 141, ch5=1043, ts=1714037778320538,	delta=829,
seq_no=43,	ch0=   0, ch1=1763, ch2=2681, ch3= 513, ch4=  68, ch5=1006, ts=1714037778321377,	delta=839,
seq_no=44,	ch0= 185, ch1=1324, ch2=2698, ch3= 676, ch4=   5, ch5= 942, ts=1714037778322217,	delta=840,
seq_no=45,	ch0= 480, ch1= 922, ch2=2732, ch3= 805, ch4=   0, ch5= 832, ts=1714037778323071,	delta=854,
seq_no=46,	ch0= 855, ch1= 533, ch2=2724, ch3= 929, ch4=   0, ch5= 680, ts=1714037778323901,	delta=830,
seq_no=47,	ch0=1241, ch1= 230, ch2=2711, ch3=1019, ch4=   6, ch5= 524, ts=1714037778324742,	delta=841,
seq_no=48,	ch0=1676, ch1=   0, ch2=2680, ch3=1106, ch4=  96, ch5= 379, ts=1714037778325584,	delta=842,
seq_no=49,	ch0=2048, ch1=   4, ch2=2627, ch3=1147, ch4= 209, ch5= 261, ts=1714037778326428,	delta=844,
seq_no=50,	ch0=2227, ch1=  17, ch2=2296, ch3=1198, ch4= 335, ch5= 167, ts=1714037778327277,	delta=849,
seq_no=51,	ch0=2423, ch1=   5, ch2=1965, ch3=1112, ch4= 525, ch5=  58, ts=1714037778328113,	delta=836,
seq_no=52,	ch0=2423, ch1= 237, ch2=1351, ch3=1045, ch4= 658, ch5=   0, ts=1714037778328956,	delta=843,
seq_no=53,	ch0=2465, ch1= 549, ch2= 940, ch3= 924, ch4= 788, ch5=  10, ts=1714037778329799,	delta=843,
seq_no=54,	ch0=2471, ch1= 920, ch2= 540, ch3= 765, ch4= 889, ch5=   0, ts=1714037778330699,	delta=900,
seq_no=55,	ch0=2454, ch1=1336, ch2= 199, ch3= 597, ch4= 984, ch5=  18, ts=1714037778331487,	delta=788,
seq_no=56,	ch0=2424, ch1=1766, ch2=   0, ch3= 443, ch4=1037, ch5= 105, ts=1714037778332329,	delta=842,
seq_no=57,	ch0=2352, ch1=2177, ch2=   0, ch3= 294, ch4=1055, ch5= 214, ts=1714037778333381,	delta=1052,
seq_no=58,	ch0=2009, ch1=2464, ch2=   8, ch3= 167, ch4=1043, ch5= 358, ts=1714037778334109,	delta=728,
seq_no=59,	ch0=1624, ch1=2510, ch2=   0, ch3=  89, ch4=1012, ch5= 598, ts=1714037778335315,	delta=1206,
seq_no=60,	ch0=1212, ch1=2511, ch2= 281, ch3=  26, ch4= 975, ch5= 673, ts=1714037778335841,	delta=526,
seq_no=61,	ch0= 770, ch1=2561, ch2= 622, ch3=  33, ch4= 783, ch5= 806, ts=1714037778336593,	delta=752,
seq_no=62,	ch0= 438, ch1=2543, ch2=1130, ch3=   0, ch4= 670, ch5= 912, ts=1714037778337463,	delta=870,
seq_no=63,	ch0= 134, ch1=2558, ch2=1502, ch3=  17, ch4= 505, ch5= 932, ts=1714037778338240,	delta=777,
seq_no=64,	ch0=   0, ch1=2503, ch2=1964, ch3=  90, ch4= 306, ch5=1021, ts=1714037778339097,	delta=857,
seq_no=65,	ch0=   0, ch1=2424, ch2=2407, ch3= 213, ch4= 231, ch5=1051, ts=1714037778339915,	delta=818,
seq_no=66,	ch0=   0, ch1=2067, ch2=2650, ch3= 382, ch4= 112, ch5=1038, ts=1714037778340756,	delta=841,
seq_no=67,	ch0=   0, ch1=1654, ch2=2694, ch3= 561, ch4=  48, ch5= 984, ts=1714037778341596,	delta=840,
seq_no=68,	ch0= 254, ch1=1216, ch2=2714, ch3= 719, ch4=   0, ch5= 904, ts=1714037778342437,	delta=841,
seq_no=69,	ch0= 565, ch1= 813, ch2=2732, ch3= 834, ch4=   0, ch5= 787, ts=1714037778343292,	delta=855,
seq_no=70,	ch0= 949, ch1= 455, ch2=2726, ch3= 960, ch4=   0, ch5= 636, ts=1714037778344122,	delta=830,
seq_no=71,	ch0=1353, ch1= 154, ch2=2710, ch3=1059, ch4=  34, ch5= 482, ts=1714037778344967,	delta=845,
seq_no=72,	ch0=1766, ch1=   5, ch2=2672, ch3=1115, ch4= 110, ch5= 354, ts=1714037778345809,	delta=842,
seq_no=73,	ch0=2114, ch1=   4, ch2=2574, ch3=1080, ch4= 250, ch5= 230, ts=1714037778346658,	delta=849,
seq_no=74,	ch0=2383, ch1=  31, ch2=2080, ch3=1131, ch4= 396, ch5= 241, ts=1714037778347492,	delta=834,
seq_no=75,	ch0=2444, ch1= 114, ch2=1702, ch3=1132, ch4= 576, ch5=  10, ts=1714037778348333,	delta=841,
seq_no=76,	ch0=2456, ch1= 296, ch2=1270, ch3=1019, ch4= 688, ch5=   0, ts=1714037778349177,	delta=844,
seq_no=77,	ch0=2464, ch1= 633, ch2= 816, ch3= 886, ch4= 821, ch5=   7, ts=1714037778350018,	delta=841,
seq_no=78,	ch0=2460, ch1=1028, ch2= 432, ch3= 711, ch4= 915, ch5=   8, ts=1714037778350870,	delta=852,
seq_no=79,	ch0=2446, ch1=1458, ch2= 123, ch3= 554, ch4= 996, ch5=  39, ts=1714037778351981,	delta=1111,
seq_no=80,	ch0=2371, ch1=1884, ch2=   0, ch3= 401, ch4=1044, ch5= 132, ts=1714037778352609,	delta=628,
seq_no=81,	ch0=2300, ch1=2288, ch2=   1, ch3= 263, ch4=1061, ch5= 257, ts=1714037778353408,	delta=799,
seq_no=82,	ch0=1921, ch1=2488, ch2=   0, ch3= 149, ch4=1052, ch5= 465, ts=1714037778354242,	delta=834,
seq_no=83,	ch0=1531, ch1=2531, ch2=  76, ch3=  74, ch4=1023, ch5= 550, ts=1714037778355095,	delta=853,
seq_no=84,	ch0=1094, ch1=2552, ch2= 356, ch3=  31, ch4= 907, ch5= 704, ts=1714037778355925,	delta=830,
seq_no=85,	ch0= 705, ch1=2565, ch2= 785, ch3=   0, ch4= 796, ch5= 846, ts=1714037778356761,	delta=836,
seq_no=86,	ch0= 395, ch1=2529, ch2=1169, ch3=  30, ch4= 613, ch5= 889, ts=1714037778357606,	delta=845,
seq_no=87,	ch0= 144, ch1=2535, ch2=1679, ch3=  50, ch4= 432, ch5= 988, ts=1714037778358447,	delta=841,
seq_no=88,	ch0=   0, ch1=2506, ch2=2099, ch3= 118, ch4= 323, ch5=1038, ts=1714037778359300,	delta=853,
seq_no=89,	ch0=   0, ch1=2350, ch2=2520, ch3= 256, ch4= 194, ch5=1055, ts=1714037778360134,	delta=834,
seq_no=90,	ch0=   0, ch1=1952, ch2=2666, ch3= 436, ch4=  92, ch5=1032, ts=1714037778360974,	delta=840,
seq_no=91,	ch0=  64, ch1=1535, ch2=2701, ch3= 600, ch4=  27, ch5= 968, ts=1714037778361816,	delta=842,
seq_no=92,	ch0= 331, ch1=1095, ch2=2716, ch3= 747, ch4=   0, ch5= 889, ts=1714037778362671,	delta=855,
seq_no=93,	ch0= 682, ch1= 711, ch2=2709, ch3= 868, ch4=   5, ch5= 749, ts=1714037778363505,	delta=834,
