seq_no=47,	ch0= 261, ch1= 909, ch2=2567, ch3= 787, ch4=   0, ch5=1004, ts=1714036743217610,	delta=843,
seq_no=48,	ch0= 482, ch1= 645, ch2=2609, ch3= 900, ch4=   0, ch5= 891, ts=1714036743218451,	delta=841,
seq_no=49,	ch0= 785, ch1= 331, ch2=2469, ch3=1021, ch4=   0, ch5= 778, ts=1714036743219303,	delta=852,
seq_no=50,	ch0=1089, ch1=  21, ch2=2443, ch3=1112, ch4= 122, ch5= 489, ts=1714036743220135,	delta=832,
seq_no=51,	ch0=1436, ch1=   0, ch2=2247, ch3=1201, ch4= 139, ch5= 367, ts=1714036743220978,	delta=843,
seq_no=52,	ch0=1691, ch1=   0, ch2=1962, ch3=1231, ch4= 279, ch5= 234, ts=1714036743221824,	delta=846,
seq_no=53,	ch0=1950, ch1=   4, ch2=1656, ch3=1218, ch4= 434, ch5= 135, ts=1714036743222728,	delta=904,
seq_no=54,	ch0=2159, ch1= 110, ch2=1305, ch3=1168, ch4= 583, ch5=  34, ts=1714036743223513,	delta=785,
seq_no=55,	ch0=2279, ch1= 309, ch2= 951, ch3=1061, ch4= 740, ch5=   0, ts=1714036743224347,	delta=834,
seq_no=56,	ch0=2322, ch1= 555, ch2= 634, ch3= 920, ch4= 851, ch5=   0, ts=1714036743225193,	delta=846,
seq_no=57,	ch0=2288, ch1= 854, ch2= 288, ch3= 740, ch4= 947, ch5=  80, ts=1714036743226035,	delta=842,
seq_no=58,	ch0=2175, ch1=1207, ch2= 110, ch3= 545, ch4=1011, ch5=  41, ts=1714036743226885,	delta=850,
seq_no=59,	ch0=2032, ch1=1495, ch2=   0, ch3= 403, ch4=1059, ch5= 156, ts=1714036743227718,	delta=833,
seq_no=60,	ch0=1715, ch1=1821, ch2=   9, ch3= 243, ch4=1088, ch5= 348, ts=1714036743228560,	delta=842,
seq_no=61,	ch0=1451, ch1=2045, ch2=   0, ch3= 150, ch4=1053, ch5= 576, ts=1714036743229406,	delta=846,
seq_no=62,	ch0=1183, ch1=2304, ch2= 114, ch3=  54, ch4= 995, ch5= 651, ts=1714036743230247,	delta=841,
seq_no=63,	ch0= 842, ch1=2390, ch2= 358, ch3=   0, ch4= 892, ch5= 809, ts=1714036743231098,	delta=851,
seq_no=64,	ch0= 533, ch1=2416, ch2= 647, ch3=   0, ch4= 754, ch5= 950, ts=1714036743231930,	delta=832,
seq_no=65,	ch0= 286, ch1=2371, ch2= 974, ch3=   1, ch4= 596, ch5=1050, ts=1714036743232773,	delta=843,
seq_no=66,	ch0=  82, ch1=2242, ch2=1312, ch3=  30, ch4= 433, ch5=1135, ts=1714036743233616,	delta=843,
seq_no=67,	ch0=   0, ch1=2039, ch2=1656, ch3= 134, ch4= 294, ch5=1176, ts=1714036743234457,	delta=841,
seq_no=68,	ch0=   0, ch1=1778, ch2=1976, ch3= 302, ch4= 171, ch5=1183, ts=1714036743235309,	delta=852,
seq_no=69,	ch0=   0, ch1=1486, ch2=2243, ch3= 486, ch4=  89, ch5=1159, ts=1714036743236142,	delta=833,
seq_no=70,	ch0= 122, ch1=1160, ch2=2472, ch3= 670, ch4=  20, ch5=1090, ts=1714036743236985,	delta=843,
seq_no=71,	ch0= 320, ch1= 826, ch2=2584, ch3= 818, ch4=   0, ch5= 997, ts=1714036743237828,	delta=843,
seq_no=72,	ch0= 523, ch1= 546, ch2=2616, ch3= 887, ch4=   0, ch5= 823, ts=1714036743238677,	delta=849,
seq_no=73,	ch0= 870, ch1= 315, ch2=2592, ch3=1063, ch4=  27, ch5= 656, ts=1714036743239513,	delta=836,
seq_no=74,	ch0=1162, ch1= 202, ch2=2395, ch3=1168, ch4=  64, ch5= 425, ts=1714036743240355,	delta=842,
seq_no=75,	ch0=1476, ch1=   0, ch2=2189, ch3=1217, ch4= 173, ch5= 333, ts=1714036743241315,	delta=960,
seq_no=76,	ch0=1762, ch1=   1, ch2=1892, ch3=1228, ch4= 320, ch5= 203, ts=1714036743243211,	delta=1896,
seq_no=77,	ch0=2010, ch1=   8, ch2=1578, ch3=1208, ch4= 474, ch5= 109, ts=1714036743243275,	delta=64,
seq_no=78,	ch0=2200, ch1= 151, ch2=1219, ch3=1144, ch4= 628, ch5=  21, ts=1714036743243850,	delta=575,
seq_no=79,	ch0=2305, ch1= 371, ch2= 875, ch3=1030, ch4= 768, ch5=   0, ts=1714036743244866,	delta=1016,
seq_no=80,	ch0=2291, ch1= 622, ch2= 554, ch3= 907, ch4= 879, ch5=   3, ts=1714036743245460,	delta=594,
seq_no=81,	ch0=2273, ch1= 935, ch2= 361, ch3= 681, ch4= 972, ch5=   0, ts=1714036743246272,	delta=812,
seq_no=82,	ch0=2127, ch1=1262, ch2=  64, ch3= 514, ch4=1043, ch5=  37, ts=1714036743247126,	delta=854,
seq_no=83,	ch0=1923, ch1=1564, ch2=   0, ch3= 370, ch4=1046, ch5= 185, ts=1714036743247945,	delta=819,
seq_no=84,	ch0=1592, ch1=1858, ch2=  17, ch3= 278, ch4=1072, ch5= 402, ts=1714036743248786,	delta=841,
seq_no=85,	ch0=1358, ch1=2090, ch2= 106, ch3= 118, ch4=1059, ch5= 544, ts=1714036743249625,	delta=839,
seq_no=86,	ch0=1096, ch1=2316, ch2= 165, ch3=  33, ch4= 960, ch5= 635, ts=1714036743250465,	delta=840,
seq_no=87,	ch0= 754, ch1=2400, ch2= 422, ch3=   0, ch4= 864, ch5= 846, ts=1714036743251319,	delta=854,
seq_no=88,	ch0= 459, ch1=2405, ch2= 722, ch3=   0, ch4= 716, ch5= 984, ts=1714036743252153,	delta=834,
seq_no=89,	ch0= 232, ch1=2348, ch2=1048, ch3=   0, ch4= 555, ch5=1073, ts=1714036743252995,	delta=842,
