seq_no=0,	ch0= 262, ch1=1590, ch2= 448, ch3=   0, ch4= 503, ch5= 860, ts=1714037973935959,	delta=1714037973935959,
seq_no=1,	ch0= 123, ch1=1417, ch2= 748, ch3=   0, ch4= 457, ch5= 808, ts=1714037973936219,	delta=260,
seq_no=2,	ch0=   0, ch1=1423, ch2= 995, ch3=  64, ch4= 271, ch5= 870, ts=1714037973936327,	delta=108,
seq_no=3,	ch0=   0, ch1=1256, ch2=1223, ch3= 168, ch4= 173, ch5= 891, ts=1714037973936418,	delta=91,
seq_no=4,	ch0=   0, ch1=1063, ch2=1401, ch3= 292, ch4=  86, ch5= 882, ts=1714037973936504,	delta=86,
seq_no=5,	ch0=  20, ch1= 866, ch2=1570, ch3= 421, ch4=  17, ch5= 847, ts=1714037973936590,	delta=86,
seq_no=6,	ch0= 129, ch1= 640, ch2=1678, ch3= 555, ch4=   0, ch5= 773, ts=1714037973936623,	delta=33,
seq_no=7,	ch0= 261, ch1= 438, ch2=1736, ch3= 640, ch4=   0, ch5= 658, ts=1714037973936652,	delta=29,
seq_no=8,	ch0= 468, ch1= 253, ch2=1703, ch3= 762, ch4=   0, ch5= 637, ts=1714037973936681,	delta=29,
seq_no=9,	ch0= 666, ch1= 162, ch2=1634, ch3= 844, ch4=  22, ch5= 398, ts=1714037973936710,	delta=29,
seq_no=10,	ch0= 971, ch1=   0, ch2=1518, ch3= 888, ch4=  68, ch5= 295, ts=1714037973936739,	delta=29,
seq_no=11,	ch0=1045, ch1=   0, ch2=1336, ch3= 859, ch4= 165, ch5= 177, ts=1714037973936767,	delta=28,
seq_no=12,	ch0=1236, ch1=  25, ch2=1191, ch3= 912, ch4= 309, ch5= 141, ts=1714037973936795,	delta=28,
seq_no=13,	ch0=1366, ch1= 117, ch2= 893, ch3= 905, ch4= 424, ch5=   0, ts=1714037973936823,	delta=28,
seq_no=14,	ch0=1496, ch1= 146, ch2= 667, ch3= 811, ch4= 521, ch5=   0, ts=1714037973936852,	delta=29,
