seq_no=35,	ch0=   0, ch1=2217, ch2=1288, ch3= 203, ch4=1893, ch5= 843, ts=1712137319187467,	delta=850,
seq_no=36,	ch0= 274, ch1=2369, ch2= 944, ch3= 381, ch4=1985, ch5= 576, ts=1712137319188300,	delta=833,
seq_no=37,	ch0= 521, ch1=2415, ch2= 628, ch3= 676, ch4=2001, ch5= 357, ts=1712137319189153,	delta=853,
seq_no=38,	ch0= 810, ch1=2383, ch2= 339, ch3= 961, ch4=1917, ch5= 184, ts=1712137319190154,	delta=1001,
seq_no=39,	ch0=1132, ch1=2257, ch2= 117, ch3=1243, ch4=1765, ch5=  51, ts=1712137319190788,	delta=634,
seq_no=40,	ch0=1437, ch1=2071, ch2=   0, ch3=1487, ch4=1547, ch5=   2, ts=1712137319191641,	delta=853,
seq_no=41,	ch0=1728, ch1=1812, ch2=   4, ch3=1690, ch4=1299, ch5=   0, ts=1712137319192432,	delta=791,
seq_no=42,	ch0=1968, ch1=1572, ch2=   0, ch3=1898, ch4=1025, ch5=  18, ts=1712137319193269,	delta=837,
seq_no=43,	ch0=2140, ch1=1208, ch2= 110, ch3=2035, ch4= 781, ch5= 216, ts=1712137319194113,	delta=844,
seq_no=44,	ch0=2285, ch1= 837, ch2= 315, ch3=2156, ch4= 583, ch5= 456, ts=1712137319194949,	delta=836,
seq_no=45,	ch0=2304, ch1= 591, ch2= 615, ch3=2180, ch4= 334, ch5= 723, ts=1712137319195789,	delta=840,
seq_no=46,	ch0=2324, ch1= 276, ch2= 919, ch3=2145, ch4= 139, ch5= 998, ts=1712137319196629,	delta=840,
seq_no=47,	ch0=2160, ch1= 110, ch2=1351, ch3=1972, ch4=  53, ch5=1280, ts=1712137319197486,	delta=857,
seq_no=48,	ch0=1971, ch1=   0, ch2=1636, ch3=1737, ch4=   0, ch5=1519, ts=1712137319198316,	delta=830,
seq_no=49,	ch0=1719, ch1=   0, ch2=1949, ch3=1449, ch4=   0, ch5=1718, ts=1712137319199221,	delta=905,
seq_no=50,	ch0=1416, ch1=   0, ch2=2235, ch3=1157, ch4=  45, ch5=1893, ts=1712137319200007,	delta=786,
seq_no=51,	ch0=1116, ch1= 106, ch2=2429, ch3= 889, ch4= 207, ch5=2028, ts=1712137319200921,	delta=914,
seq_no=52,	ch0= 794, ch1= 302, ch2=2569, ch3= 650, ch4= 433, ch5=2113, ts=1712137319202264,	delta=1343,
seq_no=53,	ch0= 512, ch1= 576, ch2=2576, ch3= 426, ch4= 698, ch5=2112, ts=1712137319202595,	delta=331,
seq_no=54,	ch0= 267, ch1= 872, ch2=2576, ch3= 230, ch4= 958, ch5=2018, ts=1712137319203446,	delta=851,
seq_no=55,	ch0=  69, ch1=1200, ch2=2406, ch3=  68, ch4=1212, ch5=1838, ts=1712137319204235,	delta=789,
seq_no=56,	ch0=  37, ch1=1521, ch2=2214, ch3=   0, ch4=1423, ch5=1591, ts=1712137319205062,	delta=827,
seq_no=57,	ch0=   0, ch1=1794, ch2=1839, ch3=   2, ch4=1637, ch5=1389, ts=1712137319205921,	delta=859,
seq_no=58,	ch0=  53, ch1=2037, ch2=1632, ch3=  31, ch4=1778, ch5=1044, ts=1712137319206742,	delta=821,
seq_no=59,	ch0= 114, ch1=2259, ch2=1216, ch3= 192, ch4=1943, ch5= 818, ts=1712137319207586,	delta=844,
seq_no=60,	ch0= 320, ch1=2380, ch2= 878, ch3= 430, ch4=1999, ch5= 534, ts=1712137319208428,	delta=842,
seq_no=61,	ch0= 576, ch1=2411, ch2= 568, ch3= 712, ch4=1986, ch5= 335, ts=1712137319209272,	delta=844,
seq_no=62,	ch0= 871, ch1=2375, ch2= 306, ch3=1010, ch4=1892, ch5= 153, ts=1712137319210124,	delta=852,
seq_no=63,	ch0=1183, ch1=2242, ch2=  93, ch3=1280, ch4=1728, ch5=  20, ts=1712137319210958,	delta=834,
seq_no=64,	ch0=1497, ch1=2039, ch2=   1, ch3=1528, ch4=1496, ch5=   2, ts=1712137319211799,	delta=841,
seq_no=65,	ch0=1779, ch1=1826, ch2=   0, ch3=1755, ch4=1248, ch5=   0, ts=1712137319212642,	delta=843,
seq_no=66,	ch0=1999, ch1=1464, ch2=   0, ch3=1902, ch4= 984, ch5=  56, ts=1712137319213490,	delta=848,
seq_no=67,	ch0=2191, ch1=1174, ch2= 138, ch3=2083, ch4= 807, ch5= 242, ts=1712137319214324,	delta=834,
seq_no=68,	ch0=2280, ch1= 873, ch2= 392, ch3=2162, ch4= 492, ch5= 508, ts=1712137319215171,	delta=847,
seq_no=69,	ch0=2302, ch1= 448, ch2= 649, ch3=2192, ch4= 360, ch5= 765, ts=1712137319216011,	delta=840,
seq_no=70,	ch0=2247, ch1= 282, ch2=1096, ch3=2096, ch4= 132, ch5=1038, ts=1712137319216853,	delta=842,
seq_no=71,	ch0=2130, ch1=  87, ch2=1344, ch3=1931, ch4=   4, ch5=1301, ts=1712137319217705,	delta=852,
seq_no=72,	ch0=1921, ch1=  13, ch2=1686, ch3=1681, ch4=   0, ch5=1544, ts=1712137319218537,	delta=832,
seq_no=73,	ch0=1661, ch1=  13, ch2=2003, ch3=1392, ch4=   0, ch5=1750, ts=1712137319219380,	delta=843,
