seq_no=73,	ch0=   0, ch1=2480, ch2=2205, ch3=   0, ch4=2302, ch5=1479, ts=1712137831421985,	delta=849,
seq_no=74,	ch0=  14, ch1=2525, ch2=1748, ch3=  96, ch4=2487, ch5=1153, ts=1712137831422821,	delta=836,
seq_no=75,	ch0= 216, ch1=2552, ch2=1272, ch3= 473, ch4=2528, ch5= 854, ts=1712137831423662,	delta=841,
seq_no=76,	ch0= 608, ch1=2560, ch2= 801, ch3= 834, ch4=2534, ch5= 523, ts=1712137831424560,	delta=898,
seq_no=77,	ch0= 949, ch1=2557, ch2= 435, ch3=1245, ch4=2520, ch5= 332, ts=1712137831425421,	delta=861,
seq_no=78,	ch0=1364, ch1=2547, ch2= 117, ch3=1579, ch4=2457, ch5=  76, ts=1712137831426208,	delta=787,
seq_no=79,	ch0=1752, ch1=2515, ch2=  34, ch3=1805, ch4=2144, ch5=  11, ts=1712137831427330,	delta=1122,
seq_no=80,	ch0=2158, ch1=2472, ch2=   0, ch3=2156, ch4=1787, ch5=   0, ts=1712137831427935,	delta=605,
seq_no=81,	ch0=2368, ch1=2028, ch2=   2, ch3=2312, ch4=1448, ch5=  13, ts=1712137831428739,	delta=804,
seq_no=82,	ch0=2449, ch1=1621, ch2=  51, ch3=2343, ch4=1133, ch5= 237, ts=1712137831429589,	delta=850,
seq_no=83,	ch0=2451, ch1=1180, ch2= 334, ch3=2392, ch4= 822, ch5= 566, ts=1712137831430415,	delta=826,
seq_no=84,	ch0=2480, ch1= 771, ch2= 688, ch3=2393, ch4= 545, ch5= 948, ts=1712137831431256,	delta=841,
seq_no=85,	ch0=2473, ch1= 432, ch2=1120, ch3=2401, ch4= 307, ch5=1309, ts=1712137831432097,	delta=841,
seq_no=86,	ch0=2456, ch1= 136, ch2=1572, ch3=2360, ch4= 101, ch5=1615, ts=1712137831432936,	delta=839,
seq_no=87,	ch0=2414, ch1=  27, ch2=2038, ch3=2288, ch4=  11, ch5=1921, ts=1712137831433781,	delta=845,
seq_no=88,	ch0=2299, ch1=  11, ch2=2480, ch3=1913, ch4=   0, ch5=2188, ts=1712137831434621,	delta=840,
seq_no=89,	ch0=1895, ch1=  13, ch2=2656, ch3=1531, ch4=   0, ch5=2429, ts=1712137831435464,	delta=843,
seq_no=90,	ch0=1551, ch1=  79, ch2=2712, ch3=1183, ch4= 235, ch5=2480, ts=1712137831436307,	delta=843,
seq_no=91,	ch0= 993, ch1= 312, ch2=2713, ch3= 921, ch4= 513, ch5=2537, ts=1712137831437147,	delta=840,
seq_no=92,	ch0= 714, ch1= 666, ch2=2735, ch3= 620, ch4= 881, ch5=2491, ts=1712137831438002,	delta=855,
seq_no=93,	ch0= 363, ch1=1062, ch2=2728, ch3= 370, ch4=1248, ch5=2502, ts=1712137831438837,	delta=835,
seq_no=94,	ch0=  85, ch1=1472, ch2=2716, ch3= 131, ch4=1549, ch5=2425, ts=1712137831439680,	delta=843,
seq_no=95,	ch0=   0, ch1=1888, ch2=2676, ch3=  14, ch4=1841, ch5=2144, ts=1712137831440521,	delta=841,
seq_no=96,	ch0=   0, ch1=2295, ch2=2545, ch3=  10, ch4=2112, ch5=1764, ts=1712137831441415,	delta=894,
seq_no=97,	ch0=   0, ch1=2496, ch2=2127, ch3=   8, ch4=2352, ch5=1420, ts=1712137831442215,	delta=800,
seq_no=98,	ch0=  57, ch1=2533, ch2=1651, ch3= 160, ch4=2496, ch5=1148, ts=1712137831443052,	delta=837,
seq_no=99,	ch0= 378, ch1=2568, ch2=1195, ch3= 500, ch4=2529, ch5= 800, ts=1712137831443895,	delta=843,
seq_no=100,	ch0= 653, ch1=2567, ch2= 732, ch3= 905, ch4=2533, ch5= 579, ts=1712137831444737,	delta=842,
seq_no=101,	ch0= 992, ch1=2555, ch2= 374, ch3=1339, ch4=2520, ch5= 282, ts=1712137831445590,	delta=853,
seq_no=102,	ch0=1500, ch1=2540, ch2=  57, ch3=1612, ch4=2398, ch5=   0, ts=1712137831446424,	delta=834,
seq_no=103,	ch0=1762, ch1=2499, ch2=   5, ch3=1971, ch4=2063, ch5=  10, ts=1712137831447263,	delta=839,
seq_no=104,	ch0=2240, ch1=2355, ch2=   0, ch3=2184, ch4=1731, ch5=  51, ts=1712137831448107,	delta=844,
seq_no=105,	ch0=2407, ch1=1977, ch2=   6, ch3=2320, ch4=1383, ch5=   4, ts=1712137831448947,	delta=840,
seq_no=106,	ch0=2445, ch1=1548, ch2=  86, ch3=2352, ch4=1072, ch5= 267, ts=1712137831449799,	delta=852,
seq_no=107,	ch0=2468, ch1=1119, ch2= 401, ch3=2384, ch4= 769, ch5= 628, ts=1712137831450634,	delta=835,
seq_no=108,	ch0=2476, ch1= 707, ch2= 767, ch3=2396, ch4= 505, ch5=1012, ts=1712137831451479,	delta=845,
seq_no=109,	ch0=2473, ch1= 362, ch2=1191, ch3=2388, ch4= 269, ch5=1356, ts=1712137831452320,	delta=841,
seq_no=110,	ch0=2395, ch1=  96, ch2=1637, ch3=2355, ch4=  76, ch5=1652, ts=1712137831453164,	delta=844,
seq_no=111,	ch0=2400, ch1=   4, ch2=2112, ch3=2246, ch4=   8, ch5=1952, ts=1712137831454014,	delta=850,
seq_no=112,	ch0=2222, ch1=   5, ch2=2528, ch3=1831, ch4=  10, ch5=2240, ts=1712137831454850,	delta=836,
seq_no=113,	ch0=1843, ch1=   0, ch2=2666, ch3=1472, ch4=  17, ch5=2446, ts=1712137831455693,	delta=843,
seq_no=114,	ch0=1429, ch1= 110, ch2=2700, ch3=1145, ch4= 306, ch5=2496, ts=1712137831456536,	delta=843,
seq_no=115,	ch0=1168, ch1= 365, ch2=2732, ch3= 814, ch4= 577, ch5=2511, ts=1712137831457423,	delta=887,
seq_no=116,	ch0= 626, ch1= 754, ch2=2630, ch3= 576, ch4= 952, ch5=2619, ts=1712137831458226,	delta=803,
seq_no=117,	ch0= 302, ch1=1147, ch2=2728, ch3= 324, ch4=1304, ch5=2504, ts=1712137831459068,	delta=842,
seq_no=118,	ch0=  49, ch1=1560, ch2=2656, ch3=  88, ch4=1600, ch5=2430, ts=1712137831459909,	delta=841,
seq_no=119,	ch0=   0, ch1=1980, ch2=2664, ch3=  13, ch4=1894, ch5=2087, ts=1712137831460935,	delta=1026,
seq_no=120,	ch0=   0, ch1=2379, ch2=2480, ch3=   6, ch4=2164, ch5=1712, ts=1712137831461640,	delta=705,
seq_no=121,	ch0=   0, ch1=2490, ch2=2062, ch3=   0, ch4=2388, ch5=1369, ts=1712137831462498,	delta=858,
seq_no=122,	ch0=  92, ch1=2544, ch2=1600, ch3= 198, ch4=2498, ch5=1059, ts=1712137831463296,	delta=798,
seq_no=123,	ch0= 374, ch1=2560, ch2=1120, ch3= 576, ch4=2535, ch5= 747, ts=1712137831464132,	delta=836,
seq_no=124,	ch0= 704, ch1=2559, ch2= 735, ch3= 974, ch4=2534, ch5= 482, ts=1712137831464968,	delta=836,
seq_no=125,	ch0=1105, ch1=2554, ch2= 320, ch3=1350, ch4=2460, ch5= 238, ts=1712137831465823,	delta=855,
seq_no=126,	ch0=1507, ch1=2546, ch2=  90, ch3=1663, ch4=2360, ch5=  64, ts=1712137831466655,	delta=832,
seq_no=127,	ch0=2039, ch1=2496, ch2=   0, ch3=1949, ch4=1956, ch5=   0, ts=1712137831467492,	delta=837,
seq_no=128,	ch0=2315, ch1=2283, ch2=  74, ch3=2215, ch4=1677, ch5=  16, ts=1712137831468337,	delta=845,
seq_no=129,	ch0=2416, ch1=1889, ch2=   4, ch3=2334, ch4=1321, ch5=  45, ts=1712137831469180,	delta=843,
seq_no=130,	ch0=2446, ch1=1454, ch2= 128, ch3=2369, ch4=1019, ch5= 328, ts=1712137831470031,	delta=851,
seq_no=131,	ch0=2472, ch1=1038, ch2= 439, ch3=2389, ch4= 709, ch5= 695, ts=1712137831470864,	delta=833,
seq_no=132,	ch0=2477, ch1= 632, ch2= 817, ch3=2396, ch4= 444, ch5=1063, ts=1712137831471707,	delta=843,
seq_no=133,	ch0=2471, ch1= 305, ch2=1262, ch3=2400, ch4= 213, ch5=1406, ts=1712137831472601,	delta=894,
seq_no=134,	ch0=2444, ch1=  57, ch2=1728, ch3=2343, ch4=  37, ch5=1728, ts=1712137831473455,	delta=854,
seq_no=135,	ch0=2396, ch1=  13, ch2=2177, ch3=2172, ch4=   0, ch5=2019, ts=1712137831474245,	delta=790,
seq_no=136,	ch0=2155, ch1=  16, ch2=2592, ch3=1766, ch4=   5, ch5=2284, ts=1712137831475082,	delta=837,
seq_no=137,	ch0=1757, ch1=   0, ch2=2692, ch3=1401, ch4= 105, ch5=2448, ts=1712137831475921,	delta=839,
seq_no=138,	ch0=1351, ch1= 194, ch2=2716, ch3=1068, ch4= 320, ch5=2490, ts=1712137831476767,	delta=846,
seq_no=139,	ch0= 935, ch1= 391, ch2=2732, ch3= 804, ch4= 708, ch5=2520, ts=1712137831477619,	delta=852,
seq_no=140,	ch0= 562, ch1= 800, ch2=2750, ch3= 526, ch4=1028, ch5=2520, ts=1712137831478453,	delta=834,
seq_no=141,	ch0= 249, ch1=1217, ch2=2727, ch3= 281, ch4=1359, ch5=2496, ts=1712137831479296,	delta=843,
seq_no=142,	ch0=  12, ch1=1640, ch2=2702, ch3=  49, ch4=1663, ch5=2379, ts=1712137831480137,	delta=841,
seq_no=143,	ch0=   0, ch1=2051, ch2=2659, ch3=  11, ch4=1961, ch5=2020, ts=1712137831480980,	delta=843,
seq_no=144,	ch0=   0, ch1=2425, ch2=2411, ch3=  14, ch4=2215, ch5=1651, ts=1712137831481831,	delta=851,
seq_no=145,	ch0=   0, ch1=2517, ch2=1980, ch3=  10, ch4=2423, ch5=1306, ts=1712137831482667,	delta=836,
seq_no=146,	ch0= 130, ch1=2544, ch2=1505, ch3= 260, ch4=2509, ch5= 997, ts=1712137831483509,	delta=842,
seq_no=147,	ch0= 430, ch1=2547, ch2=1032, ch3= 635, ch4=2542, ch5= 704, ts=1712137831484351,	delta=842,
