seq_no=47,	ch0= 523, ch1=2552, ch2= 950, ch3=   5, ch4= 974, ch5=1338, ts=1714037740695673,	delta=707,
seq_no=48,	ch0= 279, ch1=2543, ch2=1434, ch3=  19, ch4= 704, ch5=1460, ts=1714037740696785,	delta=1112,
seq_no=49,	ch0=   0, ch1=2540, ch2=1907, ch3=  88, ch4= 545, ch5=1584, ts=1714037740697366,	delta=581,
seq_no=50,	ch0=   0, ch1=2424, ch2=2234, ch3= 276, ch4= 347, ch5=1680, ts=1714037740698142,	delta=776,
seq_no=51,	ch0=   0, ch1=2107, ch2=2638, ch3= 507, ch4= 261, ch5=1614, ts=1714037740698992,	delta=850,
seq_no=52,	ch0=   0, ch1=1729, ch2=2675, ch3= 755, ch4= 102, ch5=1567, ts=1714037740699801,	delta=809,
seq_no=53,	ch0= 200, ch1=1305, ch2=2713, ch3= 986, ch4=  18, ch5=1432, ts=1714037740700640,	delta=839,
seq_no=54,	ch0= 502, ch1= 898, ch2=2727, ch3=1178, ch4=   5, ch5=1251, ts=1714037740701485,	delta=845,
seq_no=55,	ch0= 869, ch1= 509, ch2=2727, ch3=1337, ch4=   1, ch5=1042, ts=1714037740702325,	delta=840,
seq_no=56,	ch0=1279, ch1= 200, ch2=2709, ch3=1472, ch4=  14, ch5= 795, ts=1714037740703181,	delta=856,
seq_no=57,	ch0=1678, ch1=   0, ch2=2681, ch3=1580, ch4= 144, ch5= 567, ts=1714037740704008,	delta=827,
seq_no=58,	ch0=2060, ch1=   0, ch2=2587, ch3=1646, ch4= 310, ch5= 427, ts=1714037740704851,	delta=843,
seq_no=59,	ch0=2368, ch1=   0, ch2=2264, ch3=1676, ch4= 551, ch5= 237, ts=1714037740705693,	delta=842,
seq_no=60,	ch0=2318, ch1=  17, ch2=1803, ch3=1682, ch4= 738, ch5= 141, ts=1714037740706535,	delta=842,
seq_no=61,	ch0=2444, ch1= 237, ch2=1447, ch3=1500, ch4= 953, ch5=  36, ts=1714037740707389,	delta=854,
seq_no=62,	ch0=2439, ch1= 648, ch2= 889, ch3=1321, ch4=1091, ch5=   0, ts=1714037740708227,	delta=838,
seq_no=63,	ch0=2460, ch1= 956, ch2= 496, ch3=1094, ch4=1235, ch5=  16, ts=1714037740709066,	delta=839,
seq_no=64,	ch0=2449, ch1=1371, ch2= 164, ch3= 844, ch4=1356, ch5=  45, ts=1714037740709909,	delta=843,
seq_no=65,	ch0=2412, ch1=1807, ch2=   0, ch3= 626, ch4=1448, ch5= 164, ts=1714037740710762,	delta=853,
seq_no=66,	ch0=2333, ch1=2201, ch2=   8, ch3= 442, ch4=1481, ch5= 366, ts=1714037740711594,	delta=832,
seq_no=67,	ch0=1996, ch1=2475, ch2=   5, ch3= 282, ch4=1481, ch5= 590, ts=1714037740712436,	delta=842,
seq_no=68,	ch0=1603, ch1=2531, ch2=  34, ch3= 159, ch4=1411, ch5= 828, ts=1714037740713278,	delta=842,
seq_no=69,	ch0=1180, ch1=2544, ch2= 295, ch3=  36, ch4=1294, ch5=1040, ts=1714037740714120,	delta=842,
seq_no=70,	ch0= 787, ch1=2557, ch2= 665, ch3=   9, ch4=1108, ch5=1216, ts=1714037740714971,	delta=851,
seq_no=71,	ch0= 401, ch1=2556, ch2=1088, ch3=   0, ch4= 908, ch5=1383, ts=1714037740715808,	delta=837,
seq_no=72,	ch0= 121, ch1=2509, ch2=1637, ch3=   2, ch4= 705, ch5=1492, ts=1714037740716665,	delta=857,
seq_no=73,	ch0=  14, ch1=2492, ch2=1991, ch3= 150, ch4= 476, ch5=1496, ts=1714037740717497,	delta=832,
seq_no=74,	ch0=   5, ch1=2346, ch2=2422, ch3= 366, ch4= 241, ch5=1600, ts=1714037740718337,	delta=840,
seq_no=75,	ch0=   0, ch1=2032, ch2=2668, ch3= 563, ch4= 189, ch5=1608, ts=1714037740719187,	delta=850,
seq_no=76,	ch0=  30, ch1=1619, ch2=2698, ch3= 832, ch4=  77, ch5=1539, ts=1714037740720022,	delta=835,
seq_no=77,	ch0= 272, ch1=1187, ch2=2719, ch3=1041, ch4=   2, ch5=1383, ts=1714037740720860,	delta=838,
seq_no=78,	ch0= 582, ch1= 789, ch2=2732, ch3=1217, ch4=   0, ch5=1192, ts=1714037740721702,	delta=842,
seq_no=79,	ch0= 975, ch1= 428, ch2=2724, ch3=1368, ch4=   6, ch5= 975, ts=1714037740722867,	delta=1165,
seq_no=80,	ch0=1378, ch1= 130, ch2=2707, ch3=1500, ch4=  44, ch5= 738, ts=1714037740723440,	delta=573,
seq_no=81,	ch0=1781, ch1=  91, ch2=2673, ch3=1604, ch4= 184, ch5= 495, ts=1714037740724248,	delta=808,
seq_no=82,	ch0=2157, ch1=   0, ch2=2575, ch3=1648, ch4= 327, ch5= 352, ts=1714037740725080,	delta=832,
seq_no=83,	ch0=2386, ch1=  19, ch2=2162, ch3=1692, ch4= 571, ch5= 224, ts=1714037740725920,	delta=840,
seq_no=84,	ch0=2437, ch1= 101, ch2=1764, ch3=1609, ch4= 833, ch5= 103, ts=1714037740726777,	delta=857,
seq_no=85,	ch0=2480, ch1= 395, ch2=1228, ch3=1510, ch4=1017, ch5=   0, ts=1714037740727605,	delta=828,
seq_no=86,	ch0=2463, ch1= 657, ch2= 840, ch3=1280, ch4=1112, ch5=   9, ts=1714037740728447,	delta=842,
seq_no=87,	ch0=2460, ch1=1055, ch2= 401, ch3=1040, ch4=1277, ch5=  10, ts=1714037740729289,	delta=842,
seq_no=88,	ch0=2439, ch1=1479, ch2=  96, ch3= 788, ch4=1376, ch5=  52, ts=1714037740730129,	delta=840,
seq_no=89,	ch0=2406, ch1=1916, ch2=  13, ch3= 576, ch4=1449, ch5= 207, ts=1714037740730983,	delta=854,
seq_no=90,	ch0=2266, ch1=2303, ch2=   4, ch3= 392, ch4=1480, ch5= 420, ts=1714037740731815,	delta=832,
seq_no=91,	ch0=1896, ch1=2501, ch2=   9, ch3= 246, ch4=1473, ch5= 641, ts=1714037740732671,	delta=856,
seq_no=92,	ch0=1507, ch1=2529, ch2=  88, ch3= 123, ch4=1389, ch5= 892, ts=1714037740733503,	delta=832,
seq_no=93,	ch0=1088, ch1=2556, ch2= 389, ch3=  28, ch4=1241, ch5=1088, ts=1714037740734344,	delta=841,
seq_no=94,	ch0= 659, ch1=2554, ch2= 765, ch3=   4, ch4=1061, ch5=1272, ts=1714037740735197,	delta=853,
seq_no=95,	ch0= 338, ch1=2560, ch2=1216, ch3=   0, ch4= 856, ch5=1412, ts=1714037740736031,	delta=834,
seq_no=96,	ch0=  36, ch1=2529, ch2=1644, ch3=  68, ch4= 625, ch5=1472, ts=1714037740736872,	delta=841,
seq_no=97,	ch0=  58, ch1=2498, ch2=2112, ch3= 174, ch4= 375, ch5=1564, ts=1714037740737712,	delta=840,
seq_no=98,	ch0=   0, ch1=2307, ch2=2568, ch3= 327, ch4= 282, ch5=1618, ts=1714037740738555,	delta=843,
seq_no=99,	ch0=   0, ch1=1931, ch2=2672, ch3= 634, ch4= 160, ch5=1603, ts=1714037740739417,	delta=862,
seq_no=100,	ch0=  87, ch1=1506, ch2=2703, ch3= 879, ch4=  55, ch5=1516, ts=1714037740740249,	delta=832,
seq_no=101,	ch0= 342, ch1=1095, ch2=2723, ch3=1088, ch4=   0, ch5=1345, ts=1714037740741086,	delta=837,
seq_no=102,	ch0= 688, ch1= 685, ch2=2732, ch3=1259, ch4=   4, ch5=1136, ts=1714037740741929,	delta=843,
seq_no=103,	ch0=1089, ch1= 337, ch2=2718, ch3=1407, ch4=  12, ch5= 909, ts=1714037740742779,	delta=850,
seq_no=104,	ch0=1490, ch1= 111, ch2=2702, ch3=1539, ch4= 113, ch5= 664, ts=1714037740743611,	delta=832,
seq_no=105,	ch0=1947, ch1=   1, ch2=2672, ch3=1624, ch4= 214, ch5= 467, ts=1714037740744457,	delta=846,
seq_no=106,	ch0=2243, ch1=   2, ch2=2488, ch3=1651, ch4= 420, ch5= 308, ts=1714037740745298,	delta=841,
seq_no=107,	ch0=2404, ch1=  18, ch2=1996, ch3=1656, ch4= 639, ch5= 224, ts=1714037740746141,	delta=843,
seq_no=108,	ch0=2431, ch1=  68, ch2=1570, ch3=1584, ch4= 905, ch5=  38, ts=1714037740746988,	delta=847,
seq_no=109,	ch0=2441, ch1= 414, ch2=1117, ch3=1472, ch4=1023, ch5=  43, ts=1714037740747825,	delta=837,
seq_no=110,	ch0=2459, ch1= 756, ch2= 774, ch3=1206, ch4=1194, ch5=  14, ts=1714037740748670,	delta=845,
seq_no=111,	ch0=2455, ch1=1172, ch2= 320, ch3= 963, ch4=1310, ch5=  19, ts=1714037740749513,	delta=843,
seq_no=112,	ch0=2431, ch1=1614, ch2=  34, ch3= 730, ch4=1402, ch5=  91, ts=1714037740750355,	delta=842,
seq_no=113,	ch0=2382, ch1=2026, ch2=   4, ch3= 518, ch4=1472, ch5= 265, ts=1714037740751201,	delta=846,
seq_no=114,	ch0=2171, ch1=2402, ch2=   0, ch3= 358, ch4=1487, ch5= 480, ts=1714037740752037,	delta=836,
seq_no=115,	ch0=1793, ch1=2508, ch2=  21, ch3= 214, ch4=1447, ch5= 711, ts=1714037740752883,	delta=846,
seq_no=116,	ch0=1377, ch1=2539, ch2= 174, ch3=  94, ch4=1346, ch5= 930, ts=1714037740753727,	delta=844,
seq_no=117,	ch0= 967, ch1=2559, ch2= 485, ch3=   8, ch4=1190, ch5=1146, ts=1714037740754614,	delta=887,
seq_no=118,	ch0= 596, ch1=2552, ch2= 867, ch3=   0, ch4=1007, ch5=1308, ts=1714037740755419,	delta=805,
seq_no=119,	ch0= 253, ch1=2550, ch2=1320, ch3=  18, ch4= 816, ch5=1435, ts=1714037740756445,	delta=1026,
seq_no=120,	ch0=   0, ch1=2520, ch2=1785, ch3= 130, ch4= 560, ch5=1566, ts=1714037740757131,	delta=686,
seq_no=121,	ch0=   0, ch1=2437, ch2=2337, ch3= 234, ch4= 400, ch5=1585, ts=1714037740757956,	delta=825,
seq_no=122,	ch0=   0, ch1=2219, ch2=2590, ch3= 457, ch4= 260, ch5=1596, ts=1714037740758800,	delta=844,
seq_no=123,	ch0=   0, ch1=1804, ch2=2679, ch3= 704, ch4= 114, ch5=1586, ts=1714037740759629,	delta=829,
seq_no=124,	ch0= 140, ch1=1382, ch2=2711, ch3= 945, ch4=  26, ch5=1459, ts=1714037740760468,	delta=839,
seq_no=125,	ch0= 429, ch1= 966, ch2=2727, ch3=1133, ch4=   2, ch5=1293, ts=1714037740761313,	delta=845,
seq_no=126,	ch0= 790, ch1= 588, ch2=2727, ch3=1297, ch4=   5, ch5=1080, ts=1714037740762151,	delta=838,
seq_no=127,	ch0=1191, ch1= 256, ch2=2703, ch3=1446, ch4=   2, ch5= 851, ts=1714037740763005,	delta=854,
seq_no=128,	ch0=1563, ch1=   9, ch2=2700, ch3=1590, ch4= 114, ch5= 610, ts=1714037740763836,	delta=831,
seq_no=129,	ch0=1980, ch1=  18, ch2=2647, ch3=1629, ch4= 281, ch5= 433, ts=1714037740764681,	delta=845,
seq_no=130,	ch0=2346, ch1=  68, ch2=2360, ch3=1667, ch4= 481, ch5= 253, ts=1714037740765570,	delta=889,
seq_no=131,	ch0=2522, ch1=   6, ch2=1910, ch3=1627, ch4= 640, ch5= 144, ts=1714037740766371,	delta=801,
seq_no=132,	ch0=2448, ch1= 201, ch2=1454, ch3=1472, ch4= 906, ch5=  16, ts=1714037740767221,	delta=850,
seq_no=133,	ch0=2456, ch1= 518, ch2= 902, ch3=1360, ch4=1089, ch5= 123, ts=1714037740768053,	delta=832,
seq_no=134,	ch0=2466, ch1= 886, ch2= 585, ch3=1157, ch4=1225, ch5=  11, ts=1714037740768893,	delta=840,
seq_no=135,	ch0=2451, ch1=1296, ch2= 237, ch3= 892, ch4=1336, ch5=  13, ts=1714037740769737,	delta=844,
seq_no=136,	ch0=2424, ch1=1735, ch2=   0, ch3= 672, ch4=1436, ch5= 129, ts=1714037740770631,	delta=894,
seq_no=137,	ch0=2375, ch1=2136, ch2=   5, ch3= 476, ch4=1473, ch5= 314, ts=1714037740771428,	delta=797,
seq_no=138,	ch0=2078, ch1=2439, ch2=   1, ch3= 312, ch4=1485, ch5= 536, ts=1714037740772266,	delta=838,
seq_no=139,	ch0=1672, ch1=2520, ch2=  10, ch3= 177, ch4=1426, ch5= 786, ts=1714037740773109,	delta=843,
seq_no=140,	ch0=1271, ch1=2540, ch2= 246, ch3=  67, ch4=1328, ch5= 993, ts=1714037740773952,	delta=843,
seq_no=141,	ch0= 880, ch1=2556, ch2= 577, ch3=   1, ch4=1153, ch5=1176, ts=1714037740774801,	delta=849,
seq_no=142,	ch0= 503, ch1=2560, ch2= 995, ch3=   0, ch4= 929, ch5=1357, ts=1714037740775638,	delta=837,
seq_no=143,	ch0= 141, ch1=2541, ch2=1462, ch3=   0, ch4= 717, ch5=1443, ts=1714037740776481,	delta=843,
