seq_no=47,	ch0=2413, ch1= 863, ch2= 591, ch3=1543, ch4=1541, ch5=   8, ts=1714037700787180,	delta=855,
seq_no=48,	ch0=2439, ch1=1281, ch2= 228, ch3=1153, ch4=1712, ch5=  11, ts=1714037700788014,	delta=834,
seq_no=49,	ch0=2423, ch1=1718, ch2=   0, ch3= 859, ch4=1844, ch5= 162, ts=1714037700788855,	delta=841,
seq_no=50,	ch0=2370, ch1=2126, ch2=   2, ch3= 630, ch4=1888, ch5= 410, ts=1714037700789699,	delta=844,
seq_no=51,	ch0=2072, ch1=2451, ch2=  13, ch3= 437, ch4=1916, ch5= 710, ts=1714037700790538,	delta=839,
seq_no=52,	ch0=1684, ch1=2508, ch2=  16, ch3= 252, ch4=1859, ch5= 992, ts=1714037700791392,	delta=854,
seq_no=53,	ch0=1287, ch1=2541, ch2= 242, ch3= 108, ch4=1706, ch5=1256, ts=1714037700792230,	delta=838,
seq_no=54,	ch0= 866, ch1=2566, ch2= 590, ch3=   1, ch4=1474, ch5=1486, ts=1714037700793071,	delta=841,
seq_no=55,	ch0= 494, ch1=2544, ch2= 988, ch3=   0, ch4=1209, ch5=1698, ts=1714037700793912,	delta=841,
seq_no=56,	ch0= 200, ch1=2541, ch2=1441, ch3=   4, ch4= 942, ch5=1863, ts=1714037700794764,	delta=852,
seq_no=57,	ch0=   2, ch1=2518, ch2=1919, ch3= 157, ch4= 719, ch5=1964, ts=1714037700795600,	delta=836,
seq_no=58,	ch0=   0, ch1=2432, ch2=2343, ch3= 423, ch4= 478, ch5=2083, ts=1714037700796440,	delta=840,
seq_no=59,	ch0=   0, ch1=2101, ch2=2657, ch3= 686, ch4= 320, ch5=2065, ts=1714037700797287,	delta=847,
seq_no=60,	ch0=   0, ch1=1697, ch2=2695, ch3=1009, ch4= 141, ch5=1993, ts=1714037700798125,	delta=838,
seq_no=61,	ch0= 198, ch1=1268, ch2=2718, ch3=1280, ch4=  29, ch5=1824, ts=1714037700798978,	delta=853,
seq_no=62,	ch0= 520, ch1= 869, ch2=2732, ch3=1496, ch4=   5, ch5=1573, ts=1714037700799811,	delta=833,
seq_no=63,	ch0= 893, ch1= 502, ch2=2729, ch3=1702, ch4=   0, ch5=1278, ts=1714037700800660,	delta=849,
seq_no=64,	ch0=1292, ch1= 187, ch2=2712, ch3=1888, ch4=  19, ch5= 995, ts=1714037700801498,	delta=838,
seq_no=65,	ch0=1754, ch1=   0, ch2=2679, ch3=2047, ch4= 187, ch5= 723, ts=1714037700802342,	delta=844,
seq_no=66,	ch0=2083, ch1=   8, ch2=2619, ch3=2099, ch4= 441, ch5= 504, ts=1714037700803189,	delta=847,
seq_no=67,	ch0=2371, ch1=  16, ch2=2220, ch3=2162, ch4= 704, ch5= 373, ts=1714037700804025,	delta=836,
seq_no=68,	ch0=2428, ch1=   0, ch2=1783, ch3=2123, ch4=1009, ch5= 162, ts=1714037700804868,	delta=843,
seq_no=69,	ch0=2400, ch1= 261, ch2=1313, ch3=2020, ch4=1217, ch5=  56, ts=1714037700805712,	delta=844,
seq_no=70,	ch0=2463, ch1= 584, ch2= 992, ch3=1673, ch4=1441, ch5=  47, ts=1714037700806663,	delta=951,
seq_no=71,	ch0=2434, ch1=1103, ch2= 489, ch3=1360, ch4=1600, ch5=   0, ts=1714037700807409,	delta=746,
seq_no=72,	ch0=2447, ch1=1400, ch2= 155, ch3=1079, ch4=1742, ch5=  38, ts=1714037700808242,	delta=833,
seq_no=73,	ch0=2414, ch1=1832, ch2=   0, ch3= 790, ch4=1862, ch5= 237, ts=1714037700809085,	delta=843,
seq_no=74,	ch0=2335, ch1=2225, ch2=   5, ch3= 576, ch4=1904, ch5= 475, ts=1714037700809927,	delta=842,
seq_no=75,	ch0=1963, ch1=2430, ch2=  17, ch3= 389, ch4=1915, ch5= 785, ts=1714037700810783,	delta=856,
seq_no=76,	ch0=1569, ch1=2523, ch2=  25, ch3= 214, ch4=1838, ch5=1060, ts=1714037700811613,	delta=830,
seq_no=77,	ch0=1161, ch1=2548, ch2= 311, ch3=  68, ch4=1655, ch5=1328, ts=1714037700812455,	delta=842,
seq_no=78,	ch0= 772, ch1=2556, ch2= 660, ch3=   9, ch4=1411, ch5=1542, ts=1714037700813299,	delta=844,
seq_no=79,	ch0= 422, ch1=2535, ch2=1112, ch3=   1, ch4=1119, ch5=1741, ts=1714037700814361,	delta=1062,
seq_no=80,	ch0= 102, ch1=2544, ch2=1571, ch3=   4, ch4= 864, ch5=1891, ts=1714037700815038,	delta=677,
seq_no=81,	ch0=   0, ch1=2496, ch2=1959, ch3= 198, ch4= 644, ch5=2056, ts=1714037700815842,	delta=804,
seq_no=82,	ch0=   0, ch1=2308, ch2=2439, ch3= 455, ch4= 477, ch5=2033, ts=1714037700816672,	delta=830,
seq_no=83,	ch0=   0, ch1=1992, ch2=2632, ch3= 856, ch4= 242, ch5=2042, ts=1714037700817516,	delta=844,
seq_no=84,	ch0=  26, ch1=1590, ch2=2698, ch3=1088, ch4= 111, ch5=1964, ts=1714037700818359,	delta=843,
seq_no=85,	ch0= 285, ch1=1153, ch2=2721, ch3=1351, ch4=  11, ch5=1772, ts=1714037700819207,	delta=848,
seq_no=86,	ch0= 620, ch1= 765, ch2=2723, ch3=1561, ch4=   2, ch5=1507, ts=1714037700820042,	delta=835,
seq_no=87,	ch0=1008, ch1= 411, ch2=2720, ch3=1766, ch4=  10, ch5=1202, ts=1714037700820883,	delta=841,
seq_no=88,	ch0=1404, ch1= 101, ch2=2700, ch3=1931, ch4=  64, ch5= 922, ts=1714037700821729,	delta=846,
seq_no=89,	ch0=1807, ch1=   0, ch2=2681, ch3=2060, ch4= 323, ch5= 661, ts=1714037700822614,	delta=885,
seq_no=90,	ch0=2259, ch1=   0, ch2=2566, ch3=2136, ch4= 487, ch5= 459, ts=1714037700823417,	delta=803,
seq_no=91,	ch0=2391, ch1=  17, ch2=2127, ch3=2137, ch4= 784, ch5= 288, ts=1714037700824257,	delta=840,
seq_no=92,	ch0=2447, ch1=  78, ch2=1652, ch3=2087, ch4=1062, ch5= 164, ts=1714037700825099,	delta=842,
seq_no=93,	ch0=2468, ch1= 311, ch2=1221, ch3=1901, ch4=1321, ch5=   2, ts=1714037700825940,	delta=841,
seq_no=94,	ch0=2459, ch1= 699, ch2= 808, ch3=1664, ch4=1472, ch5=  64, ts=1714037700826796,	delta=856,
seq_no=95,	ch0=2475, ch1=1088, ch2= 454, ch3=1288, ch4=1658, ch5=  13, ts=1714037700827630,	delta=834,
seq_no=96,	ch0=2439, ch1=1519, ch2=  81, ch3= 985, ch4=1788, ch5=  83, ts=1714037700828472,	delta=842,
seq_no=97,	ch0=2403, ch1=1947, ch2=   0, ch3= 736, ch4=1870, ch5= 281, ts=1714037700829312,	delta=840,
seq_no=98,	ch0=2243, ch1=2333, ch2=  12, ch3= 523, ch4=1906, ch5= 564, ts=1714037700830155,	delta=843,
seq_no=99,	ch0=1870, ch1=2504, ch2=  13, ch3= 334, ch4=1891, ch5= 854, ts=1714037700831007,	delta=852,
seq_no=100,	ch0=1463, ch1=2527, ch2= 103, ch3= 176, ch4=1792, ch5=1136, ts=1714037700831843,	delta=836,
seq_no=101,	ch0=1021, ch1=2540, ch2= 412, ch3=  43, ch4=1588, ch5=1392, ts=1714037700832686,	delta=843,
seq_no=102,	ch0= 664, ch1=2556, ch2= 779, ch3=   1, ch4=1346, ch5=1610, ts=1714037700833528,	delta=842,
seq_no=103,	ch0= 339, ch1=2550, ch2=1233, ch3=   9, ch4=1059, ch5=1783, ts=1714037700834372,	delta=844,
seq_no=104,	ch0= 115, ch1=2528, ch2=1723, ch3=  67, ch4= 780, ch5=1926, ts=1714037700835222,	delta=850,
seq_no=105,	ch0=   0, ch1=2514, ch2=2137, ch3= 233, ch4= 576, ch5=2025, ts=1714037700836059,	delta=837,
seq_no=106,	ch0=   8, ch1=2311, ch2=2521, ch3= 540, ch4= 381, ch5=2112, ts=1714037700836900,	delta=841,
seq_no=107,	ch0=   0, ch1=1863, ch2=2672, ch3= 866, ch4= 240, ch5=2008, ts=1714037700837743,	delta=843,
seq_no=108,	ch0= 106, ch1=1472, ch2=2704, ch3=1167, ch4=  89, ch5=1914, ts=1714037700838620,	delta=877,
seq_no=109,	ch0= 365, ch1=1058, ch2=2737, ch3=1405, ch4=   0, ch5=1697, ts=1714037700839432,	delta=812,
seq_no=110,	ch0= 714, ch1= 673, ch2=2728, ch3=1632, ch4=  12, ch5=1422, ts=1714037700840271,	delta=839,
seq_no=111,	ch0=1103, ch1= 325, ch2=2728, ch3=1807, ch4=  16, ch5=1134, ts=1714037700841115,	delta=844,
seq_no=112,	ch0=1513, ch1=  43, ch2=2695, ch3=1972, ch4= 104, ch5= 846, ts=1714037700841958,	delta=843,
seq_no=113,	ch0=1905, ch1=   6, ch2=2590, ch3=2083, ch4= 304, ch5= 667, ts=1714037700842807,	delta=849,
seq_no=114,	ch0=2281, ch1=  54, ch2=2441, ch3=2145, ch4= 661, ch5= 389, ts=1714037700843642,	delta=835,
seq_no=115,	ch0=2414, ch1=  10, ch2=2008, ch3=2159, ch4= 843, ch5= 242, ts=1714037700844484,	delta=842,
seq_no=116,	ch0=2437, ch1= 185, ch2=1556, ch3=2009, ch4=1124, ch5= 109, ts=1714037700845326,	delta=842,
seq_no=117,	ch0=2488, ch1= 463, ch2=1077, ch3=1815, ch4=1344, ch5=   0, ts=1714037700846169,	delta=843,
seq_no=118,	ch0=2478, ch1= 754, ch2= 678, ch3=1540, ch4=1560, ch5=  18, ts=1714037700847022,	delta=853,
seq_no=119,	ch0=2456, ch1=1198, ch2= 297, ch3=1215, ch4=1690, ch5=  14, ts=1714037700848024,	delta=1002,
seq_no=120,	ch0=2431, ch1=1632, ch2=  13, ch3= 915, ch4=1807, ch5= 123, ts=1714037700848734,	delta=710,
seq_no=121,	ch0=2381, ch1=2041, ch2=  13, ch3= 668, ch4=1884, ch5= 360, ts=1714037700849556,	delta=822,
seq_no=122,	ch0=2144, ch1=2417, ch2=   0, ch3= 469, ch4=1920, ch5= 645, ts=1714037700850392,	delta=836,
seq_no=123,	ch0=1766, ch1=2520, ch2=  13, ch3= 299, ch4=1889, ch5= 931, ts=1714037700851238,	delta=846,
seq_no=124,	ch0=1357, ch1=2541, ch2= 165, ch3= 127, ch4=1729, ch5=1223, ts=1714037700852077,	delta=839,
seq_no=125,	ch0= 951, ch1=2529, ch2= 501, ch3=   9, ch4=1533, ch5=1440, ts=1714037700852913,	delta=836,
seq_no=126,	ch0= 552, ch1=2559, ch2= 893, ch3=   1, ch4=1271, ch5=1665, ts=1714037700853758,	delta=845,
seq_no=127,	ch0= 235, ch1=2542, ch2=1356, ch3=  20, ch4= 998, ch5=1824, ts=1714037700854691,	delta=933,
seq_no=128,	ch0=   0, ch1=2529, ch2=1811, ch3= 115, ch4= 737, ch5=1905, ts=1714037700855452,	delta=761,
seq_no=129,	ch0= 113, ch1=2480, ch2=2244, ch3= 327, ch4= 480, ch5=2031, ts=1714037700856288,	delta=836,
seq_no=130,	ch0=   0, ch1=2190, ch2=2631, ch3= 625, ch4= 331, ch5=2068, ts=1714037700857129,	delta=841,
seq_no=131,	ch0=   0, ch1=1797, ch2=2685, ch3= 953, ch4= 168, ch5=2028, ts=1714037700857972,	delta=843,
seq_no=132,	ch0= 155, ch1=1364, ch2=2713, ch3=1235, ch4=  45, ch5=1876, ts=1714037700858823,	delta=851,
seq_no=133,	ch0= 455, ch1= 947, ch2=2732, ch3=1474, ch4=  10, ch5=1640, ts=1714037700859653,	delta=830,
seq_no=134,	ch0= 832, ch1= 576, ch2=2723, ch3=1675, ch4=  10, ch5=1338, ts=1714037700860499,	delta=846,
seq_no=135,	ch0=1211, ch1= 242, ch2=2712, ch3=1857, ch4=  16, ch5=1046, ts=1714037700861343,	delta=844,
seq_no=136,	ch0=1626, ch1=   0, ch2=2686, ch3=2022, ch4= 201, ch5= 772, ts=1714037700862183,	delta=840,
seq_no=137,	ch0=1997, ch1=   4, ch2=2624, ch3=2175, ch4= 373, ch5= 546, ts=1714037700863035,	delta=852,
seq_no=138,	ch0=2347, ch1=  12, ch2=2319, ch3=2150, ch4= 647, ch5= 349, ts=1714037700863859,	delta=824,
seq_no=139,	ch0=2421, ch1=  24, ch2=1871, ch3=2140, ch4= 912, ch5= 201, ts=1714037700864704,	delta=845,
seq_no=140,	ch0=2449, ch1= 174, ch2=1412, ch3=1999, ch4=1100, ch5=  48, ts=1714037700865549,	delta=845,
seq_no=141,	ch0=2461, ch1= 525, ch2= 985, ch3=1753, ch4=1380, ch5=  40, ts=1714037700866391,	delta=842,
seq_no=142,	ch0=2456, ch1= 926, ch2= 622, ch3=1426, ch4=1584, ch5=  35, ts=1714037700867277,	delta=886,
