seq_no=75,	ch0=1020, ch1= 209, ch2=2508, ch3= 915, ch4=  67, ch5=1636, ts=1712137291128325,	delta=844,
seq_no=76,	ch0= 690, ch1= 397, ch2=2586, ch3= 651, ch4= 231, ch5=1739, ts=1712137291129167,	delta=842,
seq_no=77,	ch0= 421, ch1= 631, ch2=2591, ch3= 461, ch4= 498, ch5=1776, ts=1712137291130017,	delta=850,
seq_no=78,	ch0= 192, ch1= 975, ch2=2597, ch3= 278, ch4= 671, ch5=1772, ts=1712137291130852,	delta=835,
seq_no=79,	ch0=  57, ch1=1269, ch2=2339, ch3= 128, ch4= 836, ch5=1659, ts=1712137291131962,	delta=1110,
seq_no=80,	ch0=   0, ch1=1607, ch2=2200, ch3=  16, ch4=1153, ch5=1502, ts=1712137291132586,	delta=624,
seq_no=81,	ch0=   0, ch1=1840, ch2=1806, ch3=  14, ch4=1376, ch5=1284, ts=1712137291133450,	delta=864,
seq_no=82,	ch0=   1, ch1=2151, ch2=1476, ch3=   4, ch4=1485, ch5=1052, ts=1712137291134238,	delta=788,
seq_no=83,	ch0= 161, ch1=2323, ch2=1126, ch3=  41, ch4=1606, ch5= 806, ts=1712137291135067,	delta=829,
seq_no=84,	ch0= 385, ch1=2403, ch2= 784, ch3= 186, ch4=1683, ch5= 569, ts=1712137291135909,	delta=842,
seq_no=85,	ch0= 656, ch1=2405, ch2= 483, ch3= 402, ch4=1712, ch5= 372, ts=1712137291136751,	delta=842,
seq_no=86,	ch0= 955, ch1=2335, ch2= 203, ch3= 656, ch4=1689, ch5= 216, ts=1712137291137605,	delta=854,
seq_no=87,	ch0=1271, ch1=2169, ch2=  18, ch3= 928, ch4=1570, ch5=  81, ts=1712137291138436,	delta=831,
seq_no=88,	ch0=1581, ch1=1950, ch2=   2, ch3=1177, ch4=1431, ch5=   0, ts=1712137291139276,	delta=840,
seq_no=89,	ch0=1859, ch1=1646, ch2=   0, ch3=1382, ch4=1216, ch5=   0, ts=1712137291140117,	delta=841,
seq_no=90,	ch0=2086, ch1=1376, ch2=  36, ch3=1534, ch4= 987, ch5=   2, ts=1712137291140959,	delta=842,
seq_no=91,	ch0=2248, ch1= 940, ch2= 210, ch3=1673, ch4= 825, ch5=  66, ts=1712137291141813,	delta=854,
seq_no=92,	ch0=2293, ch1= 773, ch2= 471, ch3=1772, ch4= 505, ch5= 245, ts=1712137291142641,	delta=828,
seq_no=93,	ch0=2327, ch1= 388, ch2= 757, ch3=1863, ch4= 340, ch5= 438, ts=1712137291143480,	delta=839,
seq_no=94,	ch0=2248, ch1= 199, ch2=1101, ch3=1856, ch4= 156, ch5= 691, ts=1712137291144321,	delta=841,
seq_no=95,	ch0=2078, ch1=  39, ch2=1450, ch3=1774, ch4=  49, ch5= 952, ts=1712137291145169,	delta=848,
seq_no=96,	ch0=1860, ch1=   6, ch2=1785, ch3=1612, ch4=   0, ch5=1175, ts=1712137291146043,	delta=874,
seq_no=97,	ch0=1583, ch1=  10, ch2=2097, ch3=1380, ch4=   0, ch5=1384, ts=1712137291146867,	delta=824,
seq_no=98,	ch0=1282, ch1=  36, ch2=2349, ch3=1138, ch4=   0, ch5=1541, ts=1712137291147700,	delta=833,
seq_no=99,	ch0= 967, ch1= 165, ch2=2515, ch3= 872, ch4= 141, ch5=1653, ts=1712137291148601,	delta=901,
seq_no=100,	ch0= 653, ch1= 440, ch2=2671, ch3= 619, ch4= 265, ch5=1749, ts=1712137291149439,	delta=838,
seq_no=101,	ch0= 388, ch1= 709, ch2=2589, ch3= 419, ch4= 438, ch5=1782, ts=1712137291150233,	delta=794,
seq_no=102,	ch0= 169, ch1=1043, ch2=2542, ch3= 261, ch4= 708, ch5=1754, ts=1712137291151076,	delta=843,
seq_no=103,	ch0= 126, ch1=1346, ch2=2332, ch3= 116, ch4= 911, ch5=1640, ts=1712137291151910,	delta=834,
seq_no=104,	ch0=   0, ch1=1704, ch2=2122, ch3=   1, ch4=1174, ch5=1467, ts=1712137291152756,	delta=846,
seq_no=105,	ch0=   0, ch1=1914, ch2=1760, ch3=   0, ch4=1304, ch5=1257, ts=1712137291153610,	delta=854,
seq_no=106,	ch0=  29, ch1=2180, ch2=1406, ch3=   0, ch4=1515, ch5=1018, ts=1712137291154439,	delta=829,
seq_no=107,	ch0= 198, ch1=2348, ch2=1061, ch3=  49, ch4=1633, ch5= 775, ts=1712137291155284,	delta=845,
seq_no=108,	ch0= 434, ch1=2408, ch2= 715, ch3= 218, ch4=1691, ch5= 532, ts=1712137291156124,	delta=840,
seq_no=109,	ch0= 704, ch1=2406, ch2= 413, ch3= 442, ch4=1734, ch5= 352, ts=1712137291156968,	delta=844,
seq_no=110,	ch0=1010, ch1=2310, ch2= 181, ch3= 692, ch4=1668, ch5= 185, ts=1712137291157818,	delta=850,
seq_no=111,	ch0=1324, ch1=2129, ch2=  13, ch3= 967, ch4=1560, ch5=  69, ts=1712137291158654,	delta=836,
seq_no=112,	ch0=1618, ch1=1910, ch2=   0, ch3=1201, ch4=1407, ch5=   0, ts=1712137291159493,	delta=839,
seq_no=113,	ch0=1900, ch1=1612, ch2=   0, ch3=1406, ch4=1184, ch5=   0, ts=1712137291160332,	delta=839,
seq_no=114,	ch0=2108, ch1=1308, ch2= 126, ch3=1565, ch4= 977, ch5=   0, ts=1712137291161175,	delta=843,
seq_no=115,	ch0=2250, ch1= 955, ch2= 237, ch3=1701, ch4= 645, ch5=  96, ts=1712137291162030,	delta=855,
seq_no=116,	ch0=2312, ch1= 712, ch2= 560, ch3=1801, ch4= 500, ch5= 282, ts=1712137291162865,	delta=835,
seq_no=117,	ch0=2359, ch1= 388, ch2= 810, ch3=1856, ch4= 289, ch5= 506, ts=1712137291163704,	delta=839,
seq_no=118,	ch0=2225, ch1= 163, ch2=1152, ch3=1849, ch4= 153, ch5= 721, ts=1712137291164547,	delta=843,
seq_no=119,	ch0=2039, ch1=   9, ch2=1495, ch3=1756, ch4=  48, ch5= 987, ts=1712137291165632,	delta=1085,
seq_no=120,	ch0=1810, ch1=   0, ch2=1838, ch3=1583, ch4=   0, ch5=1206, ts=1712137291166277,	delta=645,
seq_no=121,	ch0=1524, ch1=   0, ch2=2141, ch3=1356, ch4=   0, ch5=1396, ts=1712137291167088,	delta=811,
seq_no=122,	ch0=1228, ch1=  56, ch2=2383, ch3=1096, ch4=   0, ch5=1548, ts=1712137291167921,	delta=833,
seq_no=123,	ch0= 994, ch1= 229, ch2=2552, ch3= 826, ch4=  92, ch5=1668, ts=1712137291168763,	delta=842,
seq_no=124,	ch0= 602, ch1= 482, ch2=2511, ch3= 594, ch4= 287, ch5=1837, ts=1712137291169621,	delta=858,
seq_no=125,	ch0= 406, ch1= 764, ch2=2589, ch3= 401, ch4= 498, ch5=1787, ts=1712137291170448,	delta=827,
seq_no=126,	ch0= 178, ch1=1116, ch2=2452, ch3= 226, ch4= 757, ch5=1675, ts=1712137291171292,	delta=844,
seq_no=127,	ch0=   0, ch1=1395, ch2=2288, ch3= 139, ch4= 980, ch5=1664, ts=1712137291172133,	delta=841,
seq_no=128,	ch0=  18, ch1=1731, ch2=1974, ch3=   0, ch4=1221, ch5=1360, ts=1712137291172974,	delta=841,
seq_no=129,	ch0=   0, ch1=1985, ch2=1713, ch3=   1, ch4=1380, ch5=1222, ts=1712137291173825,	delta=851,
seq_no=130,	ch0=  49, ch1=2207, ch2=1374, ch3=   2, ch4=1530, ch5= 974, ts=1712137291174661,	delta=836,
seq_no=131,	ch0= 229, ch1=2355, ch2=1015, ch3=  84, ch4=1637, ch5= 726, ts=1712137291175500,	delta=839,
seq_no=132,	ch0= 472, ch1=2415, ch2= 696, ch3= 257, ch4=1695, ch5= 498, ts=1712137291176344,	delta=844,
seq_no=133,	ch0= 750, ch1=2398, ch2= 386, ch3= 482, ch4=1712, ch5= 320, ts=1712137291178740,	delta=2396,
seq_no=134,	ch0=1066, ch1=2296, ch2= 139, ch3= 737, ch4=1664, ch5= 161, ts=1712137291178923,	delta=183,
seq_no=135,	ch0=1349, ch1=2112, ch2=   0, ch3=1011, ch4=1548, ch5=  64, ts=1712137291178959,	delta=36,
seq_no=136,	ch0=1685, ch1=1869, ch2=   0, ch3=1248, ch4=1365, ch5=   0, ts=1712137291179779,	delta=820,
seq_no=137,	ch0=1943, ch1=1579, ch2=   1, ch3=1442, ch4=1134, ch5=   0, ts=1712137291180575,	delta=796,
seq_no=138,	ch0=2151, ch1=1262, ch2=  19, ch3=1593, ch4= 907, ch5=  84, ts=1712137291181487,	delta=912,
seq_no=139,	ch0=2327, ch1= 932, ch2= 332, ch3=1728, ch4= 640, ch5= 130, ts=1712137291182253,	delta=766,
seq_no=140,	ch0=2329, ch1= 638, ch2= 502, ch3=1818, ch4= 466, ch5= 354, ts=1712137291183090,	delta=837,
seq_no=141,	ch0=2303, ch1= 361, ch2= 865, ch3=1857, ch4= 265, ch5= 528, ts=1712137291183930,	delta=840,
seq_no=142,	ch0=2204, ch1= 140, ch2=1219, ch3=1836, ch4= 117, ch5= 770, ts=1712137291184772,	delta=842,
seq_no=143,	ch0=2016, ch1=   2, ch2=1557, ch3=1728, ch4=  13, ch5=1021, ts=1712137291185623,	delta=851,
seq_no=144,	ch0=1761, ch1=  10, ch2=1893, ch3=1536, ch4=   0, ch5=1248, ts=1712137291186454,	delta=831,
seq_no=145,	ch0=1490, ch1=   9, ch2=2187, ch3=1305, ch4=   0, ch5=1433, ts=1712137291187296,	delta=842,
seq_no=146,	ch0=1179, ch1=  81, ch2=2370, ch3=1052, ch4=  16, ch5=1645, ts=1712137291188141,	delta=845,
seq_no=147,	ch0= 922, ch1= 266, ch2=2540, ch3= 839, ch4= 130, ch5=1688, ts=1712137291188983,	delta=842,
seq_no=148,	ch0= 590, ch1= 528, ch2=2575, ch3= 556, ch4= 327, ch5=1728, ts=1712137291189833,	delta=850,
seq_no=149,	ch0= 289, ch1= 832, ch2=2584, ch3= 391, ch4= 537, ch5=1789, ts=1712137291190667,	delta=834,
seq_no=150,	ch0=  94, ch1=1230, ch2=2440, ch3= 221, ch4= 792, ch5=1681, ts=1712137291191511,	delta=844,
seq_no=151,	ch0=   0, ch1=1453, ch2=2256, ch3=   4, ch4=1005, ch5=1573, ts=1712137291192355,	delta=844,
seq_no=152,	ch0=   0, ch1=1867, ch2=1959, ch3=  22, ch4=1233, ch5=1372, ts=1712137291193193,	delta=838,
seq_no=153,	ch0=   0, ch1=2030, ch2=1656, ch3=   0, ch4=1408, ch5=1187, ts=1712137291194039,	delta=846,
seq_no=154,	ch0=  84, ch1=2240, ch2=1308, ch3=   0, ch4=1554, ch5= 947, ts=1712137291194878,	delta=839,
seq_no=155,	ch0= 265, ch1=2361, ch2= 948, ch3=  93, ch4=1647, ch5= 693, ts=1712137291195782,	delta=904,
seq_no=156,	ch0= 522, ch1=2408, ch2= 621, ch3= 287, ch4=1708, ch5= 480, ts=1712137291196573,	delta=791,
seq_no=157,	ch0= 806, ch1=2386, ch2= 344, ch3= 523, ch4=1717, ch5= 299, ts=1712137291197459,	delta=886,
seq_no=158,	ch0=1122, ch1=2272, ch2= 111, ch3= 788, ch4=1645, ch5= 138, ts=1712137291198520,	delta=1061,
seq_no=159,	ch0=1417, ch1=2072, ch2=   0, ch3=1050, ch4=1514, ch5=  37, ts=1712137291199145,	delta=625,
seq_no=160,	ch0=1704, ch1=1831, ch2=   0, ch3=1276, ch4=1339, ch5=   5, ts=1712137291199955,	delta=810,
seq_no=161,	ch0=1955, ch1=1528, ch2=   0, ch3=1480, ch4=1120, ch5=   4, ts=1712137291200786,	delta=831,
seq_no=162,	ch0=2169, ch1=1319, ch2=  84, ch3=1633, ch4= 868, ch5=   0, ts=1712137291201638,	delta=852,
seq_no=163,	ch0=2226, ch1= 869, ch2= 340, ch3=1780, ch4= 619, ch5= 155, ts=1712137291202465,	delta=827,
seq_no=164,	ch0=2328, ch1= 661, ch2= 588, ch3=1864, ch4= 434, ch5= 320, ts=1712137291203306,	delta=841,
seq_no=165,	ch0=2294, ch1= 308, ch2= 918, ch3=1869, ch4= 250, ch5= 565, ts=1712137291204148,	delta=842,
seq_no=166,	ch0=2176, ch1= 110, ch2=1261, ch3=1821, ch4= 113, ch5= 817, ts=1712137291204989,	delta=841,
seq_no=167,	ch0=1972, ch1=   0, ch2=1614, ch3=1710, ch4=   5, ch5=1063, ts=1712137291205842,	delta=853,
seq_no=168,	ch0=1724, ch1=   0, ch2=1940, ch3=1510, ch4=   0, ch5=1282, ts=1712137291206676,	delta=834,
seq_no=169,	ch0=1433, ch1=   2, ch2=2227, ch3=1276, ch4=   0, ch5=1452, ts=1712137291207512,	delta=836,
seq_no=170,	ch0=1128, ch1= 163, ch2=2433, ch3=1004, ch4=  27, ch5=1564, ts=1712137291208356,	delta=844,
seq_no=171,	ch0= 776, ch1= 309, ch2=2581, ch3= 767, ch4= 163, ch5=1705, ts=1712137291209202,	delta=846,
seq_no=172,	ch0= 510, ch1= 638, ch2=2591, ch3= 530, ch4= 360, ch5=1753, ts=1712137291210054,	delta=852,
seq_no=173,	ch0= 254, ch1= 874, ch2=2570, ch3= 306, ch4= 583, ch5=1790, ts=1712137291210887,	delta=833,
seq_no=174,	ch0=  67, ch1=1088, ch2=2431, ch3= 167, ch4= 900, ch5=1704, ts=1712137291211728,	delta=841,
seq_no=175,	ch0=   0, ch1=1558, ch2=2224, ch3=  35, ch4=1065, ch5=1576, ts=1712137291212573,	delta=845,
seq_no=176,	ch0=   0, ch1=1819, ch2=1915, ch3=   2, ch4=1345, ch5=1363, ts=1712137291213472,	delta=899,
seq_no=177,	ch0=   0, ch1=2076, ch2=1592, ch3=   0, ch4=1435, ch5=1133, ts=1712137291214261,	delta=789,
seq_no=178,	ch0= 105, ch1=2277, ch2=1251, ch3=   0, ch4=1573, ch5= 893, ts=1712137291215101,	delta=840,
seq_no=179,	ch0= 313, ch1=2383, ch2= 893, ch3= 133, ch4=1655, ch5= 642, ts=1712137291215942,	delta=841,
seq_no=180,	ch0= 563, ch1=2411, ch2= 577, ch3= 328, ch4=1705, ch5= 436, ts=1712137291216785,	delta=843,
seq_no=181,	ch0= 852, ch1=2375, ch2= 306, ch3= 569, ch4=1708, ch5= 260, ts=1712137291217636,	delta=851,
seq_no=182,	ch0=1152, ch1=2224, ch2=  85, ch3= 832, ch4=1632, ch5= 111, ts=1712137291218470,	delta=834,
seq_no=183,	ch0=1464, ch1=2055, ch2=   5, ch3=1088, ch4=1489, ch5=  17, ts=1712137291219312,	delta=842,
seq_no=184,	ch0=1772, ch1=1768, ch2=   0, ch3=1316, ch4=1282, ch5=   0, ts=1712137291220151,	delta=839,
seq_no=185,	ch0=1985, ch1=1472, ch2=   0, ch3=1449, ch4=1059, ch5=   0, ts=1712137291220994,	delta=843,
seq_no=186,	ch0=2184, ch1=1236, ch2= 133, ch3=1664, ch4= 837, ch5=   2, ts=1712137291221844,	delta=850,
seq_no=187,	ch0=2251, ch1= 832, ch2= 373, ch3=1708, ch4= 591, ch5= 179, ts=1712137291222682,	delta=838,
seq_no=188,	ch0=2330, ch1= 544, ch2= 661, ch3=1840, ch4= 380, ch5= 389, ts=1712137291223526,	delta=844,
seq_no=189,	ch0=2277, ch1= 272, ch2= 984, ch3=1857, ch4= 210, ch5= 608, ts=1712137291224366,	delta=840,
seq_no=190,	ch0=2139, ch1=  87, ch2=1344, ch3=1811, ch4=  76, ch5= 862, ts=1712137291225207,	delta=841,
seq_no=191,	ch0=1939, ch1=   4, ch2=1680, ch3=1665, ch4=   0, ch5=1112, ts=1712137291226059,	delta=852,
seq_no=192,	ch0=1677, ch1=  14, ch2=2001, ch3=1464, ch4=   0, ch5=1319, ts=1712137291226894,	delta=835,
seq_no=193,	ch0=1386, ch1=  10, ch2=2268, ch3=1218, ch4=   0, ch5=1485, ts=1712137291227733,	delta=839,
seq_no=194,	ch0=1076, ch1= 205, ch2=2468, ch3= 967, ch4=  53, ch5=1608, ts=1712137291228575,	delta=842,
seq_no=195,	ch0= 752, ch1= 353, ch2=2572, ch3= 679, ch4= 202, ch5=1715, ts=1712137291229428,	delta=853,
seq_no=196,	ch0= 472, ch1= 650, ch2=2595, ch3= 490, ch4= 470, ch5=1771, ts=1712137291230263,	delta=835,
seq_no=197,	ch0= 203, ch1= 980, ch2=2563, ch3= 290, ch4= 629, ch5=1777, ts=1712137291231106,	delta=843,
seq_no=198,	ch0=  54, ch1=1204, ch2=2392, ch3= 174, ch4= 907, ch5=1679, ts=1712137291231984,	delta=878,
seq_no=199,	ch0=   0, ch1=1572, ch2=2256, ch3=  27, ch4=1106, ch5=1527, ts=1712137291232804,	delta=820,
seq_no=200,	ch0=   0, ch1=1865, ch2=1868, ch3=   0, ch4=1301, ch5=1335, ts=1712137291233649,	delta=845,
seq_no=201,	ch0=   0, ch1=2105, ch2=1527, ch3=   1, ch4=1462, ch5=1100, ts=1712137291234484,	delta=835,
seq_no=202,	ch0= 129, ch1=2289, ch2=1191, ch3=  10, ch4=1589, ch5= 859, ts=1712137291235319,	delta=835,
seq_no=203,	ch0= 343, ch1=2398, ch2= 842, ch3= 162, ch4=1673, ch5= 612, ts=1712137291236162,	delta=843,
seq_no=204,	ch0= 610, ch1=2386, ch2= 521, ch3= 370, ch4=1712, ch5= 407, ts=1712137291237005,	delta=843,
seq_no=205,	ch0= 912, ch1=2356, ch2= 242, ch3= 606, ch4=1703, ch5= 232, ts=1712137291237853,	delta=848,
seq_no=206,	ch0=1225, ch1=2196, ch2=  47, ch3= 885, ch4=1603, ch5=  92, ts=1712137291238689,	delta=836,
seq_no=207,	ch0=1530, ch1=1993, ch2=   5, ch3=1141, ch4=1457, ch5=   5, ts=1712137291239529,	delta=840,
seq_no=208,	ch0=1797, ch1=1697, ch2=   5, ch3=1353, ch4=1258, ch5=   2, ts=1712137291240373,	delta=844,
seq_no=209,	ch0=2016, ch1=1482, ch2=  26, ch3=1504, ch4=1033, ch5=   0, ts=1712137291241213,	delta=840,
seq_no=210,	ch0=2208, ch1=1007, ch2= 173, ch3=1664, ch4= 865, ch5=  30, ts=1712137291242065,	delta=852,
seq_no=211,	ch0=2292, ch1= 832, ch2= 416, ch3=1766, ch4= 557, ch5= 197, ts=1712137291242899,	delta=834,
seq_no=212,	ch0=2315, ch1= 486, ch2= 711, ch3=1848, ch4= 354, ch5= 423, ts=1712137291243744,	delta=845,
seq_no=213,	ch0=2255, ch1= 226, ch2=1039, ch3=1860, ch4= 192, ch5= 662, ts=1712137291244584,	delta=840,
seq_no=214,	ch0=2112, ch1=  57, ch2=1405, ch3=1795, ch4=  64, ch5= 905, ts=1712137291245487,	delta=903,
seq_no=215,	ch0=1888, ch1=   2, ch2=1737, ch3=1643, ch4=   0, ch5=1145, ts=1712137291246275,	delta=788,
seq_no=216,	ch0=1626, ch1=  10, ch2=2048, ch3=1433, ch4=   0, ch5=1337, ts=1712137291248284,	delta=2009,
seq_no=217,	ch0=1333, ch1=  44, ch2=2305, ch3=1176, ch4=   0, ch5=1504, ts=1712137291248344,	delta=60,
seq_no=218,	ch0=1025, ch1= 128, ch2=2496, ch3= 927, ch4= 129, ch5=1631, ts=1712137291248872,	delta=528,
seq_no=219,	ch0= 706, ch1= 398, ch2=2594, ch3= 658, ch4= 220, ch5=1731, ts=1712137291249685,	delta=813,
seq_no=220,	ch0= 424, ch1= 649, ch2=2588, ch3= 460, ch4= 467, ch5=1772, ts=1712137291250495,	delta=810,
seq_no=221,	ch0= 184, ch1= 963, ch2=2607, ch3= 285, ch4= 696, ch5=1764, ts=1712137291251333,	delta=838,
seq_no=222,	ch0=  29, ch1=1269, ch2=2356, ch3= 122, ch4= 854, ch5=1662, ts=1712137291252171,	delta=838,
seq_no=223,	ch0=   0, ch1=1627, ch2=2190, ch3=  16, ch4=1168, ch5=1507, ts=1712137291253015,	delta=844,
seq_no=224,	ch0=   0, ch1=1910, ch2=1816, ch3=   0, ch4=1324, ch5=1295, ts=1712137291253864,	delta=849,
seq_no=225,	ch0=   9, ch1=2145, ch2=1479, ch3=   0, ch4=1492, ch5=1063, ts=1712137291254695,	delta=831,
seq_no=226,	ch0= 164, ch1=2320, ch2=1127, ch3=  21, ch4=1596, ch5= 815, ts=1712137291255540,	delta=845,
seq_no=227,	ch0= 388, ch1=2392, ch2= 773, ch3= 183, ch4=1673, ch5= 576, ts=1712137291256380,	delta=840,
seq_no=228,	ch0= 660, ch1=2372, ch2= 475, ch3= 394, ch4=1712, ch5= 379, ts=1712137291257225,	delta=845,
seq_no=229,	ch0= 962, ch1=2328, ch2= 224, ch3= 644, ch4=1685, ch5= 221, ts=1712137291258078,	delta=853,
seq_no=230,	ch0=1271, ch1=2160, ch2=  30, ch3= 917, ch4=1565, ch5=  92, ts=1712137291258908,	delta=830,
seq_no=231,	ch0=1571, ch1=1960, ch2=   4, ch3=1166, ch4=1433, ch5=   1, ts=1712137291259751,	delta=843,
seq_no=232,	ch0=1852, ch1=1671, ch2=   0, ch3=1377, ch4=1255, ch5=   0, ts=1712137291260607,	delta=856,
seq_no=233,	ch0=2074, ch1=1387, ch2=  53, ch3=1544, ch4=1003, ch5=   0, ts=1712137291261447,	delta=840,
seq_no=234,	ch0=2240, ch1= 970, ch2= 192, ch3=1710, ch4= 805, ch5=  68, ts=1712137291262271,	delta=824,
seq_no=235,	ch0=2289, ch1= 740, ch2= 449, ch3=1787, ch4= 527, ch5= 240, ts=1712137291263113,	delta=842,
seq_no=236,	ch0=2322, ch1= 438, ch2= 750, ch3=1859, ch4= 334, ch5= 453, ts=1712137291264014,	delta=901,
seq_no=237,	ch0=2240, ch1= 198, ch2=1083, ch3=1868, ch4= 177, ch5= 690, ts=1712137291265079,	delta=1065,
seq_no=238,	ch0=2078, ch1=  41, ch2=1440, ch3=1771, ch4=  57, ch5= 944, ts=1712137291265738,	delta=659,
seq_no=239,	ch0=1856, ch1=   0, ch2=1782, ch3=1615, ch4=   0, ch5=1173, ts=1712137291266515,	delta=777,
seq_no=240,	ch0=1589, ch1=   0, ch2=2092, ch3=1397, ch4=   0, ch5=1378, ts=1712137291267340,	delta=825,
seq_no=241,	ch0=1268, ch1=  40, ch2=2341, ch3=1133, ch4=   0, ch5=1534, ts=1712137291268180,	delta=840,
