seq_no=47,	ch0=1559, ch1= 462, ch2= 320, ch3= 202, ch4= 221, ch5=   0, ts=1714036333407923,	delta=848,
seq_no=48,	ch0=1484, ch1= 647, ch2= 149, ch3= 161, ch4= 245, ch5=   0, ts=1714036333408758,	delta=835,
seq_no=49,	ch0=1385, ch1= 871, ch2=  25, ch3= 113, ch4= 256, ch5=  11, ts=1714036333409662,	delta=904,
seq_no=50,	ch0=1216, ch1=1074, ch2=   0, ch3=  74, ch4= 267, ch5=  52, ts=1714036333410496,	delta=834,
seq_no=51,	ch0=1037, ch1=1242, ch2=  77, ch3=  25, ch4= 266, ch5=  82, ts=1714036333411330,	delta=834,
seq_no=52,	ch0= 906, ch1=1430, ch2=   0, ch3=  11, ch4= 266, ch5=  57, ts=1714036333412176,	delta=846,
seq_no=53,	ch0= 628, ch1=1433, ch2= 119, ch3=   0, ch4= 285, ch5= 161, ts=1714036333412994,	delta=818,
seq_no=54,	ch0= 450, ch1=1600, ch2= 301, ch3=   0, ch4= 193, ch5= 213, ts=1714036333413821,	delta=827,
seq_no=55,	ch0= 270, ch1=1603, ch2= 513, ch3=   0, ch4= 151, ch5= 250, ts=1714036333414771,	delta=950,
seq_no=56,	ch0= 121, ch1=1540, ch2= 740, ch3=   0, ch4= 109, ch5= 272, ts=1714036333415488,	delta=717,
seq_no=57,	ch0=   4, ch1=1423, ch2= 975, ch3=  21, ch4=  79, ch5= 276, ts=1714036333416348,	delta=860,
seq_no=58,	ch0=   0, ch1=1272, ch2=1195, ch3=  64, ch4=  33, ch5= 276, ts=1714036333417191,	delta=843,
seq_no=59,	ch0=  64, ch1=1069, ch2=1392, ch3= 102, ch4=   1, ch5= 274, ts=1714036333418039,	delta=848,
seq_no=60,	ch0=   0, ch1= 867, ch2=1563, ch3= 178, ch4=   0, ch5= 267, ts=1714036333418899,	delta=860,
seq_no=61,	ch0= 110, ch1= 651, ch2=1731, ch3= 196, ch4=   0, ch5= 244, ts=1714036333419638,	delta=739,
seq_no=62,	ch0= 269, ch1= 451, ch2=1726, ch3= 246, ch4=   0, ch5= 179, ts=1714036333420466,	delta=828,
seq_no=63,	ch0= 464, ch1= 209, ch2=1718, ch3= 293, ch4=  37, ch5= 160, ts=1714036333421301,	delta=835,
seq_no=64,	ch0= 538, ch1= 106, ch2=1646, ch3= 366, ch4=   0, ch5= 128, ts=1714036333422137,	delta=836,
seq_no=65,	ch0= 836, ch1=   8, ch2=1526, ch3= 266, ch4=   8, ch5=  93, ts=1714036333422992,	delta=855,
seq_no=66,	ch0=1064, ch1=   0, ch2=1376, ch3= 315, ch4=  43, ch5=  51, ts=1714036333423819,	delta=827,
seq_no=67,	ch0=1239, ch1=   0, ch2=1159, ch3= 306, ch4=  82, ch5=  20, ts=1714036333424656,	delta=837,
seq_no=68,	ch0=1390, ch1=  43, ch2= 932, ch3= 295, ch4= 124, ch5=   4, ts=1714036333425500,	delta=844,
seq_no=69,	ch0=1494, ch1= 149, ch2= 696, ch3= 275, ch4= 162, ch5=   0, ts=1714036333426343,	delta=843,
seq_no=70,	ch0=1548, ch1= 307, ch2= 477, ch3= 242, ch4= 199, ch5=   0, ts=1714036333427193,	delta=850,
seq_no=71,	ch0=1539, ch1= 507, ch2= 271, ch3= 197, ch4= 244, ch5=   0, ts=1714036333428026,	delta=833,
seq_no=72,	ch0=1482, ch1= 712, ch2= 106, ch3= 157, ch4= 256, ch5=   0, ts=1714036333428867,	delta=841,
seq_no=73,	ch0=1364, ch1= 930, ch2=   0, ch3= 103, ch4= 258, ch5=  10, ts=1714036333429708,	delta=841,
seq_no=74,	ch0=1178, ch1=1131, ch2=   0, ch3=  69, ch4= 269, ch5=  64, ts=1714036333430553,	delta=845,
seq_no=75,	ch0= 985, ch1=1363, ch2=   2, ch3=   0, ch4= 258, ch5= 101, ts=1714036333431406,	delta=853,
seq_no=76,	ch0= 807, ch1=1450, ch2=   0, ch3=   0, ch4= 231, ch5= 233, ts=1714036333432238,	delta=832,
seq_no=77,	ch0= 617, ch1=1613, ch2= 154, ch3=   0, ch4= 212, ch5= 148, ts=1714036333433080,	delta=842,
seq_no=78,	ch0= 409, ch1=1609, ch2= 346, ch3=   0, ch4= 180, ch5= 213, ts=1714036333433924,	delta=844,
seq_no=79,	ch0= 226, ch1=1605, ch2= 565, ch3=   0, ch4= 149, ch5= 249, ts=1714036333435061,	delta=1137,
seq_no=80,	ch0=  78, ch1=1514, ch2= 794, ch3=   4, ch4= 109, ch5= 270, ts=1714036333435659,	delta=598,
seq_no=81,	ch0=   0, ch1=1390, ch2=1023, ch3=  34, ch4=  69, ch5= 282, ts=1714036333436458,	delta=799,
seq_no=82,	ch0=   0, ch1=1231, ch2=1240, ch3=  73, ch4=  41, ch5= 286, ts=1714036333437293,	delta=835,
seq_no=83,	ch0=  79, ch1=1018, ch2=1430, ch3= 114, ch4=   0, ch5= 273, ts=1714036333438133,	delta=840,
seq_no=84,	ch0=   0, ch1= 821, ch2=1590, ch3= 179, ch4=   0, ch5= 258, ts=1714036333438988,	delta=855,
seq_no=85,	ch0= 144, ch1= 609, ch2=1773, ch3= 203, ch4=   0, ch5= 237, ts=1714036333439818,	delta=830,
seq_no=86,	ch0= 320, ch1= 405, ch2=1728, ch3= 245, ch4=   0, ch5= 163, ts=1714036333440660,	delta=842,
seq_no=87,	ch0= 518, ch1= 176, ch2=1726, ch3= 304, ch4=  22, ch5= 140, ts=1714036333441498,	delta=838,
seq_no=88,	ch0= 764, ch1=  75, ch2=1639, ch3= 329, ch4=   0, ch5= 109, ts=1714036333442789,	delta=1291,
seq_no=89,	ch0= 893, ch1=  22, ch2=1519, ch3= 279, ch4=  21, ch5= 100, ts=1714036333443237,	delta=448,
seq_no=90,	ch0=1105, ch1=   0, ch2=1330, ch3= 322, ch4=  64, ch5=  50, ts=1714036333444575,	delta=1338,
seq_no=91,	ch0=1275, ch1=   0, ch2=1113, ch3= 314, ch4=  97, ch5=  18, ts=1714036333444941,	delta=366,
seq_no=92,	ch0=1422, ch1=  45, ch2= 874, ch3= 301, ch4= 142, ch5=   0, ts=1714036333445771,	delta=830,
seq_no=93,	ch0=1516, ch1= 183, ch2= 639, ch3= 272, ch4= 182, ch5=   0, ts=1714036333446651,	delta=880,
seq_no=94,	ch0=1545, ch1= 352, ch2= 428, ch3= 224, ch4= 213, ch5=   0, ts=1714036333447414,	delta=763,
seq_no=95,	ch0=1527, ch1= 554, ch2= 228, ch3= 177, ch4= 229, ch5=   0, ts=1714036333448241,	delta=827,
seq_no=96,	ch0=1466, ch1= 770, ch2=  69, ch3= 151, ch4= 249, ch5=   2, ts=1714036333449082,	delta=841,
seq_no=97,	ch0=1328, ch1= 975, ch2=   0, ch3=  92, ch4= 249, ch5=  25, ts=1714036333449920,	delta=838,
seq_no=98,	ch0=1147, ch1=1187, ch2=   1, ch3=  55, ch4= 264, ch5=  57, ts=1714036333450772,	delta=852,
seq_no=99,	ch0= 952, ch1=1378, ch2=   0, ch3=   0, ch4= 249, ch5=  94, ts=1714036333451606,	delta=834,
seq_no=100,	ch0= 776, ch1=1472, ch2=   0, ch3=   0, ch4= 250, ch5= 212, ts=1714036333452446,	delta=840,
seq_no=101,	ch0= 576, ch1=1461, ch2= 178, ch3=   0, ch4= 297, ch5= 167, ts=1714036333453285,	delta=839,
seq_no=102,	ch0= 364, ch1=1607, ch2= 386, ch3=   0, ch4= 187, ch5= 236, ts=1714036333454125,	delta=840,
seq_no=103,	ch0= 200, ch1=1580, ch2= 621, ch3=   0, ch4= 138, ch5= 254, ts=1714036333454977,	delta=852,
seq_no=104,	ch0=  64, ch1=1496, ch2= 846, ch3=   2, ch4=  93, ch5= 274, ts=1714036333455813,	delta=836,
