seq_no=47,	ch0=1687, ch1=2496, ch2=  22, ch3= 298, ch4=2127, ch5=1068, ts=1714037646289040,	delta=839,
seq_no=48,	ch0=1244, ch1=2547, ch2= 252, ch3= 158, ch4=1899, ch5=1362, ts=1714037646289883,	delta=843,
seq_no=49,	ch0= 873, ch1=2548, ch2= 617, ch3=   0, ch4=1654, ch5=1593, ts=1714037646290973,	delta=1090,
seq_no=50,	ch0= 518, ch1=2550, ch2= 998, ch3=  39, ch4=1363, ch5=1763, ts=1714037646291645,	delta=672,
seq_no=51,	ch0= 265, ch1=2540, ch2=1492, ch3=  20, ch4=1008, ch5=1964, ts=1714037646292783,	delta=1138,
seq_no=52,	ch0=   0, ch1=2537, ch2=1923, ch3= 122, ch4= 769, ch5=2137, ts=1714037646293386,	delta=603,
seq_no=53,	ch0=   0, ch1=2448, ch2=2344, ch3= 418, ch4= 539, ch5=2190, ts=1714037646294117,	delta=731,
seq_no=54,	ch0=   0, ch1=2115, ch2=2640, ch3= 781, ch4= 335, ch5=2200, ts=1714037646294968,	delta=851,
seq_no=55,	ch0=   0, ch1=1697, ch2=2687, ch3=1139, ch4= 176, ch5=2124, ts=1714037646295789,	delta=821,
seq_no=56,	ch0= 211, ch1=1277, ch2=2720, ch3=1421, ch4=  50, ch5=1941, ts=1714037646296625,	delta=836,
seq_no=57,	ch0= 526, ch1= 872, ch2=2730, ch3=1650, ch4=   2, ch5=1688, ts=1714037646297467,	delta=842,
seq_no=58,	ch0= 893, ch1= 501, ch2=2727, ch3=1883, ch4=   0, ch5=1358, ts=1714037646298306,	delta=839,
seq_no=59,	ch0=1296, ch1= 171, ch2=2716, ch3=2059, ch4=  45, ch5=1060, ts=1714037646299162,	delta=856,
seq_no=60,	ch0=1712, ch1=   8, ch2=2689, ch3=2240, ch4= 233, ch5= 783, ts=1714037646299996,	delta=834,
seq_no=61,	ch0=2096, ch1=  10, ch2=2615, ch3=2293, ch4= 476, ch5= 545, ts=1714037646300836,	delta=840,
seq_no=62,	ch0=2368, ch1=   0, ch2=2299, ch3=2311, ch4= 764, ch5= 344, ts=1714037646301679,	delta=843,
seq_no=63,	ch0=2423, ch1=  78, ch2=1796, ch3=2278, ch4=1118, ch5= 184, ts=1714037646302520,	delta=841,
seq_no=64,	ch0=2478, ch1= 283, ch2=1288, ch3=2144, ch4=1390, ch5=  96, ts=1714037646303375,	delta=855,
seq_no=65,	ch0=2465, ch1= 592, ch2= 901, ch3=1863, ch4=1586, ch5=  16, ts=1714037646304213,	delta=838,
seq_no=66,	ch0=2466, ch1= 992, ch2= 477, ch3=1507, ch4=1785, ch5=  18, ts=1714037646305052,	delta=839,
seq_no=67,	ch0=2447, ch1=1413, ch2= 154, ch3=1161, ch4=1939, ch5=  57, ts=1714037646305894,	delta=842,
