seq_no=47,	ch0=  25, ch1= 785, ch2= 357, ch3=   0, ch4= 138, ch5= 358, ts=1714036173208518,	delta=893,
seq_no=48,	ch0=   0, ch1= 696, ch2= 471, ch3=  21, ch4= 100, ch5= 355, ts=1714036173209310,	delta=792,
seq_no=49,	ch0=   0, ch1= 625, ch2= 588, ch3=  64, ch4=  57, ch5= 365, ts=1714036173210139,	delta=829,
seq_no=50,	ch0=   0, ch1= 542, ch2= 681, ch3= 112, ch4=  21, ch5= 360, ts=1714036173210994,	delta=855,
seq_no=51,	ch0=   0, ch1= 429, ch2= 759, ch3= 167, ch4=   0, ch5= 345, ts=1714036173211822,	delta=828,
seq_no=52,	ch0=  40, ch1= 312, ch2= 824, ch3= 224, ch4=   0, ch5= 306, ts=1714036173212661,	delta=839,
seq_no=53,	ch0= 116, ch1= 203, ch2= 852, ch3= 274, ch4=   0, ch5= 270, ts=1714036173213502,	delta=841,
seq_no=54,	ch0= 215, ch1= 119, ch2= 841, ch3= 313, ch4=   0, ch5= 218, ts=1714036173214417,	delta=915,
seq_no=55,	ch0= 310, ch1=  45, ch2= 814, ch3= 320, ch4=   0, ch5= 177, ts=1714036173215218,	delta=801,
seq_no=56,	ch0= 421, ch1=   0, ch2= 757, ch3= 362, ch4=  18, ch5= 118, ts=1714036173216040,	delta=822,
seq_no=57,	ch0= 466, ch1=   0, ch2= 669, ch3= 320, ch4=  55, ch5=  68, ts=1714036173216875,	delta=835,
seq_no=58,	ch0= 595, ch1=   0, ch2= 672, ch3= 357, ch4= 138, ch5=  53, ts=1714036173217717,	delta=842,
seq_no=59,	ch0= 736, ch1=  20, ch2= 435, ch3= 345, ch4= 164, ch5=  55, ts=1714036173218554,	delta=837,
seq_no=60,	ch0= 729, ch1=  57, ch2= 352, ch3= 330, ch4= 195, ch5=   0, ts=1714036173219407,	delta=853,
