seq_no=47,	ch0=   0, ch1=2488, ch2=2137, ch3=  36, ch4=  71, ch5=   4, ts=1713173572374690,	delta=910,
seq_no=48,	ch0=  57, ch1=2535, ch2=1680, ch3=  66, ch4=  71, ch5=   9, ts=1713173572375471,	delta=781,
seq_no=49,	ch0= 330, ch1=2560, ch2=1275, ch3=  86, ch4=  74, ch5=  14, ts=1713173572376312,	delta=841,
seq_no=50,	ch0= 653, ch1=2559, ch2= 832, ch3=  92, ch4=  69, ch5=  20, ts=1713173572377148,	delta=836,
seq_no=51,	ch0=1067, ch1=2579, ch2= 352, ch3=  96, ch4=  76, ch5=  73, ts=1713173572377990,	delta=842,
seq_no=52,	ch0=1430, ch1=2558, ch2=  69, ch3= 106, ch4=  29, ch5=   0, ts=1713173572378842,	delta=852,
seq_no=53,	ch0=1862, ch1=2500, ch2=   2, ch3= 117, ch4=  25, ch5=   0, ts=1713173572379732,	delta=890,
seq_no=54,	ch0=2240, ch1=2376, ch2=  10, ch3= 101, ch4=  13, ch5=  20, ts=1713173572380522,	delta=790,
seq_no=55,	ch0=2396, ch1=1985, ch2=   5, ch3= 108, ch4=  13, ch5=  29, ts=1713173572381362,	delta=840,
seq_no=56,	ch0=2444, ch1=1554, ch2= 101, ch3=  99, ch4=   0, ch5=  41, ts=1713173572382201,	delta=839,
seq_no=57,	ch0=2463, ch1=1121, ch2= 393, ch3=  96, ch4=   8, ch5=  55, ts=1713173572383052,	delta=851,
seq_no=58,	ch0=2465, ch1= 713, ch2= 772, ch3=  92, ch4=   5, ch5=  66, ts=1713173572383882,	delta=830,
seq_no=59,	ch0=2429, ch1= 373, ch2=1176, ch3=  86, ch4=   5, ch5=  74, ts=1713173572384726,	delta=844,
seq_no=60,	ch0=2442, ch1=  91, ch2=1654, ch3=  74, ch4=  13, ch5=  88, ts=1713173572385569,	delta=843,
seq_no=61,	ch0=2400, ch1=  30, ch2=2112, ch3=  48, ch4=  13, ch5=  72, ts=1713173572386408,	delta=839,
seq_no=62,	ch0=2186, ch1=   9, ch2=2528, ch3=   3, ch4=  10, ch5=  68, ts=1713173572387260,	delta=852,
seq_no=63,	ch0=1799, ch1=  55, ch2=2676, ch3=  34, ch4=  29, ch5=  93, ts=1713173572388091,	delta=831,
seq_no=64,	ch0=1405, ch1=  85, ch2=2808, ch3=  50, ch4=  53, ch5=  67, ts=1713173572388934,	delta=843,
seq_no=65,	ch0=1002, ch1= 382, ch2=2728, ch3=  64, ch4=  64, ch5=  64, ts=1713173572389777,	delta=843,
seq_no=66,	ch0= 625, ch1= 740, ch2=2719, ch3=  64, ch4=  73, ch5=  56, ts=1713173572390667,	delta=890,
seq_no=67,	ch0= 278, ch1=1148, ch2=2726, ch3=  59, ch4=  81, ch5=  53, ts=1713173572391470,	delta=803,
seq_no=68,	ch0=  20, ch1=1564, ch2=2703, ch3=  64, ch4=  66, ch5=  36, ts=1713173572392305,	delta=835,
seq_no=69,	ch0=   0, ch1=1996, ch2=2662, ch3=  65, ch4=  70, ch5=  21, ts=1713173572393145,	delta=840,
seq_no=70,	ch0=   0, ch1=2375, ch2=2460, ch3=  66, ch4=  64, ch5=  11, ts=1713173572393988,	delta=843,
seq_no=71,	ch0=   0, ch1=2470, ch2=2025, ch3=  71, ch4= 129, ch5=   0, ts=1713173572394838,	delta=850,
seq_no=72,	ch0= 113, ch1=2528, ch2=1553, ch3=  88, ch4= 122, ch5=   4, ts=1713173572395670,	delta=832,
seq_no=73,	ch0= 392, ch1=2553, ch2=1095, ch3=  96, ch4=  20, ch5=   5, ts=1713173572396512,	delta=842,
seq_no=74,	ch0= 836, ch1=2552, ch2= 707, ch3= 108, ch4=  36, ch5=   4, ts=1713173572397354,	delta=842,
seq_no=75,	ch0=1061, ch1=2548, ch2= 320, ch3= 150, ch4=  37, ch5=  64, ts=1713173572398198,	delta=844,
seq_no=76,	ch0=1509, ch1=2529, ch2=  22, ch3=   4, ch4=  29, ch5=   0, ts=1713173572399046,	delta=848,
seq_no=77,	ch0=1949, ch1=2480, ch2=   8, ch3=  93, ch4=  16, ch5=  12, ts=1713173572399882,	delta=836,
seq_no=78,	ch0=2320, ch1=2268, ch2=   4, ch3=  91, ch4=   9, ch5=  21, ts=1713173572400720,	delta=838,
seq_no=79,	ch0=2412, ch1=1868, ch2=   5, ch3=  97, ch4=   9, ch5=  41, ts=1713173572402120,	delta=1400,
seq_no=80,	ch0=2450, ch1=1438, ch2= 161, ch3= 100, ch4=   9, ch5=  44, ts=1713173572402468,	delta=348,
seq_no=81,	ch0=2465, ch1=1023, ch2= 488, ch3= 100, ch4=  13, ch5=  56, ts=1713173572403284,	delta=816,
seq_no=82,	ch0=2467, ch1= 621, ch2= 877, ch3=  86, ch4=  13, ch5=  72, ts=1713173572404102,	delta=818,
seq_no=83,	ch0=2448, ch1= 287, ch2=1308, ch3=  92, ch4=  13, ch5=  45, ts=1713173572404937,	delta=835,
seq_no=84,	ch0=2431, ch1=  36, ch2=1760, ch3=  78, ch4=   9, ch5=  57, ts=1713173572405779,	delta=842,
seq_no=85,	ch0=2383, ch1=   0, ch2=2227, ch3=  65, ch4=  21, ch5=  69, ts=1713173572406768,	delta=989,
