seq_no=47,	ch0=2008, ch1=   0, ch2=1585, ch3=1010, ch4= 404, ch5=  66, ts=1714036687960436,	delta=833,
seq_no=48,	ch0=2182, ch1= 149, ch2=1241, ch3= 938, ch4= 526, ch5=  15, ts=1714036687961276,	delta=840,
seq_no=49,	ch0=2301, ch1= 352, ch2= 882, ch3= 862, ch4= 645, ch5=   0, ts=1714036687962119,	delta=843,
seq_no=50,	ch0=2352, ch1= 682, ch2= 557, ch3= 728, ch4= 780, ch5=   0, ts=1714036687962986,	delta=867,
seq_no=51,	ch0=2354, ch1= 911, ch2= 323, ch3= 582, ch4= 794, ch5=   0, ts=1714036687963818,	delta=832,
seq_no=52,	ch0=2105, ch1=1235, ch2=  51, ch3= 378, ch4= 896, ch5=  32, ts=1714036687964655,	delta=837,
seq_no=53,	ch0=1936, ch1=1560, ch2=   0, ch3= 301, ch4= 929, ch5= 179, ts=1714036687965496,	delta=841,
seq_no=54,	ch0=1685, ch1=1847, ch2=   2, ch3= 195, ch4= 924, ch5= 278, ts=1714036687966337,	delta=841,
seq_no=55,	ch0=1392, ch1=2108, ch2=   2, ch3= 100, ch4= 908, ch5= 402, ts=1714036687967189,	delta=852,
seq_no=56,	ch0=1078, ch1=2287, ch2= 159, ch3=  30, ch4= 850, ch5= 547, ts=1714036687968022,	delta=833,
seq_no=57,	ch0= 774, ch1=2403, ch2= 394, ch3=   0, ch4= 739, ch5= 662, ts=1714036687968860,	delta=838,
seq_no=58,	ch0= 482, ch1=2436, ch2= 697, ch3=   0, ch4= 613, ch5= 755, ts=1714036687969703,	delta=843,
seq_no=59,	ch0= 234, ch1=2335, ch2=1032, ch3=   0, ch4= 444, ch5= 839, ts=1714036687970547,	delta=844,
seq_no=60,	ch0=  13, ch1=2207, ch2=1391, ch3=  74, ch4= 344, ch5= 904, ts=1714036687971394,	delta=847,
seq_no=61,	ch0=   0, ch1=1981, ch2=1783, ch3= 142, ch4= 241, ch5= 933, ts=1714036687972250,	delta=856,
seq_no=62,	ch0=   0, ch1=1728, ch2=1987, ch3= 282, ch4= 129, ch5= 859, ts=1714036687973078,	delta=828,
seq_no=63,	ch0=  10, ch1=1350, ch2=2289, ch3= 434, ch4=  74, ch5= 887, ts=1714036687973923,	delta=845,
seq_no=64,	ch0=  64, ch1=1071, ch2=2488, ch3= 642, ch4=   0, ch5= 865, ts=1714036687974771,	delta=848,
seq_no=65,	ch0= 363, ch1= 783, ch2=2591, ch3= 704, ch4=   0, ch5= 736, ts=1714036687975604,	delta=833,
seq_no=66,	ch0= 617, ch1= 475, ch2=2571, ch3= 819, ch4=   0, ch5= 614, ts=1714036687976446,	delta=842,
seq_no=67,	ch0= 925, ch1= 226, ch2=2535, ch3= 911, ch4=   0, ch5= 473, ts=1714036687977286,	delta=840,
seq_no=68,	ch0=1248, ch1=  52, ch2=2380, ch3= 968, ch4=  68, ch5= 349, ts=1714036687978130,	delta=844,
seq_no=69,	ch0=1543, ch1=   0, ch2=2134, ch3=1013, ch4= 164, ch5= 229, ts=1714036687978980,	delta=850,
seq_no=70,	ch0=1827, ch1=   4, ch2=1824, ch3=1021, ch4= 308, ch5= 132, ts=1714036687979815,	delta=835,
seq_no=71,	ch0=2053, ch1=  16, ch2=1489, ch3= 999, ch4= 441, ch5=  58, ts=1714036687980656,	delta=841,
seq_no=72,	ch0=2195, ch1= 192, ch2=1142, ch3= 927, ch4= 576, ch5=   6, ts=1714036687981498,	delta=842,
seq_no=73,	ch0=2319, ch1= 423, ch2= 814, ch3= 824, ch4= 673, ch5=   0, ts=1714036687982343,	delta=845,
seq_no=74,	ch0=2329, ch1= 697, ch2= 441, ch3= 686, ch4= 801, ch5=  43, ts=1714036687983192,	delta=849,
seq_no=75,	ch0=2229, ch1= 905, ch2= 232, ch3= 524, ch4= 920, ch5=   0, ts=1714036687984026,	delta=834,
seq_no=76,	ch0=2155, ch1=1306, ch2=  57, ch3= 434, ch4= 891, ch5=  72, ts=1714036687984869,	delta=843,
seq_no=77,	ch0=1871, ch1=1632, ch2=   0, ch3= 269, ch4= 924, ch5= 177, ts=1714036687985712,	delta=843,
seq_no=78,	ch0=1615, ch1=1920, ch2=  14, ch3= 172, ch4= 918, ch5= 299, ts=1714036687986554,	delta=842,
seq_no=79,	ch0=1309, ch1=2160, ch2=  33, ch3=  79, ch4= 886, ch5= 448, ts=1714036687987701,	delta=1147,
seq_no=80,	ch0= 995, ch1=2329, ch2= 210, ch3=  12, ch4= 821, ch5= 581, ts=1714036687988290,	delta=589,
seq_no=81,	ch0= 696, ch1=2413, ch2= 463, ch3=   0, ch4= 724, ch5= 683, ts=1714036687989100,	delta=810,
seq_no=82,	ch0= 421, ch1=2405, ch2= 732, ch3=   0, ch4= 579, ch5= 868, ts=1714036687989930,	delta=830,
seq_no=83,	ch0= 180, ch1=2383, ch2=1114, ch3=   1, ch4= 448, ch5= 840, ts=1714036687990787,	delta=857,
seq_no=84,	ch0= 104, ch1=2142, ch2=1472, ch3=  70, ch4= 300, ch5= 917, ts=1714036687991614,	delta=827,
seq_no=85,	ch0=   0, ch1=1911, ch2=1795, ch3= 147, ch4= 206, ch5= 934, ts=1714036687992456,	delta=842,
seq_no=86,	ch0=   0, ch1=1666, ch2=2160, ch3= 311, ch4= 125, ch5= 929, ts=1714036687993293,	delta=837,
seq_no=87,	ch0=   6, ch1=1417, ch2=2348, ch3= 477, ch4=  26, ch5= 847, ts=1714036687994134,	delta=841,
seq_no=88,	ch0= 195, ch1= 967, ch2=2528, ch3= 598, ch4=   0, ch5= 804, ts=1714036687994986,	delta=852,
seq_no=89,	ch0= 420, ch1= 699, ch2=2601, ch3= 737, ch4=   0, ch5= 709, ts=1714036687995820,	delta=834,
seq_no=90,	ch0= 698, ch1= 398, ch2=2600, ch3= 846, ch4=   0, ch5= 590, ts=1714036687996663,	delta=843,
seq_no=91,	ch0=1010, ch1= 170, ch2=2510, ch3= 922, ch4=  23, ch5= 448, ts=1714036687997506,	delta=843,
seq_no=92,	ch0=1315, ch1=  16, ch2=2316, ch3= 981, ch4=  99, ch5= 320, ts=1714036687998349,	delta=843,
seq_no=93,	ch0=1615, ch1=   5, ch2=2059, ch3=1020, ch4= 195, ch5= 202, ts=1714036687999197,	delta=848,
seq_no=94,	ch0=1873, ch1=   8, ch2=1753, ch3=1021, ch4= 340, ch5= 117, ts=1714036688000035,	delta=838,
seq_no=95,	ch0=2115, ch1=  55, ch2=1393, ch3= 984, ch4= 476, ch5=  20, ts=1714036688000874,	delta=839,
seq_no=96,	ch0=2249, ch1= 250, ch2=1072, ch3= 902, ch4= 600, ch5=   0, ts=1714036688001718,	delta=844,
seq_no=97,	ch0=2295, ch1= 494, ch2= 728, ch3= 797, ch4= 693, ch5=   0, ts=1714036688002617,	delta=899,
seq_no=98,	ch0=2294, ch1= 779, ch2= 535, ch3= 640, ch4= 797, ch5=   0, ts=1714036688003411,	delta=794,
seq_no=99,	ch0=2240, ch1=1097, ch2= 148, ch3= 504, ch4= 885, ch5=  65, ts=1714036688004247,	delta=836,
seq_no=100,	ch0=2038, ch1=1336, ch2=   0, ch3= 370, ch4= 992, ch5=  82, ts=1714036688005089,	delta=842,
seq_no=101,	ch0=1808, ch1=1717, ch2=   0, ch3= 242, ch4= 927, ch5= 209, ts=1714036688005933,	delta=844,
seq_no=102,	ch0=1535, ch1=1987, ch2=   4, ch3= 149, ch4= 909, ch5= 336, ts=1714036688006785,	delta=852,
seq_no=103,	ch0=1228, ch1=2216, ch2=  74, ch3=  56, ch4= 871, ch5= 469, ts=1714036688007616,	delta=831,
seq_no=104,	ch0= 915, ch1=2353, ch2= 276, ch3=   0, ch4= 791, ch5= 608, ts=1714036688008459,	delta=843,
seq_no=105,	ch0= 617, ch1=2422, ch2= 537, ch3=   0, ch4= 686, ch5= 716, ts=1714036688009299,	delta=840,
seq_no=106,	ch0= 339, ch1=2400, ch2= 869, ch3=   0, ch4= 539, ch5= 814, ts=1714036688010142,	delta=843,
seq_no=107,	ch0= 134, ch1=2277, ch2=1161, ch3=   8, ch4= 390, ch5= 960, ts=1714036688010993,	delta=851,
seq_no=108,	ch0=   0, ch1=2138, ch2=1557, ch3=  98, ch4= 281, ch5= 905, ts=1714036688011827,	delta=834,
seq_no=109,	ch0=  53, ch1=1827, ch2=1873, ch3= 210, ch4= 174, ch5= 924, ts=1714036688012667,	delta=840,
seq_no=110,	ch0=   0, ch1=1547, ch2=2144, ch3= 309, ch4=  84, ch5= 926, ts=1714036688013744,	delta=1077,
seq_no=111,	ch0=  44, ch1=1231, ch2=2296, ch3= 502, ch4=   0, ch5= 970, ts=1714036688014392,	delta=648,
seq_no=112,	ch0= 261, ch1= 983, ch2=2540, ch3= 676, ch4=   0, ch5= 752, ts=1714036688015227,	delta=835,
seq_no=113,	ch0= 483, ch1= 616, ch2=2600, ch3= 764, ch4=   0, ch5= 680, ts=1714036688016042,	delta=815,
seq_no=114,	ch0= 774, ch1= 338, ch2=2591, ch3= 867, ch4=   0, ch5= 543, ts=1714036688016885,	delta=843,
seq_no=115,	ch0=1088, ch1= 132, ch2=2456, ch3= 943, ch4=  39, ch5= 406, ts=1714036688017726,	delta=841,
seq_no=116,	ch0=1397, ch1=   0, ch2=2247, ch3= 989, ch4= 113, ch5= 293, ts=1714036688018705,	delta=979,
seq_no=117,	ch0=1688, ch1=   3, ch2=1984, ch3=1022, ch4= 237, ch5= 174, ts=1714036688019428,	delta=723,
seq_no=118,	ch0=1932, ch1=   0, ch2=1662, ch3= 994, ch4= 378, ch5=  90, ts=1714036688020305,	delta=877,
seq_no=119,	ch0=2145, ch1= 113, ch2=1307, ch3= 961, ch4= 522, ch5=  22, ts=1714036688021323,	delta=1018,
seq_no=120,	ch0=2273, ch1= 308, ch2= 963, ch3= 874, ch4= 624, ch5=   0, ts=1714036688021974,	delta=651,
seq_no=121,	ch0=2334, ch1= 551, ch2= 637, ch3= 756, ch4= 661, ch5=   0, ts=1714036688022807,	delta=833,
seq_no=122,	ch0=2200, ch1= 850, ch2= 373, ch3= 657, ch4= 810, ch5=  29, ts=1714036688023634,	delta=827,
seq_no=123,	ch0=2168, ch1=1150, ch2= 224, ch3= 463, ch4= 896, ch5=  33, ts=1714036688024470,	delta=836,
seq_no=124,	ch0=2008, ch1=1501, ch2=   0, ch3= 325, ch4= 923, ch5=  81, ts=1714036688025312,	delta=842,
seq_no=125,	ch0=1738, ch1=1790, ch2=   0, ch3= 213, ch4= 926, ch5= 254, ts=1714036688026148,	delta=836,
seq_no=126,	ch0=1467, ch1=2055, ch2=   4, ch3= 118, ch4= 916, ch5= 370, ts=1714036688027001,	delta=853,
seq_no=127,	ch0=1143, ch1=2253, ch2= 119, ch3=  42, ch4= 864, ch5= 520, ts=1714036688027832,	delta=831,
seq_no=128,	ch0= 834, ch1=2376, ch2= 346, ch3=   0, ch4= 764, ch5= 641, ts=1714036688028673,	delta=841,
seq_no=129,	ch0= 540, ch1=2412, ch2= 628, ch3=   0, ch4= 648, ch5= 746, ts=1714036688029517,	delta=844,
seq_no=130,	ch0= 332, ch1=2368, ch2= 963, ch3=  19, ch4= 491, ch5= 832, ts=1714036688030360,	delta=843,
seq_no=131,	ch0=  79, ch1=2253, ch2=1309, ch3=  16, ch4= 361, ch5= 887, ts=1714036688031211,	delta=851,
seq_no=132,	ch0=   0, ch1=2032, ch2=1619, ch3= 122, ch4= 250, ch5= 978, ts=1714036688032046,	delta=835,
seq_no=133,	ch0=   0, ch1=1658, ch2=1971, ch3= 245, ch4= 232, ch5= 918, ts=1714036688032885,	delta=839,
