seq_no=47,	ch0=1392, ch1=  33, ch2= 913, ch3=1108, ch4= 519, ch5=  48, ts=1714038002745481,	delta=841,
seq_no=48,	ch0=1508, ch1= 160, ch2= 671, ch3=1008, ch4= 645, ch5=   0, ts=1714038002746324,	delta=843,
seq_no=49,	ch0=1544, ch1= 320, ch2= 462, ch3= 894, ch4= 751, ch5=   0, ts=1714038002747180,	delta=856,
seq_no=50,	ch0=1513, ch1= 516, ch2= 276, ch3= 743, ch4= 875, ch5=   2, ts=1714038002748011,	delta=831,
seq_no=51,	ch0=1461, ch1= 724, ch2= 163, ch3= 557, ch4= 973, ch5=  34, ts=1714038002748852,	delta=841,
seq_no=52,	ch0=1348, ch1=1051, ch2=   0, ch3= 414, ch4=1010, ch5=  82, ts=1714038002749689,	delta=837,
seq_no=53,	ch0=1189, ch1=1113, ch2=   0, ch3= 262, ch4= 965, ch5= 230, ts=1714038002750535,	delta=846,
seq_no=54,	ch0= 967, ch1=1326, ch2=   4, ch3= 192, ch4=1001, ch5= 393, ts=1714038002751385,	delta=850,
seq_no=55,	ch0= 799, ch1=1456, ch2=  36, ch3=  81, ch4= 960, ch5= 543, ts=1714038002752226,	delta=841,
seq_no=56,	ch0= 590, ch1=1560, ch2= 182, ch3=   0, ch4= 872, ch5= 693, ts=1714038002753062,	delta=836,
seq_no=57,	ch0= 400, ch1=1610, ch2= 364, ch3=   0, ch4= 744, ch5= 819, ts=1714038002753901,	delta=839,
seq_no=58,	ch0= 220, ch1=1585, ch2= 586, ch3=   0, ch4= 597, ch5= 910, ts=1714038002754756,	delta=855,
seq_no=59,	ch0=  71, ch1=1511, ch2= 811, ch3=  10, ch4= 448, ch5= 993, ts=1714038002755589,	delta=833,
seq_no=60,	ch0=   0, ch1=1487, ch2=1023, ch3= 107, ch4= 312, ch5=1008, ts=1714038002756430,	delta=841,
seq_no=61,	ch0=   0, ch1=1200, ch2=1242, ch3= 238, ch4= 226, ch5=1058, ts=1714038002757270,	delta=840,
seq_no=62,	ch0=   0, ch1=1004, ch2=1441, ch3= 437, ch4=  89, ch5=1053, ts=1714038002758111,	delta=841,
seq_no=63,	ch0=  28, ch1= 849, ch2=1614, ch3= 549, ch4=   9, ch5= 982, ts=1714038002758964,	delta=853,
seq_no=64,	ch0= 180, ch1= 610, ch2=1654, ch3= 718, ch4=   6, ch5= 933, ts=1714038002759801,	delta=837,
seq_no=65,	ch0= 306, ch1= 308, ch2=1740, ch3= 860, ch4=  49, ch5= 744, ts=1714038002760643,	delta=842,
seq_no=66,	ch0= 496, ch1= 218, ch2=1705, ch3= 984, ch4=   0, ch5= 616, ts=1714038002761483,	delta=840,
seq_no=67,	ch0= 724, ch1=  70, ch2=1625, ch3=1060, ch4=  29, ch5= 461, ts=1714038002762327,	delta=844,
seq_no=68,	ch0= 930, ch1=   0, ch2=1491, ch3=1120, ch4= 125, ch5= 320, ts=1714038002763177,	delta=850,
seq_no=69,	ch0=1116, ch1=   0, ch2=1312, ch3=1152, ch4= 262, ch5= 199, ts=1714038002764010,	delta=833,
seq_no=70,	ch0=1280, ch1=   0, ch2=1095, ch3=1143, ch4= 405, ch5= 108, ts=1714038002764853,	delta=843,
seq_no=71,	ch0=1403, ch1=  54, ch2= 851, ch3=1089, ch4= 545, ch5=  32, ts=1714038002765696,	delta=843,
seq_no=72,	ch0=1508, ch1= 192, ch2= 610, ch3= 985, ch4= 685, ch5=   0, ts=1714038002766535,	delta=839,
seq_no=73,	ch0=1550, ch1= 321, ch2= 410, ch3= 847, ch4= 794, ch5=   0, ts=1714038002767385,	delta=850,
seq_no=74,	ch0=1525, ch1= 576, ch2= 225, ch3= 693, ch4= 889, ch5=   0, ts=1714038002768228,	delta=843,
seq_no=75,	ch0=1423, ch1= 806, ch2=  73, ch3= 494, ch4= 970, ch5=  74, ts=1714038002769067,	delta=839,
seq_no=76,	ch0=1313, ch1= 988, ch2=   0, ch3= 366, ch4=1031, ch5= 204, ts=1714038002769909,	delta=842,
seq_no=77,	ch0=1134, ch1=1064, ch2=   0, ch3= 229, ch4=1094, ch5= 261, ts=1714038002770758,	delta=849,
seq_no=78,	ch0= 956, ch1=1356, ch2=   0, ch3= 144, ch4= 996, ch5= 429, ts=1714038002771585,	delta=827,
seq_no=79,	ch0= 747, ch1=1490, ch2=  78, ch3=  53, ch4= 945, ch5= 590, ts=1714038002772430,	delta=845,
seq_no=80,	ch0= 540, ch1=1569, ch2= 228, ch3=   0, ch4= 844, ch5= 720, ts=1714038002773370,	delta=940,
seq_no=81,	ch0= 352, ch1=1612, ch2= 412, ch3=   0, ch4= 711, ch5= 851, ts=1714038002774135,	delta=765,
seq_no=82,	ch0= 180, ch1=1580, ch2= 642, ch3=   0, ch4= 560, ch5= 946, ts=1714038002774984,	delta=849,
seq_no=83,	ch0=  37, ch1=1496, ch2= 878, ch3=   2, ch4= 406, ch5=1008, ts=1714038002775817,	delta=833,
seq_no=84,	ch0=   0, ch1=1344, ch2=1081, ch3= 138, ch4= 284, ch5=1147, ts=1714038002776655,	delta=838,
seq_no=85,	ch0=   0, ch1=1240, ch2=1306, ch3= 292, ch4= 180, ch5=1037, ts=1714038002777495,	delta=840,
seq_no=86,	ch0=   0, ch1= 949, ch2=1487, ch3= 448, ch4=  50, ch5=1027, ts=1714038002778332,	delta=837,
seq_no=87,	ch0=   2, ch1= 757, ch2=1637, ch3= 597, ch4=   0, ch5= 956, ts=1714038002779184,	delta=852,
seq_no=88,	ch0= 194, ch1= 562, ch2=1784, ch3= 765, ch4=  13, ch5= 857, ts=1714038002780011,	delta=827,
seq_no=89,	ch0= 358, ch1= 459, ch2=1728, ch3= 905, ch4=   0, ch5= 660, ts=1714038002780853,	delta=842,
seq_no=90,	ch0= 560, ch1= 171, ch2=1706, ch3= 994, ch4=   0, ch5= 576, ts=1714038002781698,	delta=845,
seq_no=91,	ch0= 777, ch1=  49, ch2=1600, ch3=1081, ch4=  57, ch5= 421, ts=1714038002782538,	delta=840,
