seq_no=47,	ch0=1452, ch1= 745, ch2=  92, ch3= 377, ch4= 659, ch5=  22, ts=1714036229004618,	delta=878,
seq_no=48,	ch0=1344, ch1= 966, ch2=   0, ch3= 268, ch4= 696, ch5=  96, ts=1714036229005456,	delta=838,
seq_no=49,	ch0=1175, ch1=1160, ch2=   0, ch3= 165, ch4= 700, ch5= 184, ts=1714036229006328,	delta=872,
seq_no=50,	ch0= 986, ch1=1331, ch2=   1, ch3=  85, ch4= 679, ch5= 300, ts=1714036229007166,	delta=838,
seq_no=51,	ch0= 780, ch1=1467, ch2=  43, ch3=  34, ch4= 632, ch5= 404, ts=1714036229008040,	delta=874,
seq_no=52,	ch0= 558, ch1=1583, ch2= 202, ch3=   0, ch4= 576, ch5= 515, ts=1714036229008864,	delta=824,
seq_no=53,	ch0= 381, ch1=1603, ch2= 393, ch3=   0, ch4= 500, ch5= 620, ts=1714036229009706,	delta=842,
seq_no=54,	ch0= 213, ch1=1573, ch2= 589, ch3=   0, ch4= 397, ch5= 666, ts=1714036229010533,	delta=827,
seq_no=55,	ch0=  42, ch1=1405, ch2= 821, ch3=  30, ch4= 346, ch5= 711, ts=1714036229011358,	delta=825,
seq_no=56,	ch0=   0, ch1=1346, ch2=1048, ch3= 151, ch4= 177, ch5= 774, ts=1714036229012195,	delta=837,
seq_no=57,	ch0=   0, ch1=1233, ch2=1288, ch3= 154, ch4= 105, ch5= 796, ts=1714036229013029,	delta=834,
seq_no=58,	ch0=   0, ch1=1000, ch2=1462, ch3= 287, ch4=  38, ch5= 746, ts=1714036229013872,	delta=843,
seq_no=59,	ch0=  37, ch1= 784, ch2=1618, ch3= 409, ch4=   0, ch5= 707, ts=1714036229014833,	delta=961,
seq_no=60,	ch0= 159, ch1= 568, ch2=1707, ch3= 518, ch4=   0, ch5= 637, ts=1714036229015544,	delta=711,
seq_no=61,	ch0= 343, ch1= 365, ch2=1731, ch3= 611, ch4=   0, ch5= 540, ts=1714036229016422,	delta=878,
seq_no=62,	ch0= 535, ch1= 196, ch2=1699, ch3= 688, ch4=   0, ch5= 439, ts=1714036229017194,	delta=772,
seq_no=63,	ch0= 746, ch1=  79, ch2=1619, ch3= 738, ch4=  23, ch5= 320, ts=1714036229018011,	delta=817,
seq_no=64,	ch0= 947, ch1=   0, ch2=1472, ch3= 780, ch4=  64, ch5= 209, ts=1714036229018861,	delta=850,
seq_no=65,	ch0=1103, ch1=   0, ch2=1285, ch3= 823, ch4= 186, ch5= 122, ts=1714036229019677,	delta=816,
seq_no=66,	ch0=1290, ch1=   0, ch2=1130, ch3= 789, ch4= 293, ch5=  57, ts=1714036229020515,	delta=838,
seq_no=67,	ch0=1487, ch1=  74, ch2= 794, ch3= 747, ch4= 389, ch5=   0, ts=1714036229021352,	delta=837,
seq_no=68,	ch0=1528, ch1= 144, ch2= 593, ch3= 683, ch4= 529, ch5=   0, ts=1714036229022199,	delta=847,
seq_no=69,	ch0=1437, ch1= 373, ch2= 374, ch3= 627, ch4= 541, ch5=  26, ts=1714036229023402,	delta=1203,
seq_no=70,	ch0=1513, ch1= 597, ch2= 200, ch3= 460, ch4= 625, ch5=   0, ts=1714036229023928,	delta=526,
seq_no=71,	ch0=1429, ch1= 795, ch2=  58, ch3= 349, ch4= 674, ch5=  47, ts=1714036229024734,	delta=806,
seq_no=72,	ch0=1303, ch1=1005, ch2=   0, ch3= 244, ch4= 692, ch5= 110, ts=1714036229025568,	delta=834,
seq_no=73,	ch0=1132, ch1=1209, ch2=   0, ch3= 139, ch4= 706, ch5= 216, ts=1714036229026410,	delta=842,
seq_no=74,	ch0= 932, ch1=1376, ch2=   0, ch3=  67, ch4= 677, ch5= 326, ts=1714036229027269,	delta=859,
seq_no=75,	ch0= 733, ch1=1509, ch2=  86, ch3=  21, ch4= 625, ch5= 434, ts=1714036229028096,	delta=827,
seq_no=76,	ch0= 526, ch1=1590, ch2= 239, ch3=   0, ch4= 563, ch5= 525, ts=1714036229028936,	delta=840,
seq_no=77,	ch0= 324, ch1=1600, ch2= 457, ch3=   0, ch4= 465, ch5= 629, ts=1714036229029774,	delta=838,
seq_no=78,	ch0= 146, ch1=1560, ch2= 682, ch3=   0, ch4= 370, ch5= 704, ts=1714036229030685,	delta=911,
seq_no=79,	ch0=  39, ch1=1500, ch2= 938, ch3=  22, ch4= 277, ch5= 747, ts=1714036229031760,	delta=1075,
seq_no=80,	ch0=   0, ch1=1438, ch2=1108, ch3= 125, ch4= 181, ch5= 741, ts=1714036229032360,	delta=600,
seq_no=81,	ch0=   2, ch1=1100, ch2=1321, ch3= 215, ch4= 123, ch5= 773, ts=1714036229033161,	delta=801,
seq_no=82,	ch0=   0, ch1= 942, ch2=1506, ch3= 322, ch4=  26, ch5= 741, ts=1714036229033991,	delta=830,
seq_no=83,	ch0=  66, ch1= 736, ch2=1643, ch3= 442, ch4=   0, ch5= 689, ts=1714036229034850,	delta=859,
seq_no=84,	ch0= 203, ch1= 516, ch2=1731, ch3= 543, ch4=   0, ch5= 617, ts=1714036229035674,	delta=824,
seq_no=85,	ch0= 390, ch1= 326, ch2=1738, ch3= 646, ch4=   0, ch5= 520, ts=1714036229036515,	delta=841,
seq_no=86,	ch0= 591, ch1= 162, ch2=1690, ch3= 698, ch4=   0, ch5= 406, ts=1714036229037356,	delta=841,
seq_no=87,	ch0= 798, ch1=  37, ch2=1600, ch3= 752, ch4=  44, ch5= 299, ts=1714036229038196,	delta=840,
seq_no=88,	ch0= 993, ch1=   9, ch2=1408, ch3= 789, ch4= 132, ch5= 233, ts=1714036229039052,	delta=856,
seq_no=89,	ch0=1179, ch1=   0, ch2=1235, ch3= 798, ch4= 274, ch5= 110, ts=1714036229039876,	delta=824,
seq_no=90,	ch0=1410, ch1=   0, ch2=1020, ch3= 779, ch4= 306, ch5=  56, ts=1714036229040719,	delta=843,
seq_no=91,	ch0=1454, ch1= 155, ch2= 788, ch3= 690, ch4= 417, ch5=  22, ts=1714036229041560,	delta=841,
seq_no=92,	ch0=1513, ch1= 228, ch2= 488, ch3= 638, ch4= 494, ch5=  78, ts=1714036229042400,	delta=840,
seq_no=93,	ch0=1544, ch1= 306, ch2= 337, ch3= 538, ch4= 658, ch5=   0, ts=1714036229043266,	delta=866,
seq_no=94,	ch0=1500, ch1= 640, ch2= 168, ch3= 428, ch4= 638, ch5=   0, ts=1714036229044101,	delta=835,
seq_no=95,	ch0=1408, ch1= 851, ch2=  32, ch3= 323, ch4= 683, ch5=  57, ts=1714036229044938,	delta=837,
seq_no=96,	ch0=1264, ch1=1062, ch2=   0, ch3= 213, ch4= 704, ch5= 133, ts=1714036229045781,	delta=843,
seq_no=97,	ch0=1088, ch1=1252, ch2=   0, ch3= 119, ch4= 688, ch5= 245, ts=1714036229046675,	delta=894,
seq_no=98,	ch0= 884, ch1=1408, ch2=   2, ch3=  59, ch4= 662, ch5= 352, ts=1714036229047468,	delta=793,
seq_no=99,	ch0= 672, ch1=1534, ch2= 114, ch3=   2, ch4= 613, ch5= 451, ts=1714036229048372,	delta=904,
seq_no=100,	ch0= 461, ch1=1600, ch2= 282, ch3=   0, ch4= 547, ch5= 560, ts=1714036229049155,	delta=783,
seq_no=101,	ch0= 288, ch1=1598, ch2= 482, ch3=   1, ch4= 449, ch5= 635, ts=1714036229049995,	delta=840,
seq_no=102,	ch0= 134, ch1=1549, ch2= 711, ch3=   0, ch4= 333, ch5= 716, ts=1714036229050841,	delta=846,
seq_no=103,	ch0=   0, ch1=1445, ch2= 960, ch3=   0, ch4= 221, ch5= 739, ts=1714036229051672,	delta=831,
seq_no=104,	ch0=   0, ch1=1311, ch2=1261, ch3= 116, ch4= 186, ch5= 779, ts=1714036229052516,	delta=844,
seq_no=105,	ch0=   0, ch1=1232, ch2=1349, ch3= 234, ch4=  73, ch5= 708, ts=1714036229053358,	delta=842,
seq_no=106,	ch0=   1, ch1= 893, ch2=1535, ch3= 352, ch4=  20, ch5= 733, ts=1714036229054444,	delta=1086,
seq_no=107,	ch0= 109, ch1= 680, ch2=1660, ch3= 465, ch4=   0, ch5= 683, ts=1714036229055080,	delta=636,
seq_no=108,	ch0= 263, ch1= 476, ch2=1735, ch3= 565, ch4=   0, ch5= 595, ts=1714036229055900,	delta=820,
seq_no=109,	ch0= 435, ch1= 287, ch2=1740, ch3= 654, ch4=   0, ch5= 490, ts=1714036229056737,	delta=837,
seq_no=110,	ch0= 634, ch1= 136, ch2=1678, ch3= 720, ch4=   2, ch5= 373, ts=1714036229057580,	delta=843,
seq_no=111,	ch0= 841, ch1=  13, ch2=1559, ch3= 793, ch4=  64, ch5= 267, ts=1714036229058421,	delta=841,
seq_no=112,	ch0=1043, ch1=   0, ch2=1383, ch3= 788, ch4= 145, ch5= 172, ts=1714036229059273,	delta=852,
seq_no=113,	ch0=1224, ch1=   0, ch2=1157, ch3= 790, ch4= 240, ch5= 156, ts=1714036229060100,	delta=827,
seq_no=114,	ch0=1367, ch1=   0, ch2= 948, ch3= 756, ch4= 380, ch5=  21, ts=1714036229060944,	delta=844,
seq_no=115,	ch0=1534, ch1= 136, ch2= 727, ch3= 724, ch4= 418, ch5=   0, ts=1714036229061786,	delta=842,
seq_no=116,	ch0=1504, ch1= 342, ch2= 516, ch3= 603, ch4= 529, ch5=   0, ts=1714036229062636,	delta=850,
seq_no=117,	ch0=1571, ch1= 484, ch2= 233, ch3= 521, ch4= 624, ch5=  42, ts=1714036229063470,	delta=834,
seq_no=118,	ch0=1474, ch1= 690, ch2= 117, ch3= 399, ch4= 666, ch5=  10, ts=1714036229064314,	delta=844,
seq_no=119,	ch0=1367, ch1= 909, ch2=   4, ch3= 290, ch4= 676, ch5=  66, ts=1714036229065373,	delta=1059,
seq_no=120,	ch0=1216, ch1=1113, ch2=   0, ch3= 204, ch4= 698, ch5= 153, ts=1714036229066047,	delta=674,
seq_no=121,	ch0=1028, ch1=1293, ch2=   0, ch3= 104, ch4= 688, ch5= 257, ts=1714036229066866,	delta=819,
seq_no=122,	ch0= 824, ch1=1437, ch2=  34, ch3=  43, ch4= 659, ch5= 378, ts=1714036229067689,	delta=823,
seq_no=123,	ch0= 618, ch1=1552, ch2= 149, ch3=   0, ch4= 602, ch5= 486, ts=1714036229068527,	delta=838,
seq_no=124,	ch0= 424, ch1=1612, ch2= 337, ch3=   0, ch4= 507, ch5= 595, ts=1714036229069369,	delta=842,
seq_no=125,	ch0= 232, ch1=1604, ch2= 552, ch3=   0, ch4= 418, ch5= 665, ts=1714036229070211,	delta=842,
seq_no=126,	ch0= 101, ch1=1533, ch2= 779, ch3=   2, ch4= 320, ch5= 691, ts=1714036229071060,	delta=849,
seq_no=127,	ch0=  97, ch1=1377, ch2=1015, ch3=  64, ch4= 162, ch5= 750, ts=1714036229071893,	delta=833,
