seq_no=47,	ch0=1404, ch1=2088, ch2=   2, ch3=  54, ch4= 587, ch5= 271, ts=1714036655145718,	delta=823,
seq_no=48,	ch0=1091, ch1=2283, ch2= 154, ch3=  14, ch4= 546, ch5= 347, ts=1714036655146628,	delta=910,
seq_no=49,	ch0= 775, ch1=2395, ch2= 386, ch3=   0, ch4= 491, ch5= 427, ts=1714036655147407,	delta=779,
seq_no=50,	ch0= 576, ch1=2401, ch2= 692, ch3=   0, ch4= 388, ch5= 501, ts=1714036655148244,	delta=837,
seq_no=51,	ch0= 230, ch1=2361, ch2=1004, ch3=   0, ch4= 315, ch5= 554, ts=1714036655149084,	delta=840,
seq_no=52,	ch0=  56, ch1=2215, ch2=1396, ch3=  21, ch4= 224, ch5= 599, ts=1714036655149922,	delta=838,
seq_no=53,	ch0=   0, ch1=2096, ch2=1680, ch3=  89, ch4= 130, ch5= 568, ts=1714036655150774,	delta=852,
seq_no=54,	ch0=   0, ch1=1683, ch2=2023, ch3= 178, ch4=  13, ch5= 599, ts=1714036655151609,	delta=835,
seq_no=55,	ch0=   0, ch1=1404, ch2=2288, ch3= 332, ch4=  13, ch5= 626, ts=1714036655152509,	delta=900,
seq_no=56,	ch0= 122, ch1=1103, ch2=2495, ch3= 374, ch4=   0, ch5= 550, ts=1714036655153302,	delta=793,
seq_no=57,	ch0= 347, ch1= 774, ch2=2563, ch3= 472, ch4=   0, ch5= 487, ts=1714036655154137,	delta=835,
seq_no=58,	ch0= 610, ch1= 492, ch2=2608, ch3= 524, ch4=   0, ch5= 410, ts=1714036655154983,	delta=846,
seq_no=59,	ch0= 912, ch1= 244, ch2=2548, ch3= 586, ch4=   0, ch5= 320, ts=1714036655155820,	delta=837,
seq_no=60,	ch0=1216, ch1=  58, ch2=2371, ch3= 640, ch4=  45, ch5= 214, ts=1714036655156664,	delta=844,
seq_no=61,	ch0=1517, ch1=   0, ch2=2143, ch3= 652, ch4= 103, ch5= 145, ts=1714036655157505,	delta=841,
seq_no=62,	ch0=1809, ch1=   4, ch2=1820, ch3= 663, ch4= 192, ch5=  77, ts=1714036655158346,	delta=841,
seq_no=63,	ch0=2048, ch1=  16, ch2=1505, ch3= 642, ch4= 277, ch5=  18, ts=1714036655159195,	delta=849,
seq_no=64,	ch0=2221, ch1= 165, ch2=1155, ch3= 581, ch4= 357, ch5=   0, ts=1714036655160030,	delta=835,
seq_no=65,	ch0=2303, ch1= 392, ch2= 895, ch3= 532, ch4= 480, ch5=   0, ts=1714036655160874,	delta=844,
seq_no=66,	ch0=2300, ch1= 801, ch2= 481, ch3= 440, ch4= 497, ch5=   0, ts=1714036655161717,	delta=843,
seq_no=67,	ch0=2285, ch1= 937, ch2= 226, ch3= 355, ch4= 475, ch5=   0, ts=1714036655162599,	delta=882,
seq_no=68,	ch0=2104, ch1=1316, ch2=  36, ch3= 249, ch4= 605, ch5=  45, ts=1714036655163402,	delta=803,
seq_no=69,	ch0=1891, ch1=1624, ch2=   2, ch3= 166, ch4= 611, ch5= 113, ts=1714036655164322,	delta=920,
seq_no=70,	ch0=1623, ch1=1904, ch2=   2, ch3= 101, ch4= 600, ch5= 198, ts=1714036655165111,	delta=789,
seq_no=71,	ch0=1320, ch1=2158, ch2=  33, ch3=  42, ch4= 582, ch5= 284, ts=1714036655165937,	delta=826,
seq_no=72,	ch0=1002, ch1=2322, ch2= 214, ch3=   0, ch4= 542, ch5= 388, ts=1714036655166796,	delta=859,
