seq_no=0,	ch0=2314, ch1= 460, ch2= 742, ch3= 250, ch4= 202, ch5=   0, ts=1714036637306292,	delta=1714036637306292,
seq_no=1,	ch0=2318, ch1= 728, ch2= 445, ch3= 201, ch4= 215, ch5=   0, ts=1714036637306480,	delta=188,
seq_no=2,	ch0=2192, ch1=1045, ch2= 182, ch3= 153, ch4= 258, ch5=   1, ts=1714036637306739,	delta=259,
seq_no=3,	ch0=2040, ch1=1400, ch2=   6, ch3=  79, ch4= 279, ch5=  36, ts=1714036637306928,	delta=189,
seq_no=4,	ch0=1823, ch1=1704, ch2=   0, ch3=  52, ch4= 254, ch5= 159, ts=1714036637309928,	delta=3000,
seq_no=5,	ch0=1535, ch1=2048, ch2=   0, ch3=  26, ch4= 260, ch5=  57, ts=1714036637310144,	delta=216,
seq_no=6,	ch0=1262, ch1=2170, ch2=  45, ch3=   2, ch4= 176, ch5= 114, ts=1714036637310249,	delta=105,
seq_no=7,	ch0= 925, ch1=2360, ch2= 251, ch3=   0, ch4= 229, ch5= 164, ts=1714036637310339,	delta=90,
seq_no=8,	ch0= 628, ch1=2415, ch2= 521, ch3=   0, ch4= 192, ch5= 213, ts=1714036637310427,	delta=88,
seq_no=9,	ch0=2188, ch1=1344, ch2=  21, ch3= 154, ch4= 367, ch5=  18, ts=1714036637310512,	delta=85,
seq_no=10,	ch0=1796, ch1=1654, ch2=  25, ch3=  64, ch4= 411, ch5= 101, ts=1714036637310544,	delta=32,
seq_no=11,	ch0=1557, ch1=1933, ch2=  59, ch3=  47, ch4= 449, ch5= 148, ts=1714036637310677,	delta=133,
seq_no=12,	ch0=1280, ch1=2180, ch2=  51, ch3=  18, ch4= 397, ch5= 217, ts=1714036637310712,	delta=35,
seq_no=13,	ch0= 960, ch1=2337, ch2= 240, ch3=   0, ch4= 348, ch5= 282, ts=1714036637310741,	delta=29,
seq_no=14,	ch0= 668, ch1=2410, ch2= 505, ch3=   0, ch4= 304, ch5= 328, ts=1714036637310770,	delta=29,
seq_no=15,	ch0= 394, ch1=2408, ch2= 818, ch3=   0, ch4= 256, ch5= 371, ts=1714036637310799,	delta=29,
seq_no=16,	ch0= 153, ch1=2303, ch2=1167, ch3=   5, ch4= 198, ch5= 406, ts=1714036637310827,	delta=28,
seq_no=17,	ch0=   0, ch1=2132, ch2=1499, ch3=  46, ch4= 123, ch5= 428, ts=1714036637310856,	delta=29,
seq_no=18,	ch0=   0, ch1=1880, ch2=1850, ch3= 101, ch4=  64, ch5= 445, ts=1714036637310884,	delta=28,
seq_no=19,	ch0=   0, ch1=1600, ch2=2134, ch3= 142, ch4=  20, ch5= 426, ts=1714036637311194,	delta=310,
seq_no=20,	ch0=  36, ch1=1300, ch2=2405, ch3= 237, ch4=   2, ch5= 410, ts=1714036637312124,	delta=930,
seq_no=21,	ch0= 250, ch1= 971, ch2=2499, ch3= 311, ch4=   0, ch5= 288, ts=1714036637312948,	delta=824,
seq_no=22,	ch0= 425, ch1= 587, ch2=2595, ch3= 388, ch4=  28, ch5= 312, ts=1714036637313806,	delta=858,
seq_no=23,	ch0= 731, ch1= 375, ch2=2584, ch3= 493, ch4=   0, ch5= 266, ts=1714036637314830,	delta=1024,
seq_no=24,	ch0=1029, ch1= 155, ch2=2480, ch3= 457, ch4=   9, ch5= 194, ts=1714036637315511,	delta=681,
seq_no=25,	ch0=1355, ch1=   5, ch2=2288, ch3= 484, ch4=  41, ch5= 132, ts=1714036637316372,	delta=861,
