seq_no=47,	ch0= 431, ch1=2556, ch2=1055, ch3= 516, ch4= 542, ch5=  11, ts=1713174384687298,	delta=854,
seq_no=48,	ch0= 786, ch1=2556, ch2= 641, ch3= 596, ch4= 444, ch5=  13, ts=1713174384688128,	delta=830,
seq_no=49,	ch0=1189, ch1=2544, ch2= 283, ch3= 653, ch4= 346, ch5=   4, ts=1713174384688970,	delta=842,
seq_no=50,	ch0=1594, ch1=2528, ch2=  20, ch3= 706, ch4= 257, ch5=  64, ts=1713174384689810,	delta=840,
seq_no=51,	ch0=1991, ch1=2477, ch2=  13, ch3= 730, ch4= 155, ch5= 114, ts=1713174384690720,	delta=910,
seq_no=52,	ch0=2333, ch1=2220, ch2=  89, ch3= 732, ch4=  79, ch5= 198, ts=1713174384691508,	delta=788,
seq_no=53,	ch0=2420, ch1=1823, ch2=  64, ch3= 728, ch4=  26, ch5= 310, ts=1713174384692343,	delta=835,
seq_no=54,	ch0=2451, ch1=1387, ch2= 164, ch3= 678, ch4=   0, ch5= 475, ts=1713174384693185,	delta=842,
seq_no=55,	ch0=2473, ch1= 982, ch2= 480, ch3= 613, ch4=   0, ch5= 496, ts=1713174384694021,	delta=836,
seq_no=56,	ch0=2457, ch1= 671, ch2= 903, ch3= 541, ch4=  11, ch5= 525, ts=1713174384694878,	delta=857,
seq_no=57,	ch0=2425, ch1= 212, ch2=1344, ch3= 391, ch4=  48, ch5= 602, ts=1713174384695717,	delta=839,
seq_no=58,	ch0=2426, ch1=  16, ch2=1822, ch3= 312, ch4=  54, ch5= 664, ts=1713174384696554,	delta=837,
seq_no=59,	ch0=2371, ch1=  34, ch2=2280, ch3= 217, ch4= 123, ch5= 680, ts=1713174384697398,	delta=844,
seq_no=60,	ch0=2085, ch1=   6, ch2=2615, ch3= 139, ch4= 212, ch5= 675, ts=1713174384698238,	delta=840,
seq_no=61,	ch0=1687, ch1=   6, ch2=2683, ch3=  89, ch4= 313, ch5= 656, ts=1713174384699089,	delta=851,
seq_no=62,	ch0=1280, ch1= 207, ch2=2715, ch3=  38, ch4= 414, ch5= 614, ts=1713174384699925,	delta=836,
seq_no=63,	ch0= 863, ch1= 515, ch2=2719, ch3=  21, ch4= 491, ch5= 537, ts=1713174384700766,	delta=841,
