seq_no=0,	ch0=   0, ch1=2195, ch2=2621, ch3=  73, ch4= 260, ch5=  54, ts=1713174277359427,	delta=1713174277359427,
seq_no=1,	ch0=   0, ch1=2470, ch2=2247, ch3= 111, ch4= 245, ch5=  14, ts=1713174277359663,	delta=236,
seq_no=2,	ch0=   0, ch1=2523, ch2=1796, ch3= 154, ch4= 235, ch5=   0, ts=1713174277359768,	delta=105,
seq_no=3,	ch0= 253, ch1=2545, ch2=1329, ch3= 192, ch4= 210, ch5=   0, ts=1713174277359870,	delta=102,
seq_no=4,	ch0= 570, ch1=2560, ch2= 877, ch3= 232, ch4= 181, ch5=   0, ts=1713174277359956,	delta=86,
seq_no=5,	ch0= 934, ch1=2553, ch2= 482, ch3= 219, ch4= 154, ch5=   0, ts=1713174277359989,	delta=33,
seq_no=6,	ch0=1352, ch1=2560, ch2= 177, ch3= 261, ch4= 107, ch5=   4, ts=1713174277360018,	delta=29,
seq_no=7,	ch0=2339, ch1=   0, ch2=2368, ch3=  94, ch4=  66, ch5= 309, ts=1713174277360047,	delta=29,
seq_no=8,	ch0=   0, ch1=1835, ch2=2691, ch3=  54, ch4= 309, ch5= 102, ts=1713174277360129,	delta=82,
seq_no=9,	ch0=   0, ch1=2227, ch2=2598, ch3=  96, ch4= 312, ch5=  55, ts=1713174277360164,	delta=35,
seq_no=10,	ch0=   0, ch1=2481, ch2=2211, ch3= 139, ch4= 306, ch5=  27, ts=1713174277360193,	delta=29,
seq_no=11,	ch0=  26, ch1=2528, ch2=1768, ch3= 192, ch4= 294, ch5=  10, ts=1713174277360222,	delta=29,
seq_no=12,	ch0= 273, ch1=2550, ch2=1340, ch3= 243, ch4= 286, ch5=   1, ts=1713174277360251,	delta=29,
seq_no=13,	ch0= 594, ch1=2540, ch2= 807, ch3= 277, ch4= 229, ch5=  81, ts=1713174277361105,	delta=854,
seq_no=14,	ch0= 984, ch1=2555, ch2= 440, ch3= 311, ch4= 188, ch5=  38, ts=1713174277364529,	delta=3424,
seq_no=15,	ch0=1389, ch1=2644, ch2=  96, ch3= 331, ch4= 139, ch5=   0, ts=1713174277364597,	delta=68,
seq_no=16,	ch0=1763, ch1=2520, ch2=  14, ch3= 352, ch4=  93, ch5=   0, ts=1713174277364628,	delta=31,
seq_no=17,	ch0=2200, ch1=2427, ch2=  14, ch3= 375, ch4=  68, ch5=  36, ts=1713174277364659,	delta=31,
seq_no=18,	ch0=2389, ch1=1948, ch2=   0, ch3= 349, ch4= 101, ch5= 101, ts=1713174277365327,	delta=668,
seq_no=19,	ch0=2433, ch1=1608, ch2=  57, ch3= 334, ch4=   0, ch5= 161, ts=1713174277366170,	delta=843,
seq_no=20,	ch0=2458, ch1=1171, ch2= 337, ch3= 320, ch4=   0, ch5= 209, ts=1713174277366990,	delta=820,
seq_no=21,	ch0=2467, ch1= 773, ch2= 704, ch3= 285, ch4=   0, ch5= 246, ts=1713174277367874,	delta=884,
