seq_no=47,	ch0=   0, ch1= 613, ch2= 469, ch3=  39, ch4= 195, ch5= 385, ts=1714038097022788,	delta=849,
seq_no=48,	ch0=   0, ch1= 627, ch2= 593, ch3=  83, ch4=  73, ch5= 421, ts=1714038097023617,	delta=829,
seq_no=49,	ch0=   0, ch1= 525, ch2= 691, ch3= 130, ch4=  32, ch5= 422, ts=1714038097024461,	delta=844,
seq_no=50,	ch0=   0, ch1= 425, ch2= 776, ch3= 202, ch4=   1, ch5= 402, ts=1714038097025299,	delta=838,
seq_no=51,	ch0=  50, ch1= 307, ch2= 832, ch3= 262, ch4=   0, ch5= 368, ts=1714038097026143,	delta=844,
seq_no=52,	ch0= 130, ch1= 216, ch2= 843, ch3= 320, ch4=   0, ch5= 320, ts=1714038097026995,	delta=852,
seq_no=53,	ch0= 267, ch1= 117, ch2= 843, ch3= 361, ch4=   0, ch5= 258, ts=1714038097027828,	delta=833,
seq_no=54,	ch0= 304, ch1=  45, ch2= 821, ch3= 373, ch4=   0, ch5= 201, ts=1714038097028670,	delta=842,
seq_no=55,	ch0= 425, ch1=   4, ch2= 804, ch3= 425, ch4=  20, ch5= 166, ts=1714038097029510,	delta=840,
seq_no=56,	ch0= 525, ch1=  64, ch2= 664, ch3= 440, ch4=  67, ch5=  68, ts=1714038097030727,	delta=1217,
seq_no=57,	ch0= 620, ch1=   0, ch2= 562, ch3= 432, ch4=  58, ch5=  21, ts=1714038097031241,	delta=514,
seq_no=58,	ch0= 588, ch1=   0, ch2= 461, ch3= 481, ch4= 174, ch5=  29, ts=1714038097032046,	delta=805,
seq_no=59,	ch0= 697, ch1=  89, ch2= 339, ch3= 366, ch4= 242, ch5=   0, ts=1714038097032875,	delta=829,
seq_no=60,	ch0= 755, ch1= 136, ch2= 224, ch3= 335, ch4= 297, ch5=   0, ts=1714038097033717,	delta=842,
seq_no=61,	ch0= 755, ch1= 229, ch2= 122, ch3= 274, ch4= 324, ch5=   0, ts=1714038097034758,	delta=1041,
seq_no=62,	ch0= 720, ch1= 344, ch2=  33, ch3= 206, ch4= 362, ch5=   5, ts=1714038097035437,	delta=679,
seq_no=63,	ch0= 669, ch1= 453, ch2=   0, ch3= 148, ch4= 378, ch5=  42, ts=1714038097036257,	delta=820,
seq_no=64,	ch0= 595, ch1= 554, ch2=   0, ch3=  90, ch4= 374, ch5=  82, ts=1714038097037091,	delta=834,
seq_no=65,	ch0= 527, ch1= 655, ch2=   0, ch3=  46, ch4= 370, ch5= 141, ts=1714038097037930,	delta=839,
seq_no=66,	ch0= 398, ch1= 722, ch2=  17, ch3=  16, ch4= 355, ch5= 202, ts=1714038097038789,	delta=859,
seq_no=67,	ch0= 293, ch1= 762, ch2=  89, ch3=   0, ch4= 320, ch5= 275, ts=1714038097041571,	delta=2782,
seq_no=68,	ch0= 173, ch1= 781, ch2= 162, ch3=   0, ch4= 270, ch5= 330, ts=1714038097041612,	delta=41,
seq_no=69,	ch0= 108, ch1= 805, ch2= 337, ch3=   0, ch4= 256, ch5= 384, ts=1714038097041642,	delta=30,
