seq_no=47,	ch0= 968, ch1= 432, ch2=2723, ch3=  17, ch4= 378, ch5= 451, ts=1713174339397732,	delta=841,
seq_no=48,	ch0= 587, ch1= 801, ch2=2727, ch3=  20, ch4= 437, ch5= 364, ts=1713174339398570,	delta=838,
seq_no=49,	ch0= 258, ch1=1203, ch2=2636, ch3=  20, ch4= 490, ch5= 371, ts=1713174339399427,	delta=857,
seq_no=50,	ch0=  11, ch1=1628, ch2=2696, ch3=  64, ch4= 509, ch5= 251, ts=1713174339400266,	delta=839,
seq_no=51,	ch0=   0, ch1=2038, ch2=2655, ch3= 103, ch4= 513, ch5=  91, ts=1713174339401103,	delta=837,
seq_no=52,	ch0=   0, ch1=2529, ch2=2423, ch3= 178, ch4= 510, ch5=  18, ts=1713174339401941,	delta=838,
seq_no=53,	ch0=  18, ch1=2496, ch2=1977, ch3= 290, ch4= 515, ch5=   4, ts=1713174339402795,	delta=854,
seq_no=54,	ch0= 128, ch1=2443, ch2=1515, ch3= 335, ch4= 558, ch5=   0, ts=1713174339403629,	delta=834,
seq_no=55,	ch0= 426, ch1=2558, ch2=1069, ch3= 420, ch4= 426, ch5=   4, ts=1713174339404469,	delta=840,
seq_no=56,	ch0= 791, ch1=2561, ch2= 655, ch3= 481, ch4= 359, ch5=   1, ts=1713174339405315,	delta=846,
seq_no=57,	ch0=1189, ch1=2551, ch2= 275, ch3= 525, ch4= 277, ch5=   4, ts=1713174339406156,	delta=841,
seq_no=58,	ch0=1602, ch1=2528, ch2=  11, ch3= 562, ch4= 198, ch5=  39, ts=1713174339407000,	delta=844,
seq_no=59,	ch0=1999, ch1=2479, ch2=  13, ch3= 580, ch4= 122, ch5=  91, ts=1713174339407841,	delta=841,
seq_no=60,	ch0=2352, ch1=2217, ch2=   9, ch3= 576, ch4=  45, ch5= 177, ts=1713174339408682,	delta=841,
seq_no=61,	ch0=2430, ch1=1819, ch2=  10, ch3= 570, ch4=  26, ch5= 235, ts=1713174339409523,	delta=841,
seq_no=62,	ch0=2447, ch1=1372, ch2= 201, ch3= 543, ch4=   2, ch5= 320, ts=1713174339410367,	delta=844,
seq_no=63,	ch0=2463, ch1= 953, ch2= 547, ch3= 490, ch4=  13, ch5= 395, ts=1713174339411214,	delta=847,
seq_no=64,	ch0=2500, ch1= 593, ch2= 877, ch3= 409, ch4=  14, ch5= 514, ts=1713174339412053,	delta=839,
seq_no=65,	ch0=2470, ch1= 264, ch2=1327, ch3= 334, ch4=   5, ch5= 394, ts=1713174339412892,	delta=839,
seq_no=66,	ch0=2445, ch1=  85, ch2=1817, ch3= 276, ch4=  48, ch5= 487, ts=1713174339413735,	delta=843,
seq_no=67,	ch0=2369, ch1=   9, ch2=2287, ch3= 178, ch4=  96, ch5= 536, ts=1713174339414575,	delta=840,
seq_no=68,	ch0=2070, ch1=   8, ch2=2626, ch3= 107, ch4= 165, ch5= 530, ts=1713174339415422,	delta=847,
seq_no=69,	ch0=1673, ch1=   6, ch2=2686, ch3=  66, ch4= 243, ch5= 509, ts=1713174339416267,	delta=845,
seq_no=70,	ch0=1267, ch1= 214, ch2=2707, ch3=  29, ch4= 333, ch5= 475, ts=1713174339417107,	delta=840,
seq_no=71,	ch0= 865, ch1= 521, ch2=2732, ch3=  22, ch4= 396, ch5= 418, ts=1713174339417951,	delta=844,
seq_no=72,	ch0= 457, ch1= 896, ch2=2736, ch3=  58, ch4= 448, ch5= 349, ts=1713174339418802,	delta=851,
seq_no=73,	ch0= 169, ch1=1321, ch2=2716, ch3=   0, ch4= 485, ch5= 265, ts=1713174339419632,	delta=830,
seq_no=74,	ch0=   0, ch1=1731, ch2=2690, ch3=  57, ch4= 514, ch5= 198, ts=1713174339421917,	delta=2285,
seq_no=75,	ch0=   0, ch1=2129, ch2=2673, ch3= 106, ch4= 525, ch5= 114, ts=1713174339421983,	delta=66,
seq_no=76,	ch0=   0, ch1=2423, ch2=2397, ch3= 192, ch4= 548, ch5=  66, ts=1713174339422275,	delta=292,
seq_no=77,	ch0=   0, ch1=2524, ch2=1909, ch3= 281, ch4= 523, ch5=  15, ts=1713174339423068,	delta=793,
seq_no=78,	ch0= 209, ch1=2544, ch2=1376, ch3= 361, ch4= 455, ch5=  27, ts=1713174339423862,	delta=794,
seq_no=79,	ch0= 524, ch1=2557, ch2= 937, ch3= 435, ch4= 405, ch5=   1, ts=1713174339425018,	delta=1156,
seq_no=80,	ch0= 894, ch1=2553, ch2= 529, ch3= 501, ch4= 333, ch5=   2, ts=1713174339425605,	delta=587,
seq_no=81,	ch0=1293, ch1=2544, ch2= 193, ch3= 533, ch4= 254, ch5=  13, ts=1713174339426405,	delta=800,
seq_no=82,	ch0=1708, ch1=2528, ch2=  25, ch3= 563, ch4= 178, ch5=  54, ts=1713174339427305,	delta=900,
seq_no=83,	ch0=2098, ch1=2456, ch2=  17, ch3= 576, ch4=  96, ch5= 106, ts=1713174339428073,	delta=768,
seq_no=84,	ch0=2375, ch1=2103, ch2=   5, ch3= 580, ch4=  50, ch5= 180, ts=1713174339428902,	delta=829,
seq_no=85,	ch0=2425, ch1=1702, ch2=  20, ch3= 569, ch4=  18, ch5= 254, ts=1713174339429744,	delta=842,
seq_no=86,	ch0=2456, ch1=1267, ch2= 264, ch3= 535, ch4=   0, ch5= 348, ts=1713174339430586,	delta=842,
seq_no=87,	ch0=2459, ch1= 856, ch2= 630, ch3= 495, ch4=   0, ch5= 434, ts=1713174339431461,	delta=875,
seq_no=88,	ch0=2474, ch1= 490, ch2=1022, ch3= 354, ch4=   0, ch5= 499, ts=1713174339432287,	delta=826,
seq_no=89,	ch0=2443, ch1= 181, ch2=1496, ch3= 293, ch4=  12, ch5= 487, ts=1713174339433117,	delta=830,
seq_no=90,	ch0=2416, ch1=  21, ch2=1944, ch3= 224, ch4=  64, ch5= 522, ts=1713174339433958,	delta=841,
seq_no=91,	ch0=2334, ch1=   5, ch2=2392, ch3= 158, ch4= 122, ch5= 531, ts=1713174339434810,	delta=852,
seq_no=92,	ch0=1977, ch1=   3, ch2=2631, ch3= 101, ch4= 182, ch5= 525, ts=1713174339435644,	delta=834,
seq_no=93,	ch0=1577, ch1=  31, ch2=2695, ch3=  67, ch4= 272, ch5= 507, ts=1713174339436483,	delta=839,
seq_no=94,	ch0=1164, ch1= 276, ch2=2721, ch3=  26, ch4= 345, ch5= 466, ts=1713174339437326,	delta=843,
seq_no=95,	ch0= 764, ch1= 560, ch2=2732, ch3=  13, ch4= 481, ch5= 394, ts=1713174339438168,	delta=842,
seq_no=96,	ch0= 417, ch1= 980, ch2=2729, ch3=  11, ch4= 433, ch5= 321, ts=1713174339439020,	delta=852,
seq_no=97,	ch0= 232, ch1=1404, ch2=2687, ch3=  29, ch4= 469, ch5= 246, ts=1713174339439854,	delta=834,
seq_no=98,	ch0=  28, ch1=1840, ch2=2673, ch3=  82, ch4= 511, ch5= 169, ts=1713174339440695,	delta=841,
seq_no=99,	ch0=   0, ch1=2240, ch2=2609, ch3= 192, ch4= 501, ch5= 141, ts=1713174339441536,	delta=841,
seq_no=100,	ch0=   0, ch1=2488, ch2=2198, ch3= 229, ch4= 497, ch5=  58, ts=1713174339442379,	delta=843,
seq_no=101,	ch0=   9, ch1=2542, ch2=1755, ch3= 245, ch4= 487, ch5=  64, ts=1713174339443232,	delta=853,
seq_no=102,	ch0= 293, ch1=2548, ch2=1268, ch3= 374, ch4= 448, ch5=   0, ts=1713174339444067,	delta=835,
seq_no=103,	ch0= 625, ch1=2555, ch2= 825, ch3= 450, ch4= 393, ch5=   0, ts=1713174339444907,	delta=840,
seq_no=104,	ch0= 995, ch1=2551, ch2= 441, ch3= 505, ch4= 298, ch5=   0, ts=1713174339445749,	delta=842,
seq_no=105,	ch0=1407, ch1=2535, ch2= 133, ch3= 545, ch4= 224, ch5=  21, ts=1713174339446595,	delta=846,
seq_no=106,	ch0=1812, ch1=2503, ch2=  25, ch3= 576, ch4= 153, ch5=  64, ts=1713174339447446,	delta=851,
seq_no=107,	ch0=2202, ch1=2400, ch2=   4, ch3= 570, ch4=  86, ch5= 105, ts=1713174339448281,	delta=835,
seq_no=108,	ch0=2387, ch1=1997, ch2=   5, ch3= 577, ch4=  33, ch5= 199, ts=1713174339449122,	delta=841,
seq_no=109,	ch0=2437, ch1=1591, ch2=  83, ch3= 560, ch4=   8, ch5= 285, ts=1713174339449961,	delta=839,
seq_no=110,	ch0=2455, ch1=1149, ch2= 349, ch3= 493, ch4=   0, ch5= 364, ts=1713174339450814,	delta=853,
seq_no=111,	ch0=2474, ch1= 742, ch2= 760, ch3= 451, ch4=   0, ch5= 432, ts=1713174339451649,	delta=835,
seq_no=112,	ch0=2281, ch1= 394, ch2=1134, ch3= 463, ch4=   0, ch5= 480, ts=1713174339452489,	delta=840,
seq_no=113,	ch0=2441, ch1= 119, ch2=1624, ch3= 327, ch4=   0, ch5= 530, ts=1713174339453333,	delta=844,
seq_no=114,	ch0=2407, ch1=  21, ch2=2068, ch3= 204, ch4=  64, ch5= 533, ts=1713174339454173,	delta=840,
seq_no=115,	ch0=2265, ch1=  11, ch2=2502, ch3= 138, ch4= 125, ch5= 542, ts=1713174339455025,	delta=852,
seq_no=116,	ch0=1888, ch1=   5, ch2=2661, ch3=  81, ch4= 201, ch5= 520, ts=1713174339455859,	delta=834,
seq_no=117,	ch0=1484, ch1=  96, ch2=2701, ch3=  44, ch4= 285, ch5= 497, ts=1713174339456701,	delta=842,
seq_no=118,	ch0=1054, ch1= 356, ch2=2726, ch3=  18, ch4= 362, ch5= 440, ts=1713174339457544,	delta=843,
seq_no=119,	ch0= 704, ch1= 708, ch2=2726, ch3=  22, ch4= 407, ch5= 354, ts=1713174339458760,	delta=1216,
seq_no=120,	ch0= 324, ch1=1173, ch2=2721, ch3=  24, ch4= 480, ch5= 276, ts=1713174339459280,	delta=520,
seq_no=121,	ch0=  57, ch1=1472, ch2=2708, ch3=  43, ch4= 576, ch5= 210, ts=1713174339460091,	delta=811,
seq_no=122,	ch0=   8, ch1=1919, ch2=2665, ch3= 111, ch4= 553, ch5= 141, ts=1713174339460924,	delta=833,
seq_no=123,	ch0=   0, ch1=2310, ch2=2526, ch3= 133, ch4= 460, ch5=  78, ts=1713174339461762,	delta=838,
seq_no=124,	ch0= 109, ch1=2499, ch2=2087, ch3= 235, ch4= 463, ch5=  33, ts=1713174339462661,	delta=899,
seq_no=125,	ch0= 149, ch1=2535, ch2=1632, ch3= 324, ch4= 480, ch5=   4, ts=1713174339463454,	delta=793,
seq_no=126,	ch0= 361, ch1=2551, ch2=1159, ch3= 401, ch4= 434, ch5=   0, ts=1713174339464291,	delta=837,
seq_no=127,	ch0= 705, ch1=2556, ch2= 732, ch3= 463, ch4= 369, ch5=  12, ts=1713174339465127,	delta=836,
seq_no=128,	ch0=1093, ch1=2551, ch2= 356, ch3= 514, ch4= 290, ch5=   0, ts=1713174339465971,	delta=844,
seq_no=129,	ch0=1511, ch1=2532, ch2=  65, ch3= 553, ch4= 214, ch5=  25, ts=1713174339466823,	delta=852,
seq_no=130,	ch0=1905, ch1=2496, ch2=  21, ch3= 576, ch4= 144, ch5=  73, ts=1713174339467655,	delta=832,
seq_no=131,	ch0=2281, ch1=2297, ch2=   0, ch3= 585, ch4=  73, ch5= 141, ts=1713174339468497,	delta=842,
seq_no=132,	ch0=2413, ch1=1917, ch2=   0, ch3= 579, ch4=  37, ch5= 225, ts=1713174339469339,	delta=842,
seq_no=133,	ch0=2445, ch1=1489, ch2= 123, ch3= 554, ch4=   2, ch5= 304, ts=1713174339470182,	delta=843,
seq_no=134,	ch0=2486, ch1=1135, ch2= 414, ch3= 538, ch4=  14, ch5= 335, ts=1713174339471030,	delta=848,
seq_no=135,	ch0=2457, ch1= 566, ch2= 807, ch3= 427, ch4=  66, ch5= 420, ts=1713174339471867,	delta=837,
seq_no=136,	ch0=2460, ch1= 261, ch2=1271, ch3= 347, ch4=   0, ch5= 473, ts=1713174339472709,	delta=842,
