seq_no=47,	ch0=1628, ch1=1891, ch2=   0, ch3=  28, ch4= 264, ch5=  66, ts=1714036591002287,	delta=840,
seq_no=48,	ch0=1337, ch1=2126, ch2=  33, ch3=  13, ch4= 237, ch5= 130, ts=1714036591003143,	delta=856,
seq_no=49,	ch0= 977, ch1=2309, ch2= 202, ch3=   0, ch4= 228, ch5= 176, ts=1714036591003973,	delta=830,
seq_no=50,	ch0= 709, ch1=2420, ch2= 460, ch3=   0, ch4= 205, ch5= 209, ts=1714036591004811,	delta=838,
seq_no=51,	ch0= 433, ch1=2393, ch2= 694, ch3=   0, ch4= 154, ch5= 320, ts=1714036591005655,	delta=844,
seq_no=52,	ch0= 217, ch1=2387, ch2=1102, ch3=   0, ch4= 137, ch5= 234, ts=1714036591006499,	delta=844,
seq_no=53,	ch0= 139, ch1=2152, ch2=1463, ch3=  16, ch4=  38, ch5= 262, ts=1714036591007409,	delta=910,
seq_no=54,	ch0=   0, ch1=1941, ch2=1795, ch3=  57, ch4=  52, ch5= 274, ts=1714036591008193,	delta=784,
seq_no=55,	ch0=   0, ch1=1660, ch2=2094, ch3= 106, ch4=  14, ch5= 274, ts=1714036591009056,	delta=863,
seq_no=56,	ch0=  13, ch1=1346, ch2=2342, ch3= 154, ch4=   0, ch5= 253, ts=1714036591009875,	delta=819,
seq_no=57,	ch0= 176, ch1=1017, ch2=2521, ch3= 205, ch4=   0, ch5= 235, ts=1714036591010724,	delta=849,
seq_no=58,	ch0= 400, ch1= 709, ch2=2602, ch3= 237, ch4=   0, ch5= 207, ts=1714036591011554,	delta=830,
seq_no=59,	ch0= 655, ch1= 430, ch2=2602, ch3= 234, ch4=   0, ch5= 162, ts=1714036591012394,	delta=840,
seq_no=60,	ch0= 965, ch1= 194, ch2=2570, ch3= 298, ch4=   0, ch5= 118, ts=1714036591013233,	delta=839,
seq_no=61,	ch0=1303, ch1=  25, ch2=2304, ch3= 322, ch4=  18, ch5= 117, ts=1714036591014073,	delta=840,
seq_no=62,	ch0=1590, ch1=   0, ch2=2071, ch3= 329, ch4= 110, ch5=  36, ts=1714036591014928,	delta=855,
seq_no=63,	ch0=1950, ch1=   0, ch2=1814, ch3= 335, ch4=  46, ch5=  26, ts=1714036591015896,	delta=968,
seq_no=64,	ch0=2031, ch1=  37, ch2=1425, ch3= 246, ch4= 118, ch5=   0, ts=1714036591016639,	delta=743,
seq_no=65,	ch0=2212, ch1= 232, ch2=1138, ch3= 262, ch4= 210, ch5=   0, ts=1714036591017455,	delta=816,
seq_no=66,	ch0=2323, ch1= 466, ch2= 740, ch3= 238, ch4= 197, ch5=   0, ts=1714036591018293,	delta=838,
seq_no=67,	ch0=2323, ch1= 748, ch2= 430, ch3= 202, ch4= 224, ch5=   0, ts=1714036591019148,	delta=855,
seq_no=68,	ch0=2237, ch1=1059, ch2= 186, ch3= 158, ch4= 241, ch5=   0, ts=1714036591019971,	delta=823,
seq_no=69,	ch0=2056, ch1=1387, ch2=  11, ch3= 102, ch4= 266, ch5=  13, ts=1714036591020815,	delta=844,
seq_no=70,	ch0=1826, ch1=1690, ch2=   8, ch3=  64, ch4= 266, ch5=  51, ts=1714036591021656,	delta=841,
seq_no=71,	ch0=1548, ch1=1961, ch2=   0, ch3=  34, ch4= 264, ch5=  86, ts=1714036591022495,	delta=839,
seq_no=72,	ch0=1256, ch1=2188, ch2=  49, ch3=   8, ch4= 226, ch5= 125, ts=1714036591023344,	delta=849,
seq_no=73,	ch0= 918, ch1=2353, ch2= 254, ch3=   0, ch4= 224, ch5= 186, ts=1714036591024184,	delta=840,
seq_no=74,	ch0= 641, ch1=2424, ch2= 535, ch3=   0, ch4= 180, ch5= 222, ts=1714036591025024,	delta=840,
seq_no=75,	ch0= 389, ch1=2375, ch2= 770, ch3=   0, ch4= 141, ch5= 324, ts=1714036591025865,	delta=841,
seq_no=76,	ch0= 178, ch1=2345, ch2=1178, ch3=  37, ch4= 114, ch5= 221, ts=1714036591026715,	delta=850,
seq_no=77,	ch0=   0, ch1=2087, ch2=1545, ch3=  25, ch4=   6, ch5= 267, ts=1714036591027549,	delta=834,
seq_no=78,	ch0=   0, ch1=1880, ch2=1870, ch3=  74, ch4=  40, ch5= 273, ts=1714036591028392,	delta=843,
seq_no=79,	ch0=   0, ch1=1579, ch2=2167, ch3= 129, ch4=  10, ch5= 268, ts=1714036591029476,	delta=1084,
