seq_no=47,	ch0=  40, ch1=1478, ch2= 888, ch3=  21, ch4= 185, ch5= 481, ts=1714036287873997,	delta=827,
seq_no=48,	ch0=   0, ch1=1336, ch2=1118, ch3=  74, ch4= 119, ch5= 494, ts=1714036287874855,	delta=858,
seq_no=49,	ch0=   0, ch1=1160, ch2=1317, ch3= 134, ch4=  64, ch5= 501, ts=1714036287875673,	delta=818,
seq_no=50,	ch0=   0, ch1= 960, ch2=1504, ch3= 213, ch4=  13, ch5= 480, ts=1714036287876504,	delta=831,
seq_no=51,	ch0=  81, ch1= 738, ch2=1652, ch3= 306, ch4=   0, ch5= 441, ts=1714036287877349,	delta=845,
seq_no=52,	ch0= 200, ch1= 530, ch2=1729, ch3= 365, ch4=   0, ch5= 393, ts=1714036287878194,	delta=845,
seq_no=53,	ch0= 382, ch1= 339, ch2=1743, ch3= 433, ch4=   0, ch5= 322, ts=1714036287879041,	delta=847,
seq_no=54,	ch0= 600, ch1= 242, ch2=1688, ch3= 525, ch4=   2, ch5= 219, ts=1714036287879876,	delta=835,
seq_no=55,	ch0= 782, ch1=   2, ch2=1589, ch3= 517, ch4=   0, ch5= 180, ts=1714036287880712,	delta=836,
seq_no=56,	ch0= 941, ch1=   0, ch2=1450, ch3= 562, ch4=  77, ch5= 125, ts=1714036287881620,	delta=908,
seq_no=57,	ch0=1185, ch1=   0, ch2=1246, ch3= 540, ch4= 137, ch5=  67, ts=1714036287883336,	delta=1716,
seq_no=58,	ch0=1337, ch1=   0, ch2=1024, ch3= 523, ch4= 206, ch5=   8, ts=1714036287883394,	delta=58,
seq_no=59,	ch0=1466, ch1= 103, ch2= 775, ch3= 493, ch4= 279, ch5=   0, ts=1714036287884165,	delta=771,
seq_no=60,	ch0=1529, ch1= 253, ch2= 549, ch3= 436, ch4= 354, ch5=   0, ts=1714036287884979,	delta=814,
seq_no=61,	ch0=1543, ch1= 427, ch2= 343, ch3= 373, ch4= 410, ch5=   0, ts=1714036287885783,	delta=804,
seq_no=62,	ch0=1504, ch1= 628, ch2= 153, ch3= 295, ch4= 453, ch5=   3, ts=1714036287886761,	delta=978,
seq_no=63,	ch0=1413, ch1= 920, ch2=  16, ch3= 210, ch4= 485, ch5=  14, ts=1714036287887462,	delta=701,
seq_no=64,	ch0=1373, ch1=1048, ch2=   0, ch3= 132, ch4= 458, ch5=  85, ts=1714036287888293,	delta=831,
seq_no=65,	ch0=1071, ch1=1251, ch2=   0, ch3= 106, ch4= 480, ch5= 146, ts=1714036287889131,	delta=838,
seq_no=66,	ch0= 871, ch1=1403, ch2=  89, ch3=  34, ch4= 497, ch5= 227, ts=1714036287889975,	delta=844,
seq_no=67,	ch0= 727, ch1=1549, ch2=  85, ch3=   0, ch4= 432, ch5= 188, ts=1714036287890828,	delta=853,
seq_no=68,	ch0= 451, ch1=1518, ch2= 293, ch3=   1, ch4= 434, ch5= 340, ts=1714036287891665,	delta=837,
seq_no=69,	ch0= 294, ch1=1600, ch2= 485, ch3=   0, ch4= 309, ch5= 416, ts=1714036287892504,	delta=839,
seq_no=70,	ch0= 130, ch1=1557, ch2= 709, ch3=   0, ch4= 237, ch5= 460, ts=1714036287893343,	delta=839,
seq_no=71,	ch0=  16, ch1=1448, ch2= 954, ch3=  23, ch4= 165, ch5= 494, ts=1714036287894182,	delta=839,
seq_no=72,	ch0=   0, ch1=1292, ch2=1169, ch3=  89, ch4=  96, ch5= 484, ts=1714036287895053,	delta=871,
seq_no=73,	ch0=   0, ch1=1111, ch2=1376, ch3= 166, ch4=  56, ch5= 485, ts=1714036287895882,	delta=829,
seq_no=74,	ch0=   0, ch1= 894, ch2=1547, ch3= 239, ch4=   0, ch5= 470, ts=1714036287896726,	delta=844,
seq_no=75,	ch0= 102, ch1= 681, ch2=1666, ch3= 324, ch4=   0, ch5= 432, ts=1714036287897561,	delta=835,
seq_no=76,	ch0= 259, ch1= 483, ch2=1728, ch3= 389, ch4=   0, ch5= 373, ts=1714036287898401,	delta=840,
seq_no=77,	ch0= 437, ch1= 290, ch2=1744, ch3= 448, ch4=   0, ch5= 312, ts=1714036287899255,	delta=854,
seq_no=78,	ch0= 540, ch1= 117, ch2=1678, ch3= 562, ch4=   0, ch5= 258, ts=1714036287900092,	delta=837,
seq_no=79,	ch0= 833, ch1=  59, ch2=1563, ch3= 515, ch4=  29, ch5= 158, ts=1714036287901277,	delta=1185,
seq_no=80,	ch0=1041, ch1=   0, ch2=1333, ch3= 540, ch4= 116, ch5= 167, ts=1714036287902832,	delta=1555,
