seq_no=47,	ch0=2304, ch1= 385, ch2= 860, ch3=1464, ch4=1108, ch5=   0, ts=1714036872110200,	delta=832,
seq_no=48,	ch0=2328, ch1= 661, ch2= 551, ch3=1242, ch4=1267, ch5=   0, ts=1714036872111069,	delta=869,
seq_no=49,	ch0=2272, ch1= 904, ch2= 259, ch3= 979, ch4=1393, ch5=   0, ts=1714036872111877,	delta=808,
seq_no=50,	ch0=2126, ch1=1298, ch2=  64, ch3= 728, ch4=1505, ch5= 123, ts=1714036872112719,	delta=842,
seq_no=51,	ch0=1904, ch1=1600, ch2=   0, ch3= 522, ch4=1552, ch5= 294, ts=1714036872113559,	delta=840,
seq_no=52,	ch0=1653, ch1=1887, ch2=   0, ch3= 364, ch4=1588, ch5= 498, ts=1714036872114402,	delta=843,
seq_no=53,	ch0=1331, ch1=2047, ch2=   9, ch3= 221, ch4=1584, ch5= 736, ts=1714036872115256,	delta=854,
seq_no=54,	ch0= 947, ch1=2295, ch2= 178, ch3= 130, ch4=1407, ch5=1011, ts=1714036872116088,	delta=832,
seq_no=55,	ch0= 734, ch1=2375, ch2= 536, ch3=   0, ch4=1250, ch5=1174, ts=1714036872116931,	delta=843,
seq_no=56,	ch0= 452, ch1=2424, ch2= 759, ch3=   0, ch4=1032, ch5=1315, ts=1714036872117773,	delta=842,
seq_no=57,	ch0= 216, ch1=2355, ch2=1085, ch3=   0, ch4= 791, ch5=1460, ts=1714036872118677,	delta=904,
seq_no=58,	ch0=  34, ch1=2194, ch2=1419, ch3=  82, ch4= 580, ch5=1560, ts=1714036872119469,	delta=792,
seq_no=59,	ch0=   0, ch1=1949, ch2=1757, ch3= 284, ch4= 394, ch5=1600, ts=1714036872120305,	delta=836,
seq_no=60,	ch0=   0, ch1=1679, ch2=2071, ch3= 517, ch4= 251, ch5=1617, ts=1714036872121148,	delta=843,
seq_no=61,	ch0=   0, ch1=1344, ch2=2327, ch3= 782, ch4=  85, ch5=1564, ts=1714036872121990,	delta=842,
seq_no=62,	ch0= 145, ch1=1046, ch2=2511, ch3=1011, ch4=  13, ch5=1446, ts=1714036872122841,	delta=851,
seq_no=63,	ch0= 389, ch1= 737, ch2=2604, ch3=1225, ch4=   0, ch5=1260, ts=1714036872123674,	delta=833,
seq_no=64,	ch0= 660, ch1= 497, ch2=2600, ch3=1398, ch4=   0, ch5=1025, ts=1714036872124514,	delta=840,
seq_no=65,	ch0=1078, ch1= 162, ch2=2524, ch3=1541, ch4=   0, ch5= 796, ts=1714036872125358,	delta=844,
seq_no=66,	ch0=1243, ch1=  39, ch2=2332, ch3=1617, ch4= 132, ch5= 596, ts=1714036872126200,	delta=842,
seq_no=67,	ch0=1568, ch1=   4, ch2=1992, ch3=1728, ch4= 303, ch5= 516, ts=1714036872127050,	delta=850,
seq_no=68,	ch0=1847, ch1=   0, ch2=1788, ch3=1776, ch4= 540, ch5= 244, ts=1714036872127887,	delta=837,
seq_no=69,	ch0=2072, ch1=  36, ch2=1448, ch3=1739, ch4= 782, ch5= 123, ts=1714036872128729,	delta=842,
seq_no=70,	ch0=2242, ch1= 216, ch2=1102, ch3=1608, ch4= 978, ch5=  19, ts=1714036872129573,	delta=844,
seq_no=71,	ch0=2328, ch1= 463, ch2= 771, ch3=1408, ch4=1151, ch5=   0, ts=1714036872130414,	delta=841,
seq_no=72,	ch0=2320, ch1= 731, ch2= 461, ch3=1169, ch4=1298, ch5=   0, ts=1714036872131268,	delta=854,
seq_no=73,	ch0=2233, ch1=1034, ch2= 193, ch3= 915, ch4=1418, ch5=  28, ts=1714036872132170,	delta=902,
seq_no=74,	ch0=2058, ch1=1378, ch2=  20, ch3= 662, ch4=1520, ch5= 157, ts=1714036872133482,	delta=1312,
seq_no=75,	ch0=1859, ch1=1674, ch2=   0, ch3= 482, ch4=1560, ch5= 340, ts=1714036872133858,	delta=376,
seq_no=76,	ch0=1577, ch1=1936, ch2=   2, ch3= 326, ch4=1584, ch5= 562, ts=1714036872134713,	delta=855,
seq_no=77,	ch0=1219, ch1=2176, ch2=  70, ch3= 213, ch4=1515, ch5= 836, ts=1714036872135493,	delta=780,
seq_no=78,	ch0= 960, ch1=2376, ch2= 320, ch3=  41, ch4=1405, ch5=1040, ts=1714036872136324,	delta=831,
seq_no=79,	ch0= 717, ch1=2436, ch2= 484, ch3=   0, ch4=1195, ch5=1163, ts=1714036872137430,	delta=1106,
seq_no=80,	ch0= 389, ch1=2407, ch2= 832, ch3=   0, ch4= 962, ch5=1359, ts=1714036872138106,	delta=676,
seq_no=81,	ch0= 157, ch1=2309, ch2=1175, ch3=   0, ch4= 732, ch5=1479, ts=1714036872138876,	delta=770,
seq_no=82,	ch0=   1, ch1=2119, ch2=1510, ch3= 138, ch4= 528, ch5=1571, ts=1714036872139693,	delta=817,
