seq_no=29,	ch0=   0, ch1=1386, ch2=1077, ch3=  26, ch4=1206, ch5= 651, ts=1712137693790422,	delta=895,
seq_no=30,	ch0=  64, ch1=1437, ch2= 791, ch3= 154, ch4=1335, ch5= 453, ts=1712137693791229,	delta=807,
seq_no=31,	ch0= 210, ch1=1617, ch2= 576, ch3= 282, ch4=1308, ch5= 301, ts=1712137693792141,	delta=912,
seq_no=32,	ch0= 373, ch1=1531, ch2= 354, ch3= 494, ch4=1338, ch5= 169, ts=1712137693792975,	delta=834,
seq_no=33,	ch0= 589, ch1=1560, ch2= 172, ch3= 686, ch4=1219, ch5=  64, ts=1712137693793777,	delta=802,
seq_no=34,	ch0= 798, ch1=1475, ch2=  41, ch3= 869, ch4=1106, ch5=   0, ts=1712137693794663,	delta=886,
seq_no=35,	ch0=1006, ch1=1328, ch2=   0, ch3=1039, ch4= 961, ch5=   2, ts=1712137693795471,	delta=808,
seq_no=36,	ch0=1196, ch1=1141, ch2=   0, ch3=1180, ch4= 789, ch5=   0, ts=1712137693796302,	delta=831,
seq_no=37,	ch0=1358, ch1= 942, ch2=   0, ch3=1304, ch4= 612, ch5=  50, ts=1712137693797134,	delta=832,
seq_no=38,	ch0=1495, ch1= 733, ch2=  96, ch3=1386, ch4= 451, ch5= 169, ts=1712137693797968,	delta=834,
seq_no=39,	ch0=1516, ch1= 510, ch2= 273, ch3=1434, ch4= 284, ch5= 353, ts=1712137693798833,	delta=865,
seq_no=40,	ch0=1547, ch1= 335, ch2= 472, ch3=1423, ch4= 156, ch5= 520, ts=1712137693799652,	delta=819,
seq_no=41,	ch0=1478, ch1= 149, ch2= 704, ch3=1359, ch4=  49, ch5= 730, ts=1712137693800518,	delta=866,
seq_no=42,	ch0=1378, ch1= 138, ch2= 916, ch3=1250, ch4=   0, ch5= 850, ts=1712137693801473,	delta=955,
seq_no=43,	ch0=1173, ch1=   0, ch2=1149, ch3=1131, ch4=   0, ch5=1097, ts=1712137693802142,	delta=669,
seq_no=44,	ch0=1082, ch1=   0, ch2=1293, ch3= 896, ch4=   0, ch5=1255, ts=1712137693802953,	delta=811,
seq_no=45,	ch0= 886, ch1=   5, ch2=1522, ch3= 704, ch4=  54, ch5=1299, ts=1712137693803785,	delta=832,
seq_no=46,	ch0= 672, ch1= 104, ch2=1667, ch3= 524, ch4= 165, ch5=1359, ts=1712137693804622,	delta=837,
seq_no=47,	ch0= 469, ch1= 258, ch2=1734, ch3= 354, ch4= 332, ch5=1393, ts=1712137693805481,	delta=859,
seq_no=48,	ch0= 278, ch1= 440, ch2=1751, ch3= 207, ch4= 514, ch5=1371, ts=1712137693806306,	delta=825,
seq_no=49,	ch0= 122, ch1= 648, ch2=1692, ch3=  88, ch4= 681, ch5=1291, ts=1712137693807150,	delta=844,
seq_no=50,	ch0=  14, ch1= 852, ch2=1549, ch3=  13, ch4= 852, ch5=1205, ts=1712137693807990,	delta=840,
seq_no=51,	ch0=  58, ch1=1063, ch2=1407, ch3=   0, ch4= 976, ch5= 978, ts=1712137693808832,	delta=842,
seq_no=52,	ch0=   0, ch1=1255, ch2=1264, ch3=   0, ch4=1142, ch5= 799, ts=1712137693809683,	delta=851,
seq_no=53,	ch0=   0, ch1=1390, ch2= 985, ch3=  43, ch4=1250, ch5= 612, ts=1712137693810514,	delta=831,
seq_no=54,	ch0=  90, ch1=1522, ch2= 846, ch3= 166, ch4=1288, ch5= 440, ts=1712137693811356,	delta=842,
seq_no=55,	ch0= 266, ch1=1554, ch2= 505, ch3= 352, ch4=1344, ch5= 268, ts=1712137693812201,	delta=845,
