seq_no=47,	ch0=1142, ch1=  93, ch2=2435, ch3= 806, ch4=  41, ch5= 320, ts=1714036671457167,	delta=845,
seq_no=48,	ch0=1452, ch1=   0, ch2=2208, ch3= 834, ch4= 119, ch5= 210, ts=1714036671458005,	delta=838,
seq_no=49,	ch0=1736, ch1=   2, ch2=1930, ch3= 838, ch4= 214, ch5= 131, ts=1714036671458856,	delta=851,
seq_no=50,	ch0=2017, ch1=   3, ch2=1593, ch3= 863, ch4= 313, ch5=  58, ts=1714036671459689,	delta=833,
seq_no=51,	ch0=2169, ch1= 171, ch2=1235, ch3= 762, ch4= 438, ch5=   0, ts=1714036671460532,	delta=843,
seq_no=52,	ch0=2296, ch1= 341, ch2= 865, ch3= 704, ch4= 538, ch5=  38, ts=1714036671461374,	delta=842,
seq_no=53,	ch0=2339, ch1= 651, ch2= 562, ch3= 608, ch4= 620, ch5=   0, ts=1714036671462215,	delta=841,
seq_no=54,	ch0=2382, ch1= 893, ch2= 307, ch3= 477, ch4= 658, ch5=   0, ts=1714036671463068,	delta=853,
seq_no=55,	ch0=2102, ch1=1240, ch2=  70, ch3= 287, ch4= 726, ch5=  37, ts=1714036671463900,	delta=832,
seq_no=56,	ch0=1933, ch1=1589, ch2=  39, ch3= 249, ch4= 767, ch5= 125, ts=1714036671464744,	delta=844,
seq_no=57,	ch0=1686, ch1=1840, ch2=   5, ch3= 157, ch4= 764, ch5= 220, ts=1714036671465587,	delta=843,
seq_no=58,	ch0=1403, ch1=2092, ch2=   0, ch3=  83, ch4= 745, ch5= 333, ts=1714036671466430,	delta=843,
seq_no=59,	ch0=1081, ch1=2288, ch2= 150, ch3=   9, ch4= 691, ch5= 448, ts=1714036671467278,	delta=848,
seq_no=60,	ch0= 777, ch1=2401, ch2= 397, ch3=   0, ch4= 598, ch5= 543, ts=1714036671468113,	delta=835,
seq_no=61,	ch0= 493, ch1=2407, ch2= 695, ch3=   0, ch4= 501, ch5= 629, ts=1714036671468955,	delta=842,
seq_no=62,	ch0= 248, ch1=2356, ch2=1031, ch3=   0, ch4= 384, ch5= 684, ts=1714036671469798,	delta=843,
seq_no=63,	ch0=  42, ch1=2192, ch2=1381, ch3=  45, ch4= 290, ch5= 749, ts=1714036671470645,	delta=847,
seq_no=64,	ch0=   0, ch1=1985, ch2=1708, ch3= 117, ch4= 174, ch5= 759, ts=1714036671471482,	delta=837,
seq_no=65,	ch0=   0, ch1=1721, ch2=2028, ch3= 226, ch4=  98, ch5= 752, ts=1714036671472323,	delta=841,
seq_no=66,	ch0=   0, ch1=1347, ch2=2284, ch3= 372, ch4=  88, ch5= 724, ts=1714036671473168,	delta=845,
seq_no=67,	ch0=  38, ch1=1079, ch2=2487, ch3= 538, ch4=   0, ch5= 704, ts=1714036671474010,	delta=842,
seq_no=68,	ch0= 344, ch1= 811, ch2=2594, ch3= 568, ch4=   0, ch5= 608, ts=1714036671474861,	delta=851,
seq_no=69,	ch0= 612, ch1= 491, ch2=2579, ch3= 671, ch4=   0, ch5= 506, ts=1714036671475696,	delta=835,
seq_no=70,	ch0= 911, ch1= 236, ch2=2550, ch3= 737, ch4=   0, ch5= 406, ts=1714036671476536,	delta=840,
seq_no=71,	ch0=1232, ch1=  59, ch2=2371, ch3= 805, ch4=  67, ch5= 281, ts=1714036671477379,	delta=843,
seq_no=72,	ch0=1524, ch1=   0, ch2=2134, ch3= 836, ch4= 150, ch5= 173, ts=1714036671478223,	delta=844,
seq_no=73,	ch0=1807, ch1=   1, ch2=1840, ch3= 847, ch4= 242, ch5= 101, ts=1714036671479072,	delta=849,
seq_no=74,	ch0=2040, ch1=  77, ch2=1491, ch3= 824, ch4= 358, ch5=  30, ts=1714036671479908,	delta=836,
seq_no=75,	ch0=2343, ch1= 174, ch2=1151, ch3= 753, ch4= 433, ch5=   0, ts=1714036671480746,	delta=838,
seq_no=76,	ch0=2292, ch1= 412, ch2= 811, ch3= 637, ch4= 548, ch5=   0, ts=1714036671481592,	delta=846,
seq_no=77,	ch0=2316, ch1= 691, ch2= 539, ch3= 564, ch4= 641, ch5=   0, ts=1714036671482434,	delta=842,
seq_no=78,	ch0=2247, ch1=1116, ch2= 218, ch3= 453, ch4= 700, ch5=   0, ts=1714036671483284,	delta=850,
seq_no=79,	ch0=2116, ch1=1280, ch2=  22, ch3= 322, ch4= 664, ch5=  66, ts=1714036671484316,	delta=1032,
seq_no=80,	ch0=1811, ch1=1624, ch2=  11, ch3= 244, ch4= 748, ch5= 178, ts=1714036671484997,	delta=681,
seq_no=81,	ch0=1622, ch1=1915, ch2=   0, ch3= 137, ch4= 763, ch5= 245, ts=1714036671485816,	delta=819,
seq_no=82,	ch0=1318, ch1=2151, ch2=  37, ch3=  69, ch4= 731, ch5= 357, ts=1714036671486657,	delta=841,
seq_no=83,	ch0=1005, ch1=2318, ch2= 209, ch3=  16, ch4= 668, ch5= 468, ts=1714036671487482,	delta=825,
seq_no=84,	ch0= 696, ch1=2408, ch2= 464, ch3=   0, ch4= 587, ch5= 564, ts=1714036671488323,	delta=841,
seq_no=85,	ch0= 423, ch1=2412, ch2= 791, ch3=   0, ch4= 474, ch5= 647, ts=1714036671489163,	delta=840,
seq_no=86,	ch0= 199, ch1=2334, ch2=1112, ch3=   0, ch4= 362, ch5= 706, ts=1714036671490007,	delta=844,
seq_no=87,	ch0=  17, ch1=2143, ch2=1475, ch3=  58, ch4= 258, ch5= 738, ts=1714036671490879,	delta=872,
seq_no=88,	ch0=   0, ch1=1906, ch2=1807, ch3= 150, ch4= 158, ch5= 775, ts=1714036671491709,	delta=830,
seq_no=89,	ch0=   0, ch1=1656, ch2=2098, ch3= 235, ch4=  90, ch5= 762, ts=1714036671492545,	delta=836,
seq_no=90,	ch0=  13, ch1=1314, ch2=2269, ch3= 373, ch4=  23, ch5= 797, ts=1714036671493384,	delta=839,
seq_no=91,	ch0= 225, ch1=1063, ch2=2504, ch3= 519, ch4=   0, ch5= 633, ts=1714036671494225,	delta=841,
seq_no=92,	ch0= 516, ch1= 702, ch2=2606, ch3= 614, ch4=   0, ch5= 576, ts=1714036671495085,	delta=860,
seq_no=93,	ch0= 678, ch1= 416, ch2=2599, ch3= 692, ch4=   0, ch5= 477, ts=1714036671495914,	delta=829,
seq_no=94,	ch0= 992, ch1= 183, ch2=2511, ch3= 767, ch4=  12, ch5= 363, ts=1714036671496754,	delta=840,
seq_no=95,	ch0=1307, ch1=  15, ch2=2309, ch3= 811, ch4=  75, ch5= 260, ts=1714036671497596,	delta=842,
seq_no=96,	ch0=1603, ch1=   9, ch2=2062, ch3= 834, ch4= 158, ch5= 171, ts=1714036671498438,	delta=842,
seq_no=97,	ch0=1879, ch1=   0, ch2=1751, ch3= 836, ch4= 262, ch5=  85, ts=1714036671499289,	delta=851,
seq_no=98,	ch0=2083, ch1=  49, ch2=1515, ch3= 802, ch4= 385, ch5=  27, ts=1714036671500115,	delta=826,
seq_no=99,	ch0=2248, ch1= 224, ch2=1044, ch3= 747, ch4= 498, ch5=   0, ts=1714036671500959,	delta=844,
seq_no=100,	ch0=2320, ch1= 444, ch2= 712, ch3= 648, ch4= 618, ch5=   0, ts=1714036671501798,	delta=839,
seq_no=101,	ch0=2339, ch1= 754, ch2= 429, ch3= 600, ch4= 639, ch5=   0, ts=1714036671502733,	delta=935,
seq_no=102,	ch0=2207, ch1=1120, ch2= 194, ch3= 385, ch4= 696, ch5=  16, ts=1714036671503553,	delta=820,
seq_no=103,	ch0=2042, ch1=1400, ch2=   0, ch3= 295, ch4= 764, ch5= 140, ts=1714036671504344,	delta=791,
seq_no=104,	ch0=1811, ch1=1663, ch2=   0, ch3= 194, ch4= 788, ch5= 166, ts=1714036671505181,	delta=837,
seq_no=105,	ch0=1544, ch1=1984, ch2=   0, ch3= 105, ch4= 762, ch5= 277, ts=1714036671506021,	delta=840,
seq_no=106,	ch0=1251, ch1=2193, ch2=  70, ch3=  51, ch4= 716, ch5= 395, ts=1714036671506875,	delta=854,
seq_no=107,	ch0= 928, ch1=2355, ch2= 282, ch3=   0, ch4= 654, ch5= 484, ts=1714036671507706,	delta=831,
seq_no=108,	ch0= 630, ch1=2415, ch2= 553, ch3=   0, ch4= 569, ch5= 576, ts=1714036671508548,	delta=842,
seq_no=109,	ch0= 358, ch1=2400, ch2= 866, ch3=   0, ch4= 452, ch5= 666, ts=1714036671509390,	delta=842,
seq_no=110,	ch0= 120, ch1=2295, ch2=1205, ch3=  10, ch4= 335, ch5= 727, ts=1714036671510231,	delta=841,
seq_no=111,	ch0=   0, ch1=2112, ch2=1552, ch3=  64, ch4= 233, ch5= 757, ts=1714036671511082,	delta=851,
seq_no=112,	ch0=   0, ch1=1864, ch2=1872, ch3= 174, ch4= 137, ch5= 760, ts=1714036671511917,	delta=835,
seq_no=113,	ch0=   0, ch1=1528, ch2=2157, ch3= 281, ch4=   2, ch5= 743, ts=1714036671512761,	delta=844,
seq_no=114,	ch0=   0, ch1=1241, ch2=2424, ch3= 451, ch4=   5, ch5= 750, ts=1714036671513602,	delta=841,
seq_no=115,	ch0= 229, ch1= 921, ch2=2660, ch3= 522, ch4=   0, ch5= 656, ts=1714036671514445,	delta=843,
seq_no=116,	ch0= 486, ch1= 626, ch2=2563, ch3= 624, ch4=   0, ch5= 553, ts=1714036671515292,	delta=847,
seq_no=117,	ch0= 778, ch1= 357, ch2=2590, ch3= 714, ch4=   0, ch5= 452, ts=1714036671516130,	delta=838,
seq_no=118,	ch0=1063, ch1= 139, ch2=2476, ch3= 775, ch4=  23, ch5= 327, ts=1714036671516971,	delta=841,
seq_no=119,	ch0=1377, ch1=   0, ch2=2267, ch3= 832, ch4=  91, ch5= 233, ts=1714036671517992,	delta=1021,
seq_no=120,	ch0=1676, ch1=   0, ch2=1998, ch3= 855, ch4= 192, ch5= 148, ts=1714036671518702,	delta=710,
seq_no=121,	ch0=1929, ch1=   0, ch2=1668, ch3= 824, ch4= 334, ch5=  67, ts=1714036671519504,	delta=802,
seq_no=122,	ch0=2232, ch1=  86, ch2=1344, ch3= 787, ch4= 390, ch5=  16, ts=1714036671520337,	delta=833,
seq_no=123,	ch0=2258, ch1= 293, ch2= 975, ch3= 696, ch4= 512, ch5=   0, ts=1714036671521180,	delta=843,
seq_no=124,	ch0=2317, ch1= 553, ch2= 691, ch3= 624, ch4= 598, ch5=   0, ts=1714036671522019,	delta=839,
seq_no=125,	ch0=2285, ch1= 941, ch2= 341, ch3= 519, ch4= 674, ch5=   0, ts=1714036671522879,	delta=860,
